ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1597b412-378a-432c-ae23-f91b5eaed83c,c5d.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
29e36338-7eef-4075-afa7-b203e3f25f31,c5d.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
3e99189f-34dc-4c02-8264-199438639a38,c5d.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.616,Hourly
47eed45f-19fc-47d4-b29c-c7a4032558e0,c5d.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.636,Hourly
4e3ae7bb-01d9-41b8-9902-da2ff461d5bc,c5d.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.602,Hourly
4f30bf8c-71bb-4b08-af2c-94dcbf92034a,c5d.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.182,Hourly
527e3668-0a00-4610-baee-3e2a8553e8f7,c5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.196,Hourly
9780942e-af52-4a81-90ed-4a1dc14161e7,c5d.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
9f63d6ad-51e5-4e53-89ae-e9c62d91932a,c5d.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.203,Hourly
a2031863-2fdd-4bb5-b437-526ebde1bf47,c5d.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.136,Hourly
bfd446fc-50ef-4b88-adeb-49a8c53614a9,c5d.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
f0c4062e-1fc9-4dee-adb4-60943e59b69f,c5d.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.622,Hourly
028bbfb5-1fed-4a2a-b492-70ecb94f71b8,c5d.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
09d5f54a-4538-452d-8389-ba028ce3eaa2,c5d.xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.106,Hourly
0d0bdc71-c1b6-4aa5-88c6-63dec4d91781,c5d.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.606,Hourly
12939e6f-ff6a-4850-a3b4-b56fe01d34ea,c5d.xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.12,Hourly
48f1adcd-8c8d-4e0b-bc55-b3f173105e5f,c5d.xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.139,Hourly
5983a25b-694a-49e7-8bc0-71c37f365f5e,c5d.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.586,Hourly
85157b37-d8fd-44b2-bbbe-d393b1091afb,c5d.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.188,Hourly
c0266c1e-93fc-4e7f-80b3-289d9d9cae0f,c5d.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.18,Hourly
cf517e92-420d-417a-ba4b-350ccda5f46f,c5d.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.173,Hourly
de19c85a-dfca-4319-8a7c-e3f7d18b5cd4,c5d.xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.153,Hourly
ed0fd7d1-9985-402f-9695-01aa5ade9ab6,c5d.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.62,Hourly
f5d83ebc-1a1a-44cd-b68a-6b8d278ea629,c5d.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6,Hourly
16b5a6ef-80af-4e18-89ca-9666738bd620,c5d.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1285.0,0.0,USD,0.109,Hourly
56143193-82cc-4d0f-bd64-9293ff4540ee,c5d.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1285.0,0.0,USD,0.049,Hourly
7b8e3afc-b22f-43b6-a538-d77c25127825,c5d.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1474.0,0.0,USD,0.056,Hourly
a896e7ac-42b7-4c6d-bf55-51c9f4d49ece,c5d.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1474.0,0.0,USD,0.116,Hourly
1a555b0b-88ea-495e-92df-fd629f5d6c54,c5d.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1478.0,0.0,USD,0.116,Hourly
1c466f1b-00dd-4e3d-acb9-422dcea34944,c5d.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1478.0,0.0,USD,0.056,Hourly
ac5bac78-8258-4b08-a962-01757a4b7e11,c5d.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1637.0,0.0,USD,0.062,Hourly
95b157b6-fb26-4d68-b1c1-72b5429f201a,c5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1666.0,0.0,USD,0.123,Hourly
ce036908-1d74-4ff4-a9b8-8c7d6887d108,c5d.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1666.0,0.0,USD,0.063,Hourly
63f3317f-8cde-4e6c-9cd1-1eadd1efda21,c5d.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1826.0,0.0,USD,0.069,Hourly
696b8cc5-09a5-49ec-8781-5e89a40a78bd,c5d.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1830.0,0.0,USD,0.069,Hourly
0e86e4f9-675a-4448-b132-5399943fff63,c5d.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2018.0,0.0,USD,0.076,Hourly
c6457bea-ea53-49e6-9123-3b4c7298204f,c5d.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2174.0,0.0,USD,0.083,Hourly
93ab93f7-6eb2-4f4e-972a-a2fa24c24127,c5d.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2362.0,0.0,USD,0.09,Hourly
6eb00d7d-6121-4be2-965a-1d126933dc8e,c5d.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2367.0,0.0,USD,0.09,Hourly
eb378b95-1004-41fe-9ddf-e9cdf423b787,c5d.xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2417.0,0.0,USD,0.0,Hourly
55e75862-16d0-4498-b880-79fe6d52a56f,c5d.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2555.0,0.0,USD,0.097,Hourly
1659e600-3be1-4376-8707-afc1dd6b6bd6,c5d.xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2793.0,0.0,USD,0.0,Hourly
5d9016cb-062a-47d9-8b00-ad2e31b8b2cb,c5d.xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,2897.0,0.0,USD,0.0,Hourly
f3b90570-5b59-47f9-a5cf-4720170a4bbc,c5d.xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3111.0,0.0,USD,0.0,Hourly
57e196a3-0a3a-4e94-9062-383a9f755985,c5d.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,3274.0,0.0,USD,0.0,Hourly
29796249-fca2-400e-96cd-a64ca957fc4b,c5d.xlarge,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3487.0,0.0,USD,0.0,Hourly
654aec5b-c618-4261-8be8-2b19e4477ec7,c5d.xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,3591.0,0.0,USD,0.0,Hourly
