ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
60cf928f-3128-4b24-b736-785468a7aafd,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7670.0,0.0,USD,0.61,Hourly
8014a408-aa83-4ba5-9c7f-e4eb0e19a84d,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7670.0,0.0,USD,0.61,Hourly
88728d96-8bb9-42d8-9530-b2a9a1012cf8,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7670.0,0.0,USD,0.74,Hourly
decdff30-8db6-4497-9bdc-cc153e24ae12,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7670.0,0.0,USD,0.74,Hourly
de8f03a8-6065-42f0-bd7e-c98f2dff5b2e,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,8022.0,0.0,USD,0.622,Hourly
eb8d6582-f287-423d-a8dc-5ac3fc7cf56d,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,8022.0,0.0,USD,0.622,Hourly
75132ddc-b967-41cb-adc9-4202c0051464,cc2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,22278.0,0.0,USD,0.0,Hourly
c0a31060-7982-4a92-8508-f0c5ae65cd8e,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,22278.0,0.0,USD,0.0,Hourly
ce0f66e7-a5c5-46a9-8bb5-c876ab054bcf,cc2.8xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,22906.0,0.0,USD,0.0,Hourly
e9a374b8-b04d-4f9f-9264-0a5bc849edcf,cc2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,22906.0,0.0,USD,0.0,Hourly
6795d1b5-7dcb-48a5-89d4-8223006e87fa,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,25490.0,0.0,USD,0.0,Hourly
84185212-695d-4296-b764-293ce7c1783a,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,25490.0,0.0,USD,0.0,Hourly
06e93f79-8bea-4498-b9f3-dd19b26f82ab,cc2.8xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.381,Hourly
094f75dd-9951-45b1-857a-7ca5a2ba22a6,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.511,Hourly
52de61fa-53b5-4275-97b8-8cfedaaab38b,cc2.8xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.417,Hourly
7f21567c-87db-435d-b216-8bb5f031742f,cc2.8xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.417,Hourly
a5a74198-119f-454d-bff6-c9370efd1aa6,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.511,Hourly
ac73deb6-6937-46f8-a8e4-fda5612652c7,cc2.8xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.381,Hourly
458fc241-e2e8-47e4-92f2-8d6e94a47019,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,5000.0,0.0,USD,0.74,Hourly
55ddf3e5-7191-4829-ba81-c27cd17a2aba,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,5000.0,0.0,USD,0.61,Hourly
c7246ded-b9f7-43e5-8690-793d2fc4d741,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,5000.0,0.0,USD,0.74,Hourly
f9d0956b-9688-4d3b-8b48-19069516cc8b,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,5000.0,0.0,USD,0.61,Hourly
4f2f8d91-7976-4bb5-9060-2efcd772ca81,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,5176.0,0.0,USD,0.622,Hourly
a8fb048b-da48-4cd1-8f2a-48134b97f417,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,5176.0,0.0,USD,0.622,Hourly
3cd435af-5415-47c1-ac0e-308361660c6e,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,10136.0,0.0,USD,0.0,Hourly
