ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
068e7b1e-4a84-4495-b7c0-8cc37335dfdb,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.483,Hourly
1031d8a8-d29d-4b55-b29b-b42c2c1ab198,d2.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.439,Hourly
1d4b3d21-fe1e-48f4-9589-68fd00240d6a,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.908,Hourly
252ac8db-c8eb-4164-84e2-f7a80c7df33a,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.509,Hourly
363cb117-8e53-402b-9ae1-6cf21a2f11f2,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.462,Hourly
5781e7bc-35a6-43c0-b849-ec4f88a19f27,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.871,Hourly
5fff4b8d-d20e-4152-a621-1748ab6f2f65,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.443,Hourly
e482883b-92d3-4d78-9b37-24e313be1683,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.402,Hourly
10b9ed89-f494-4a50-a5ad-80952a8ae84a,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3567.0,0.0,USD,0.196,Hourly
faff1370-5647-4141-b0eb-61ec74716119,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3567.0,0.0,USD,0.136,Hourly
2266b2c8-a63c-4885-bcbf-f8ecd891f0e9,d2.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3919.0,0.0,USD,0.149,Hourly
37e15a68-da24-4255-9101-c1a36bd738af,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3924.0,0.0,USD,0.216,Hourly
790bdc3f-3530-40a1-bacf-e414a9de99cb,d2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3924.0,0.0,USD,0.15,Hourly
6733d1aa-cd26-4bc4-af4a-5edc9eb0c525,d2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4311.0,0.0,USD,0.164,Hourly
22ea10d4-9711-401c-8353-cd292bcd3cb6,d2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4514.0,0.0,USD,0.232,Hourly
b7e0a71c-8499-4c7e-b0e5-72d81669e56b,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4514.0,0.0,USD,0.172,Hourly
36146dbb-3107-4042-aad9-9dc6cdc929f6,d2.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4866.0,0.0,USD,0.185,Hourly
6884384c-d59a-4bb2-b883-4cf6237811d3,d2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4965.0,0.0,USD,0.189,Hourly
f2e00001-52bc-4f15-a808-d29d0d4268a1,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4965.0,0.0,USD,0.255,Hourly
e8ed9847-2939-4b35-a081-0b979f3d31e3,d2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,5352.0,0.0,USD,0.203,Hourly
c2511bb8-f0de-417f-9ef8-e8ee77e09d05,d2.xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,6713.0,0.0,USD,0.0,Hourly
0a393dee-13b2-45b0-824e-5c8eba193dc0,d2.xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,7365.0,0.0,USD,0.0,Hourly
7239a5d8-e3cb-4eea-abef-70d9a7810234,d2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,7384.0,0.0,USD,0.0,Hourly
445a8067-fa99-4527-b804-bf32926e2d29,d2.xlarge,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,8102.0,0.0,USD,0.0,Hourly
6f532e79-97d4-4c55-b97b-c9f54c1de33d,d2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,8195.0,0.0,USD,0.0,Hourly
2302dc50-ce00-4b49-94e5-fbf26b30a992,d2.xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,8851.0,0.0,USD,0.0,Hourly
f5816739-3847-444d-b277-9c0d793b7fe5,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,9015.0,0.0,USD,0.0,Hourly
5c72b69d-1435-4de4-9ab7-aec6c07d509c,d2.xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,9503.0,0.0,USD,0.0,Hourly
6ad32f57-538c-4193-a700-75f2d65637c6,d2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,9736.0,0.0,USD,0.0,Hourly
c0788210-291f-44a5-93d1-37d4e54ac470,d2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,10396.0,0.0,USD,0.0,Hourly
296d0f5a-9f8c-451a-99c6-f75c863af261,d2.xlarge,SUSE Linux,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,10454.0,0.0,USD,0.0,Hourly
1703e62e-a2e5-48ae-b412-6eeb0433dada,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,11434.0,0.0,USD,0.0,Hourly
05ff8e4e-bd47-4f8c-bb0b-a44f610c5d57,d2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,23283.0,0.0,USD,0.886,Hourly
4406ef97-0852-4444-9c5f-d13b6a2129a8,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,23641.0,0.0,USD,0.9,Hourly
6d273904-1e08-4bc9-b23e-1d44b4646733,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,24226.0,0.0,USD,0.922,Hourly
8c9dcc28-27f8-4be1-b8d8-d66214684c3d,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,24678.0,0.0,USD,0.939,Hourly
62f6ebbd-fcb3-47a8-ae84-273739324999,d2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,46138.0,0.0,USD,0.0,Hourly
707cf399-b377-4630-9f4a-0b979cef09d8,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,46810.0,0.0,USD,0.0,Hourly
55f3d35a-14f4-4e39-a53c-ca1bfa316f65,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,48272.0,0.0,USD,0.0,Hourly
9e5c584b-cde6-4091-898c-1109fbdfcd21,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,49157.0,0.0,USD,0.0,Hourly
48215861-d0e8-470e-8101-e1e19bac3cbe,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.962,Hourly
5190fcd9-4b4c-42b8-8041-cb52e176f605,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.522,Hourly
601c9fd8-02f5-410d-bcfb-e3133c941541,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.568,Hourly
62046554-2a17-48d6-83a8-2f7822f921e6,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.462,Hourly
af424e74-9876-4244-8edb-cbc4e7af6eb4,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.541,Hourly
bdd20d91-a4ed-4ee9-8f0b-35213f233882,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,2.008,Hourly
c8b6df81-a168-4eee-8c21-6199d2a551e1,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.508,Hourly
e5914e30-e946-45f1-98ab-543d3deebaf0,d2.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.495,Hourly
