ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2201b4b7-86d0-40b8-8ffc-5ab25988d258,f1.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.1461,Hourly
3909af9c-a557-4a79-897f-d458c1b897f3,f1.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.1719,Hourly
3976ddd8-28e6-469b-ac4a-3140e68c39fa,f1.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.1791,Hourly
562987af-df81-45a2-81cf-118525acd09e,f1.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.0749,Hourly
c658b3bc-c51f-46ec-b07b-1a387de21781,f1.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.0419,Hourly
e2e40887-b678-464f-93a5-9313578e4b91,f1.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.2761,Hourly
09a62e5e-28f8-41b3-90ee-297130c616b4,f1.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.1258,Hourly
28b0e848-58ae-437b-b13b-8b7f67835464,f1.2xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.9053,Hourly
8c010ffe-82cc-4077-88c0-62e652f62e36,f1.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.0353,Hourly
c08cd04e-1348-4974-9dcb-92f0760316f0,f1.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.9958,Hourly
db5cf948-415e-46ee-a5d6-adf397d61e1a,f1.2xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.9383,Hourly
ff12d8d0-9ecd-430a-87f0-ee1305cd031b,f1.2xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.0288,Hourly
96b7986b-1435-415d-bf7a-9ddaa4994472,f1.2xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,11014.0,0.0,USD,0.4191,Hourly
f9249585-4688-4044-8db6-9d48da0b2159,f1.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,11014.0,0.0,USD,0.5491,Hourly
d34d4754-dd11-4680-ab25-4ea64e29e540,f1.2xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,11366.0,0.0,USD,0.4321,Hourly
286c99a6-1f0d-4939-85cf-f0d6e69b0582,f1.2xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,12115.0,0.0,USD,0.461,Hourly
eb0bdf04-c017-495d-b425-2f156a937fd8,f1.2xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,12115.0,0.0,USD,0.591,Hourly
0ecf72b5-9b8e-41ad-9b07-2389dee7d478,f1.2xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,12467.0,0.0,USD,0.474,Hourly
6b6d5412-7df7-4f57-bb2b-a5b64641cc4d,f1.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,12676.0,0.0,USD,0.6124,Hourly
d956477b-d2b4-4a43-920b-cd8b58b43cca,f1.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,12676.0,0.0,USD,0.4824,Hourly
6546e9bb-283d-4893-961d-630adab34884,f1.2xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,13028.0,0.0,USD,0.4954,Hourly
1cc86a89-2880-48e2-8b58-eef00be97314,f1.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,13944.0,0.0,USD,0.5306,Hourly
7bce31ab-891c-49e4-adce-541b5f72cb40,f1.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,13944.0,0.0,USD,0.6606,Hourly
bae70413-1cf2-4b7d-8cdc-50694c96b637,f1.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,14296.0,0.0,USD,0.5436,Hourly
c1a8bb02-d703-4a1c-8340-61e2afa1b6f8,f1.2xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,20706.0,0.0,USD,0.0,Hourly
a57d5f96-ca0f-43df-ba6c-9f94a0342989,f1.2xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,21400.0,0.0,USD,0.0,Hourly
d6254e74-e650-4ee9-878d-2b10dacec475,f1.2xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,22777.0,0.0,USD,0.0,Hourly
21ca08f1-5764-4c4a-92e3-19dc4fc22155,f1.2xlarge,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,23471.0,0.0,USD,0.0,Hourly
55177b49-5ca2-47dd-996e-67c67db5875f,f1.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,24123.0,0.0,USD,0.0,Hourly
f26ded83-15ca-4a76-a6ee-2cd9754d88ff,f1.2xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,24845.0,0.0,USD,0.0,Hourly
ca052e1f-72f0-4610-8e0f-173361388944,f1.2xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,25539.0,0.0,USD,0.0,Hourly
5c67eb47-3328-4746-9f58-1ac776120c8f,f1.2xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,26193.0,0.0,USD,0.0,Hourly
fbe84eb0-f464-459e-ad07-74e2cb91199b,f1.2xlarge,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,27330.0,0.0,USD,0.0,Hourly
691fe731-ffd0-4d09-970c-c52a773a498e,f1.2xlarge,SUSE Linux,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,28024.0,0.0,USD,0.0,Hourly
b7300883-91d6-4fc0-935a-f5b5c1461d37,f1.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,28262.0,0.0,USD,0.0,Hourly
839f1206-5f62-4846-a070-40c233983243,f1.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,30746.0,0.0,USD,0.0,Hourly
