ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
083e9026-35a1-46b9-9f6a-9a9317393725,g2.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.509,Hourly
1dd61925-d428-4cce-90f5-07dc105d175c,g2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.562,Hourly
4e24e250-a3bf-43aa-94b9-655013f0f2bf,g2.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.387,Hourly
54fc95f0-fbbc-4d3e-8887-1e075698432b,g2.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.463,Hourly
731f8abe-f0d2-438a-aedd-5baa097bd8f7,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.652,Hourly
afb81a6f-6727-4273-bf53-5462a6415d10,g2.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.499,Hourly
c31f1965-3335-4b95-bd28-c4ceccfd2256,g2.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.549,Hourly
ce069438-0f2a-4cb6-b9ac-fb99a017da6c,g2.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.605,Hourly
d3797c36-562c-457e-adde-14dbdbab6110,g2.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.43,Hourly
d3ebd449-1877-4a12-807e-78a4fdc7753b,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.593,Hourly
b6c00fe4-c0b9-4ce9-92cb-e8e98cb1077a,g2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6040.0,0.0,USD,0.23,Hourly
3bed26a6-c719-42ac-a1f4-61a2dc786a91,g2.2xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6467.0,0.0,USD,0.246,Hourly
18b7ba17-1eb8-4ba1-9304-048ff47e2275,g2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6750.0,0.0,USD,0.139,Hourly
58010be2-b5b9-4912-b5a0-79b07e2bf2db,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6750.0,0.0,USD,0.269,Hourly
8d112d58-3dd6-4546-9907-84631586cedc,g2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6820.0,0.0,USD,0.065,Hourly
df2edc79-89ef-4c6e-b874-b89337be4bd7,g2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6820.0,0.0,USD,0.195,Hourly
af87c40a-5889-4221-a6dc-39d2fdb693ba,g2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6970.0,0.0,USD,0.265,Hourly
0b3fb381-e279-4bee-babc-56598e44ce2b,g2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7102.0,0.0,USD,0.151,Hourly
7a021d17-dec7-41c0-9f85-3e12952919e4,g2.2xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7172.0,0.0,USD,0.077,Hourly
4d5ad7fa-3e5d-4718-bc9e-095312d257c8,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7425.0,0.0,USD,0.295,Hourly
e617ee3a-b1f1-4f20-b18d-6527b58a2aa7,g2.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7425.0,0.0,USD,0.152,Hourly
b46f5b84-e7f3-4726-951f-1420e964bced,g2.2xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7489.0,0.0,USD,0.285,Hourly
6f3b67ed-354e-4e8c-bef5-dd67191686bf,g2.2xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7502.0,0.0,USD,0.215,Hourly
cd1de5c9-303e-41c7-8bda-39fcb49b507e,g2.2xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7502.0,0.0,USD,0.072,Hourly
e0957573-cce9-43fa-ace9-1c8d657b3ac6,g2.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7812.0,0.0,USD,0.165,Hourly
4a68db94-69a7-4206-9160-b6625e777449,g2.2xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7889.0,0.0,USD,0.085,Hourly
b077d4bc-f2d0-4161-98ed-449710a2f6b4,g2.2xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,8016.0,0.0,USD,0.0,Hourly
