ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
035954cc-6ee9-4717-bb2d-9b4337f63614,i3.8xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.545,Hourly
048d785a-d168-4904-8abd-e541436e3abd,i3.8xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.55,Hourly
0d4d6c0b-5c53-46f7-9060-6b10485c7f93,i3.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.835,Hourly
4fe2e855-b5ff-4328-8673-4226a1886941,i3.8xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.246,Hourly
5bc0c26e-36a5-440b-914a-0ec26bda08e7,i3.8xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.091,Hourly
8ac1b55a-a6f7-4a45-bd4c-19984db30cb3,i3.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,13.55,Hourly
9aa12649-0827-470b-97f9-a68066d9a014,i3.8xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.39,Hourly
b652d2af-9f70-4daf-bd5f-860924b204b5,i3.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.738,Hourly
c0ee5b7d-297a-4f7d-b695-f4fd74018de6,i3.8xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.583,Hourly
d7b69b7c-f556-4f83-9199-07743d27ba00,i3.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.705,Hourly
f12a43ea-a54b-46c2-811c-856b513dfaca,i3.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.68,Hourly
f8806fc1-158e-4f98-9525-74f296b81d9e,i3.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,13.705,Hourly
0066d464-7ad7-4794-9553-ada6e5d781b4,i3.8xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,13.483,Hourly
0988a814-e8c1-4765-b8eb-9a49dc9023dc,i3.8xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.381,Hourly
319c6854-232c-4046-9965-d27b9fc42c36,i3.8xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.889,Hourly
3cf7412d-595e-4d89-8149-6f4515a16155,i3.8xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.516,Hourly
49cc26f3-13ec-4e20-8d40-027fe4981138,i3.8xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,13.348,Hourly
51ab858e-9350-4134-9108-ee1b7ab286dc,i3.8xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.348,Hourly
6000b297-a449-421d-9ac7-566b8e4d71eb,i3.8xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.323,Hourly
72976bd5-6a6a-4a3e-80ee-3c1467b12abf,i3.8xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.188,Hourly
7842df0e-0cc3-4fc7-b3fe-57656c131011,i3.8xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.613,Hourly
dbd57ca8-bae6-4a01-b78d-fa65ce9a18ed,i3.8xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.023,Hourly
