ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
07026509-60ae-4772-8aa2-80e06c351450,m1.medium,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,375.0,0.0,USD,0.026,Hourly
e42cf7c8-197c-4036-b935-5f44db515527,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,375.0,0.0,USD,0.086,Hourly
677d63ab-7887-48c6-969b-d139164182b1,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,413.0,0.0,USD,0.029,Hourly
ee9dabd4-6a4a-4a50-bfca-22c3b0765a55,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,413.0,0.0,USD,0.095,Hourly
40659e0a-9734-482c-a452-0ebd8291a8d2,m1.medium,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,727.0,0.0,USD,0.037,Hourly
8ec3e1a4-b607-44b7-a8eb-36578b3d3274,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,800.0,0.0,USD,0.041,Hourly
756affb3-a75a-4087-816d-e182720dcda5,m1.medium,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,994.0,0.0,USD,0.0,Hourly
104145fb-ea74-4b34-9f2a-7f143743da9d,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,1093.0,0.0,USD,0.0,Hourly
500923a0-e2d3-48a7-987f-32607872b5df,m1.medium,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,1597.0,0.0,USD,0.0,Hourly
3ef33ce9-b8d7-4deb-8e0a-591dea3aa672,m1.medium,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,1756.0,0.0,USD,0.0,Hourly
e8fd6871-c84f-4361-a1b2-2791e5dd56e7,m1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2476.0,0.0,USD,0.0,Hourly
ae5846e3-701c-4389-b537-bafc74652654,m1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2723.0,0.0,USD,0.0,Hourly
0497ad7a-3576-493c-b3b7-89684bbf31c4,m1.medium,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
56d3038e-f013-4a07-9b46-dc23c4d10720,m1.medium,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
5db2abb1-9cc4-4cc3-8ce8-1fd6829e7831,m1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.14,Hourly
7c5712c7-1fdc-4c57-83d2-1a933707d014,m1.medium,Linux/UNIX,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.068,Hourly
7cfdc826-3226-424e-97b7-ee99496c2bbb,m1.medium,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.074,Hourly
b05eeaae-8061-4bfc-9048-8cef98a48096,m1.medium,SUSE Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.104,Hourly
2be63ef5-6b3d-4a0a-b07b-5ab0c3e37602,m1.medium,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,247.0,0.0,USD,0.032,Hourly
736eab7a-93c2-4045-a801-62b517782ff9,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,247.0,0.0,USD,0.092,Hourly
22fd7276-e5a2-4fdd-85b7-0f533dc055ce,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,272.0,0.0,USD,0.035,Hourly
4e62da93-fc6d-4643-9508-9486835aa31a,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,272.0,0.0,USD,0.101,Hourly
ae674eb0-60a3-49de-b738-aa6feec70085,m1.medium,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,423.0,0.0,USD,0.043,Hourly
41770134-7e82-49fa-9683-64247b242eb0,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,465.0,0.0,USD,0.047,Hourly
a5995493-e5da-451b-a412-25d0dfc7128f,m1.medium,Linux/UNIX,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,516.0,0.0,USD,0.0,Hourly
6856a6b1-5ad8-4fd2-993d-7d1e3a1d3deb,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,567.0,0.0,USD,0.0,Hourly
11a1f4dd-de73-4518-a7ad-b3e987ca675e,m1.medium,SUSE Linux,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,783.0,0.0,USD,0.0,Hourly
a0021551-4803-41b0-95e1-84a082053c85,m1.medium,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,861.0,0.0,USD,0.0,Hourly
645920ea-34b4-431d-aa51-93c8b1b5eeb6,m1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1031.0,0.0,USD,0.0,Hourly
e7dbc01b-8c16-46c4-a643-d1ed73f28e76,m1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1134.0,0.0,USD,0.0,Hourly
32cb5b09-5223-4ffa-af86-45f5fce89257,m1.medium,Windows,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,519.0,0.0,USD,0.068,Hourly
b59da8fb-6604-4dd8-ac7a-b875b56d83ed,m1.medium,Windows,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,571.0,0.0,USD,0.075,Hourly
46b39f56-8559-4d52-90a3-acb8ac92ebc3,m1.medium,Windows with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1102.0,0.0,USD,0.063,Hourly
6d7d4b07-42b3-44df-b03f-b27933f9c346,m1.medium,Windows with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1212.0,0.0,USD,0.069,Hourly
6fe3d301-d3ba-48f1-935f-fa9064cb263e,m1.medium,Windows,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2168.0,0.0,USD,0.0,Hourly
2c246c78-d0dd-4318-b54a-8f7966ef8473,m1.medium,Windows,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2384.0,0.0,USD,0.0,Hourly
bb83a139-d768-41c0-95fd-010c49e4fa43,m1.medium,Windows with SQL Server Web,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2592.0,0.0,USD,0.0,Hourly
37ec5037-c9a2-41e3-a31e-4cbd4a89d982,m1.medium,Windows with SQL Server Web,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2851.0,0.0,USD,0.0,Hourly
f8df50da-122f-4e31-9f44-564351cd6c7e,m1.medium,Windows with SQL Server Standard,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4570.0,0.0,USD,0.261,Hourly
d1af321b-226a-492d-8598-4138638a304c,m1.medium,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,5027.0,0.0,USD,0.287,Hourly
0f4ad551-a343-4039-a3ac-d18d76eee2a0,m1.medium,Windows with SQL Server Standard,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,10743.0,0.0,USD,0.0,Hourly
0b91b61c-5d6b-4d49-a82c-09e4774dbbe8,m1.medium,Windows with SQL Server Standard,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,11817.0,0.0,USD,0.0,Hourly
0e3a8b0d-a59b-4c52-9b06-8018612a7979,m1.medium,Windows with SQL Server Web,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
6136755d-7e53-4ddd-b235-1525901f1656,m1.medium,Windows with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.597,Hourly
7a30f4ff-c4a0-495f-934a-f2c573c84dd2,m1.medium,Windows with SQL Server Standard,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.543,Hourly
b2cd02a0-eaa6-4e31-8c48-4ef99338581d,m1.medium,Windows,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
dcd14977-984d-4408-bab0-5bdaf193b086,m1.medium,Windows,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.144,Hourly
e50f334a-c0e6-496f-8283-e52c5eb8b84f,m1.medium,Windows with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.17,Hourly
311f239f-eb68-47b8-bb87-4664bee51795,m1.medium,Windows,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,327.0,0.0,USD,0.075,Hourly
44ce284f-be69-4e9a-be10-a3762e10d91d,m1.medium,Windows,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,360.0,0.0,USD,0.083,Hourly
fda12402-5538-480d-baf3-5eff74a2981a,m1.medium,Windows with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,466.0,0.0,USD,0.079,Hourly
45d8bf97-8b03-4801-a2d4-9f2cad171d43,m1.medium,Windows with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,513.0,0.0,USD,0.087,Hourly
921f5876-76ff-4a03-91c4-a73094518a3c,m1.medium,Windows,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,964.0,0.0,USD,0.0,Hourly
027ff41f-9418-4721-a46a-f2f8f6d6f88d,m1.medium,Windows,dedicated,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1060.0,0.0,USD,0.0,Hourly
e4cc8821-f1ae-4459-b6b7-131784e81b57,m1.medium,Windows with SQL Server Web,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1135.0,0.0,USD,0.0,Hourly
f2f75823-e732-4ed9-a634-90c2ee39d503,m1.medium,Windows with SQL Server Web,dedicated,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1248.0,0.0,USD,0.0,Hourly
fedd8cb1-f5ca-44f5-a6f0-02e33283b217,m1.medium,Windows with SQL Server Standard,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,1620.0,0.0,USD,0.279,Hourly
a3bd621e-bddb-4d2f-99e4-7edbe83a127a,m1.medium,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,1782.0,0.0,USD,0.307,Hourly
8373f45d-94b5-46d7-a28b-482d3c814dcc,m1.medium,Windows with SQL Server Standard,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,3983.0,0.0,USD,0.0,Hourly
d1858636-9c5b-4e44-9d8a-aaae43e98f25,m1.medium,Windows with SQL Server Standard,dedicated,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,4381.0,0.0,USD,0.0,Hourly
3684ba85-5dae-4511-9f92-5e7407855452,m1.medium,Linux/UNIX,default,standard,Partial Upfront,eu-west-1c,94608000,Availability Zone,0,375.0,0.0,USD,0.026,Hourly
bd011324-dec0-403e-95bf-4c2a09d1395d,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1c,94608000,Availability Zone,0,375.0,0.0,USD,0.086,Hourly
021b054d-b85b-418e-b68d-54fda0efa07f,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1c,94608000,Availability Zone,0,413.0,0.0,USD,0.029,Hourly
9a65f5ba-0756-4d29-b6fc-65154ae305a8,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1c,94608000,Availability Zone,0,413.0,0.0,USD,0.095,Hourly
8ca2ce76-fdf6-4735-ad2c-f8fe316b6e32,m1.medium,SUSE Linux,default,standard,Partial Upfront,eu-west-1c,94608000,Availability Zone,0,727.0,0.0,USD,0.037,Hourly
f11ee545-ced1-4a0e-a400-2690861e27d1,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1c,94608000,Availability Zone,0,800.0,0.0,USD,0.041,Hourly
38b06cd2-b831-4db0-a913-eda7ce557472,m1.medium,Linux/UNIX,default,standard,All Upfront,eu-west-1c,94608000,Availability Zone,0,994.0,0.0,USD,0.0,Hourly
de43742f-c136-4bd0-b5a2-3f94155bda4b,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1c,94608000,Availability Zone,0,1093.0,0.0,USD,0.0,Hourly
