ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
3d72e4e6-7eb3-4568-9c6a-85c4f95e7ee8,m1.small,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,188.0,0.0,USD,0.013,Hourly
69a04b41-78a9-4242-bd40-fefbfbafca46,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,188.0,0.0,USD,0.073,Hourly
305b71f1-0091-4c17-a24f-2f188581a9c1,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,207.0,0.0,USD,0.08,Hourly
a9768101-9dab-4ff9-810c-d397818e2fb0,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,207.0,0.0,USD,0.014,Hourly
d060da8d-72b8-4d70-860b-5a148e6101a2,m1.small,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,364.0,0.0,USD,0.024,Hourly
b5475c40-7fdd-4784-9ce3-63b2ea4a17e9,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,400.0,0.0,USD,0.026,Hourly
cff43652-4df8-42d7-8704-51a5fad063f1,m1.small,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,497.0,0.0,USD,0.0,Hourly
7fbd8ae6-9fbf-4ff1-bc71-fa2ef61147c7,m1.small,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,546.0,0.0,USD,0.0,Hourly
12427e70-30d4-42a3-82bc-d44dfd7e9b29,m1.small,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,935.0,0.0,USD,0.0,Hourly
b583ce14-9fe6-47ac-a802-27595285162e,m1.small,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,1028.0,0.0,USD,0.0,Hourly
865f3f8a-1e8d-4cb4-a3c7-be9025905d78,m1.small,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,1980.0,0.0,USD,0.0,Hourly
75893fcd-f3d4-4e83-a838-f8e69f1e724b,m1.small,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2178.0,0.0,USD,0.0,Hourly
262305fe-5b8a-4e96-b2a1-76eda39fc9a0,m1.small,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.063,Hourly
2ac6da1d-dd42-4370-a5ba-82dfe81668d8,m1.small,SUSE Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.058,Hourly
308903f4-199d-4991-8539-22ea8758c007,m1.small,Linux/UNIX,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.034,Hourly
968f112e-8a9a-417d-9325-93161d182683,m1.small,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.037,Hourly
a9486ed6-2b67-4769-a8ea-e9146a969069,m1.small,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.103,Hourly
ec276f6d-f01a-4242-b15a-af5a181f42ce,m1.small,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.094,Hourly
b30bea7d-0e16-44eb-a26c-36288a7d4fdf,m1.small,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,123.0,0.0,USD,0.016,Hourly
db664375-08c7-4230-a4ca-e62286747407,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,123.0,0.0,USD,0.076,Hourly
27845b9f-2495-4d8f-b552-8383621a41e8,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,135.0,0.0,USD,0.084,Hourly
62a2c437-38af-4af2-9083-661c246a4d6f,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,135.0,0.0,USD,0.018,Hourly
373cd541-0fdf-4a3f-9303-756dd78972cf,m1.small,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,211.0,0.0,USD,0.027,Hourly
efe76d38-48c4-4bad-8e4b-91169612a174,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,232.0,0.0,USD,0.03,Hourly
74787d99-cf48-46cd-a80e-c6151de08995,m1.small,Linux/UNIX,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,257.0,0.0,USD,0.0,Hourly
d8a337cc-f4a8-418f-b533-d8a90fddb26e,m1.small,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,282.0,0.0,USD,0.0,Hourly
