ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0759e545-8cf3-4a6e-8f2d-c5d659f226c4,m4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1696,Hourly
249d9e1e-c842-4ab9-b246-ff0e8f0652b0,m4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6366,Hourly
573b9246-e1d5-4cc0-b716-b3d25f0f6df5,m4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1366,Hourly
60cf74b6-14f5-43b1-a119-28895bfc7f6c,m4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1842,Hourly
77481b4d-ea03-4d97-afea-c67a97cd8828,m4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6242,Hourly
9d99e31e-adf5-4b27-9ce7-7438669543ae,m4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1918,Hourly
aca66110-578f-49d7-ac1b-4766f7130b0b,m4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1966,Hourly
ae046f85-26bd-4a62-a538-7df666118e3e,m4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6166,Hourly
cccca5aa-cdd7-4df4-8547-e8c5f82e20a8,m4.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1572,Hourly
da48872e-76ff-42b1-ab81-c99b93192950,m4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2042,Hourly
e3acae8c-82f3-46e1-9d5a-7414edaaa0bd,m4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6042,Hourly
fe9e53d6-f232-4a53-9cc5-a06c6859d19e,m4.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1242,Hourly
11200c25-9a10-4cde-a402-136f0a538026,m4.xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1518,Hourly
1563d1dd-c7c2-43a4-9ed0-9ca715c9ea2e,m4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1864,Hourly
215d5c34-2281-4ffc-a7aa-9e57a4ed855b,m4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.608,Hourly
34d11472-6302-4b37-9e17-6697b16028a9,m4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5988,Hourly
43e96f76-ea6d-45e4-82e2-5bdbebd53b56,m4.xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.108,Hourly
572e48d2-bc39-4ae9-9921-934940867a8c,m4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1788,Hourly
576c1d54-ae96-4f53-9ec3-5b056326ea52,m4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.588,Hourly
7cc52b67-b9fb-41a1-b37a-30b41fce261c,m4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1756,Hourly
8efe7f86-0939-46ff-8393-4972acfc9486,m4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1188,Hourly
9219811d-4829-47ed-afa2-d97cd22d6f9e,m4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6188,Hourly
935ca707-7b82-463c-9315-602073876a4e,m4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.168,Hourly
d181b0d9-4e4d-4168-b2a0-15f4f676364d,m4.xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
071d8554-8a27-47a8-a216-01c8274c7980,m4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1314.0,0.0,USD,0.11,Hourly
85959a04-392c-4a17-b9e0-7e2498ff6cb4,m4.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1314.0,0.0,USD,0.05,Hourly
57099767-ae72-4e04-8f3b-159397182a65,m4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1445.0,0.0,USD,0.115,Hourly
7241f5a0-c6ca-4aae-90f5-8d8ae5e4cfdd,m4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1445.0,0.0,USD,0.055,Hourly
63b5ff97-0557-4b4c-b519-63a7ddcce547,m4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1511.0,0.0,USD,0.1175,Hourly
d2617d15-7a0e-497f-b7ba-8ed388987e5c,m4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1511.0,0.0,USD,0.0575,Hourly
30b25c15-8378-4317-b4b3-72f986eeb584,m4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1662.0,0.0,USD,0.1233,Hourly
546d5919-5c6e-43f8-ae32-a7c66ee8a3be,m4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1662.0,0.0,USD,0.0633,Hourly
33c597c1-18e5-486b-969b-21619301985d,m4.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1666.0,0.0,USD,0.063,Hourly
73d91038-a5ec-491d-b011-7260f6cb0fe4,m4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1797.0,0.0,USD,0.068,Hourly
