ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
14018adf-8a3c-4eee-834f-adcf03b629ee,m5d.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.321,Hourly
22470890-5757-4c33-887c-31e8a35f02fc,m5d.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.287,Hourly
26f4aec4-ff58-403f-b962-ee86032f4bf3,m5d.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.451,Hourly
6e2de272-1851-4846-a047-bfc4ff9fe467,m5d.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.287,Hourly
85bce89c-d423-4e7b-b4de-ec38c20f84a5,m5d.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.32,Hourly
90a959fd-b15b-48b7-8b51-ce6fad3987cf,m5d.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.281,Hourly
a2c4aee6-0341-4893-9b16-3d68cb937dad,m5d.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.417,Hourly
b105faa1-1453-46b7-a41e-d19e0e3bbeed,m5d.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.422,Hourly
ccfdaa21-c190-42b3-a3eb-0d1775108f79,m5d.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.456,Hourly
d0e02883-eb6b-4d93-90e3-72cc1c8a8540,m5d.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.354,Hourly
d2db041f-fec8-4ae4-aacb-afbb2997172a,m5d.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.247,Hourly
ed40a749-14a2-4764-abc1-4b846c66b681,m5d.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.321,Hourly
1c5530bc-5535-498d-9240-a7febecdde2a,m5d.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.283,Hourly
2500e4be-a297-4f60-bfd2-74639811dd55,m5d.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.413,Hourly
3c2bb68b-425f-4b07-a410-b4cd671c5ae4,m5d.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.418,Hourly
3d1bf9cc-0181-4517-aea0-f9e555023fa2,m5d.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.243,Hourly
6f44129b-708f-4d70-a857-a93ae2f891cd,m5d.2xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.249,Hourly
78091fb0-85c3-4d6a-99be-34aa671b05ce,m5d.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.385,Hourly
92c31d53-6f76-4a42-9659-4533c77db184,m5d.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.209,Hourly
c1cd2963-159d-4094-a377-9a2deabe2ad2,m5d.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.379,Hourly
ed7da953-b2e5-489c-a5d2-0247a0f5ccdc,m5d.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.283,Hourly
eddc4b52-2fde-4024-8141-fe8f9227f3d6,m5d.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.249,Hourly
543d4d23-4163-4a6a-8455-b83f2a8830ef,m5d.2xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3035.0,0.0,USD,0.115,Hourly
d2861db5-6d2b-40f0-bc4a-22a115a01dfc,m5d.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3035.0,0.0,USD,0.245,Hourly
c2db0e9b-e4a5-4515-a39b-2f0737312b7e,m5d.2xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3387.0,0.0,USD,0.128,Hourly
70c9d70a-68dc-4a4c-b9f7-ad00148e0244,m5d.2xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3478.0,0.0,USD,0.262,Hourly
c35bf081-d746-4055-8585-cf06eed5d91c,m5d.2xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3478.0,0.0,USD,0.132,Hourly
56d2d068-864f-46bf-92ab-0ab6904d0160,m5d.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3490.0,0.0,USD,0.133,Hourly
bf800579-fe53-4d29-99a9-899e11e6f78e,m5d.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3490.0,0.0,USD,0.263,Hourly
0d3d40ac-f106-42fd-b934-5b3f648ae7ed,m5d.2xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3830.0,0.0,USD,0.145,Hourly
c26916aa-add7-4082-a244-de0e103f17ba,m5d.2xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3842.0,0.0,USD,0.146,Hourly
1d1ff374-d6f2-4df0-8df4-40bbadd04a79,m5d.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3933.0,0.0,USD,0.15,Hourly
81a0f606-1d81-4ac5-b665-3912e91b6506,m5d.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,3933.0,0.0,USD,0.28,Hourly
630fb60c-ca0c-406f-a6cc-5f66a546c74a,m5d.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4285.0,0.0,USD,0.163,Hourly
e3e1c496-175d-4ff0-b5f3-75e7e7dabf5d,m5d.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,4811.0,0.0,USD,0.183,Hourly
75ed8c8f-246d-4549-88ef-3fd058a8eb78,m5d.2xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,5255.0,0.0,USD,0.2,Hourly
9da5dacb-3d85-4ba0-a653-b484cd28f032,m5d.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,5266.0,0.0,USD,0.2,Hourly
39f12bc8-ef12-47fe-96c8-1af6b42fe9eb,m5d.2xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,5705.0,0.0,USD,0.0,Hourly
9c99091a-86a1-4038-afdd-397ae3b93d8c,m5d.2xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,5710.0,0.0,USD,0.217,Hourly
cbe7bdc7-8e6a-4880-931f-dd1f1d3a4d9b,m5d.2xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,6592.0,0.0,USD,0.0,Hourly
8a1bcb54-b377-4db5-8fae-33f84af51ba3,m5d.2xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,6840.0,0.0,USD,0.0,Hourly
568cc102-bdfa-4fc4-a8a2-d61764f6c1d3,m5d.2xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,7534.0,0.0,USD,0.0,Hourly
3a1e1cd7-e84b-4b72-b046-636f8ccfd4fc,m5d.2xlarge,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,7727.0,0.0,USD,0.0,Hourly
e70b765f-17a6-4784-9201-8aabcb802b5a,m5d.2xlarge,SUSE Linux,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,8421.0,0.0,USD,0.0,Hourly
73f93ee5-f655-4176-afc7-882ba026091f,m5d.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,10257.0,0.0,USD,0.0,Hourly
905b40ad-c89e-4522-b8bf-f8b1033d0a05,m5d.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,11144.0,0.0,USD,0.0,Hourly
980fc3db-f736-4ed6-818d-12762c01756c,m5d.2xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,15649.0,0.0,USD,0.595,Hourly
eb175ce1-b853-479b-b7f0-50dfd9c784b4,m5d.2xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,16093.0,0.0,USD,0.612,Hourly
