ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0ca3a1c0-0e9e-4986-888e-867ce6f7dccd,p2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.628,Hourly
37e0db67-43eb-4238-b618-1aee3a86bf39,p2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.631,Hourly
52772137-7017-4c37-bc88-5dd15f33dc90,p2.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.604,Hourly
a3f9aaf9-d54e-4401-a825-9ddaded2aecc,p2.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.571,Hourly
e48b9626-2ace-4825-8bb2-71baeb09bdff,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.688,Hourly
fc918e72-49fe-46a8-b094-1f6082906ae3,p2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.661,Hourly
137477d5-f547-4243-b2bf-66320b68af0d,p2.xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.579,Hourly
1be8f56d-b88f-4de7-bb98-c3d2baa931c6,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.606,Hourly
4bdd402e-8c73-4718-968a-6f0673f7bebe,p2.xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.497,Hourly
5ad39153-c044-42eb-be40-9b84ea1c7e49,p2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.557,Hourly
7abe3a34-fecc-4702-ba58-5469ea90de3e,p2.xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.53,Hourly
d099dde7-090e-41c3-83a9-d146f31abb59,p2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.546,Hourly
5e7a1a66-fbdc-4cbc-92c0-fa43bf48ba6e,p2.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6044.0,0.0,USD,0.23,Hourly
c9f08abb-a5fe-4f8b-805b-264a81896e84,p2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6044.0,0.0,USD,0.29,Hourly
cb3853c1-de57-48d6-9a7c-02ab5d82d2d9,p2.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6396.0,0.0,USD,0.243,Hourly
13f07b2e-0f83-4268-ab72-1f57d431912d,p2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6648.0,0.0,USD,0.253,Hourly
c7fc245e-0bf4-4b1c-aba1-1d09cd5d7259,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6648.0,0.0,USD,0.313,Hourly
44412a1b-f979-492c-a4d5-917222465447,p2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6951.0,0.0,USD,0.325,Hourly
943adb86-4a70-4644-880d-53b6da4db942,p2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,6951.0,0.0,USD,0.265,Hourly
25eab6f3-7109-4abd-975d-f464a3d55125,p2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7000.0,0.0,USD,0.266,Hourly
28238ff7-7866-41d9-a0a6-44eb03713f9d,p2.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7303.0,0.0,USD,0.278,Hourly
4fbf10e1-4cdd-499b-99d3-330ec93639f9,p2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7646.0,0.0,USD,0.291,Hourly
5dfc5c67-79da-4ea2-891f-3137c425388c,p2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7646.0,0.0,USD,0.351,Hourly
3abd3913-7641-4352-8aed-f25ec5057657,p2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,7998.0,0.0,USD,0.304,Hourly
c3e9f796-cfcb-4bc4-8692-163305883f8e,p2.xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,11363.0,0.0,USD,0.0,Hourly
d2d4469a-d4d1-431f-b52f-be47e7fd95bc,p2.xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,12057.0,0.0,USD,0.0,Hourly
dc347617-c015-4868-aa06-fdc65117c79b,p2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,12497.0,0.0,USD,0.0,Hourly
3643d6db-089c-4c57-ab2a-03d599c5e553,p2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,12940.0,0.0,USD,0.0,Hourly
0f4017e1-b0c1-4254-89d8-37d7e21de3ec,p2.xlarge,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,13191.0,0.0,USD,0.0,Hourly
2abfd0e3-2cb9-4e0c-9cf2-548b0cf9b5d0,p2.xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,13624.0,0.0,USD,0.0,Hourly
3bc8d304-277a-4405-977c-671cbaceeeda,p2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,14074.0,0.0,USD,0.0,Hourly
23a02025-2114-4b4e-80c9-a01c25c4b670,p2.xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,14318.0,0.0,USD,0.0,Hourly
5d0328a5-f39f-4874-96a9-51bcb67aec6f,p2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,14987.0,0.0,USD,0.0,Hourly
3483271f-e9a1-42c5-8180-46b9f39f13c0,p2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,15201.0,0.0,USD,0.0,Hourly
