ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
003489fe-da82-4602-a8ed-bc30a8ace9fe,p3.8xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.8,Hourly
0a955e34-685f-4440-857d-fcc435176640,p3.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.662,Hourly
31174464-9ce8-40f1-bb06-9fcaee0356c4,p3.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.759,Hourly
a61bed6b-9e2a-4db7-870a-256408c06ceb,p3.8xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.767,Hourly
aba45649-7774-4000-8dc3-1b4fed862bf9,p3.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,7.897,Hourly
dedd39f5-e057-4c52-8719-6c876149fa4d,p3.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.629,Hourly
adb577ce-5107-49d2-b2ec-05b0f30f5021,p3.8xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,70179.0,0.0,USD,2.67,Hourly
f3242fe7-ad03-4bca-b169-381057dbe5ee,p3.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,70179.0,0.0,USD,2.8,Hourly
fff1885b-95ee-47c1-be10-01fe1f4af3f3,p3.8xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,70531.0,0.0,USD,2.683,Hourly
896084b9-63a3-4012-9e96-9611c402250c,p3.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,81505.0,0.0,USD,3.101,Hourly
da01ece6-73da-4f94-ab16-2a18d58d2ebf,p3.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,81505.0,0.0,USD,3.231,Hourly
8c1721da-f96f-49fa-a034-108ea791fd95,p3.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,81857.0,0.0,USD,3.114,Hourly
