ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
11e65227-6ce7-4fb9-860a-2d7fe8d52045,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6266,Hourly
1b9465ea-1408-4649-a2b9-91e0403ee485,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1612,Hourly
1d067ee4-8e87-42ea-988e-ea03e337f5bd,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1466,Hourly
225d7191-50b9-4cc5-b198-0fe3f3f30422,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2142,Hourly
553f9b93-362a-453e-a572-13a81aa93f85,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2066,Hourly
58d06785-6bd7-4ba6-8d3f-a302f3b29b39,r4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6612,Hourly
6d1548f9-1495-4aeb-946e-00808bc4f266,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2212,Hourly
75a0f0e4-45d4-408a-bf74-60d8eada60d4,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6412,Hourly
824fbd6f-efc6-49ae-94a2-70eaee32e83b,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6466,Hourly
9de79f71-5220-4ffe-a47e-594b7375acfe,r4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1942,Hourly
d63b5c04-92eb-49dc-9a12-ad40e3066819,r4.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1796,Hourly
f5c31fcc-8733-4c7b-a398-20c9108eaf73,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2288,Hourly
09c498dc-a370-4066-88c2-808a2f677f64,r4.xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1732,Hourly
0b7463b1-96bf-4e6f-93cf-3f3df89ff70a,r4.xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1604,Hourly
1551fc91-18ca-4355-8a6f-501c2d7bf20e,r4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6402,Hourly
21ba7164-c841-4cce-9073-ffb0c965c174,r4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.195,Hourly
40990241-7d19-4024-9a4f-0b82f5d1b5a1,r4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6274,Hourly
8813c844-f26e-4922-86c1-6e5cc13f5ae8,r4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1402,Hourly
8d971161-cbc8-44ff-845a-16f5bfc5475c,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2002,Hourly
909d01c0-4f40-4f69-95a6-2c60d9574824,r4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6074,Hourly
9a1fcf9b-6d6f-4063-88fc-d51be1ede44b,r4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2078,Hourly
9eb681d4-1d1b-46bd-877e-7c4993416251,r4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1874,Hourly
f98f09c6-bf89-48e4-acce-b9fea26d2991,r4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6202,Hourly
fcae6033-e8b3-4c16-9fee-f374b715aef3,r4.xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1274,Hourly
63bd103e-b5dc-417b-b94d-d6b6c2d41263,r4.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1558.0,0.0,USD,0.059,Hourly
c110de86-a5cf-477a-ae22-0543203108d4,r4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1558.0,0.0,USD,0.119,Hourly
37d66754-74ca-490a-9c37-b185be6501e6,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1713.0,0.0,USD,0.125,Hourly
704abd25-8a3e-4c12-bfdb-8d775e5d3842,r4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1713.0,0.0,USD,0.065,Hourly
6b7e8728-1883-4e20-b051-efcce1890ef4,r4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1783.0,0.0,USD,0.0679,Hourly
a5aae309-9a04-4edb-ba35-b08eb7b40eb2,r4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1783.0,0.0,USD,0.1279,Hourly
feec1a22-38e3-46fc-b87f-308a53a9c769,r4.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1910.0,0.0,USD,0.072,Hourly
0078ca01-3b6a-44e3-b3f2-86b6cfc8aae8,r4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1961.0,0.0,USD,0.0746,Hourly
43ac6172-9375-46df-971c-dcc977f3d4fe,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1961.0,0.0,USD,0.1346,Hourly
91b6023c-3a6c-4fef-ab1a-a4733cf0695b,r4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2065.0,0.0,USD,0.078,Hourly
18eb9a07-888f-4c14-a206-02091d3ba674,r4.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2135.0,0.0,USD,0.0809,Hourly
03966aa9-167f-44f6-b541-8b85eb16cf20,r4.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2313.0,0.0,USD,0.0876,Hourly
f64b524c-6381-4a1f-bebf-38aa77591f00,r4.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2439.0,0.0,USD,0.0928,Hourly
eaa28b98-0ce7-4e40-bfd3-9926d82357a8,r4.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2594.0,0.0,USD,0.0987,Hourly
c0928fe5-4213-44b9-87ff-386d8053c39e,r4.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2671.0,0.0,USD,0.1017,Hourly
c4d1e106-4b35-43ee-a15f-c502301f33aa,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2850.0,0.0,USD,0.1084,Hourly
dd79b282-9b1d-420a-8fb3-79579703efc8,r4.xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2929.0,0.0,USD,0.0,Hourly
11701234-b591-400d-bef3-c00f877cb34e,r4.xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3221.0,0.0,USD,0.0,Hourly
