ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
4dab87bf-aa9b-4e87-bd93-867eaca99ea5,r5.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.588,Hourly
61d7dc69-7b33-42af-a28f-c4540f811065,r5.4xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.642,Hourly
890fc585-02e4-42f9-b8dc-36e3fdb05cc9,r5.4xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.926,Hourly
99679e0b-46be-4275-9d8d-c4304940c0de,r5.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.718,Hourly
99b91a46-7ed1-47da-b72b-0ef342c61665,r5.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.786,Hourly
9b9ac0a5-6855-46e3-97ce-ee710f4e0981,r5.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.71,Hourly
a939db7e-ec7b-430a-8fe5-2aea7f70d272,r5.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.656,Hourly
b37476ff-d1c3-4e47-b54d-f4c1302bf322,r5.4xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.859,Hourly
be3978ea-21b4-4bd2-82eb-5e2e75683e5c,r5.4xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.576,Hourly
c625a207-c521-44c4-8b71-618f5ca3ddf4,r5.4xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.588,Hourly
cfdb3dbd-181c-493b-8709-b88f87ab1d92,r5.4xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.508,Hourly
dfcfc345-6be1-4bf2-befe-68cb6459c451,r5.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.656,Hourly
1bbe7e00-48da-41ca-923f-087f5b9887f7,r5.4xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.432,Hourly
362ed503-b461-44fa-a37f-fb075eda499f,r5.4xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.566,Hourly
38ddcfd5-5083-4d3d-ae1b-69ff6bcd116e,r5.4xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.782,Hourly
6d593fe9-1be8-481a-8941-7d1b8f1a1e38,r5.4xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.512,Hourly
7c87a2b9-34ce-4cd7-8463-1a2104039c59,r5.4xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.85,Hourly
81b401d8-63db-4966-9792-2f483a14d53c,r5.4xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.709,Hourly
c22fd1ce-77bc-4073-9ba4-c77ffd6365c5,r5.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.579,Hourly
d4a85db8-f5bc-48e5-aba5-cb7d5ba7b8e1,r5.4xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.579,Hourly
