ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0ae3f2fc-7e13-4830-8d03-4f37eff2ea9d,t2.large,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0914,Hourly
676c1420-e081-4110-941c-800f45ecb1bb,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
a38232e4-98b6-49d0-bef6-1e6d76794e4a,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1184,Hourly
df23969f-8a11-40b1-81ba-cc0526e28600,t2.large,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0584,Hourly
50064657-b46f-4475-ac71-ba48b500e20a,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1107,Hourly
989066fa-c4d8-4be9-a3e4-5a2c117b06fc,t2.large,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0507,Hourly
bc5ac687-c06f-44d6-b5b8-669e3db6f57a,t2.large,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1183,Hourly
c65d93c7-4828-41cb-9ed1-e8982960d478,t2.large,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0837,Hourly
650ac5a6-4f71-4de3-97f3-e1701b1ff5f9,t2.large,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,616.0,0.0,USD,0.0235,Hourly
de3dc2f7-b1c1-4ac2-a4c7-0fb24b3bd26f,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,616.0,0.0,USD,0.0835,Hourly
