ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
19e55c22-7a0e-44db-b221-eff08286bde0,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1167,Hourly
5d42b694-1c85-4a58-9aca-1f4bc1f8e842,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1843,Hourly
5fe1499d-9be9-4b08-a5de-9ba6a5c4b743,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6167,Hourly
6a380043-ad2c-46a9-8376-b30f72db279c,t2.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1497,Hourly
9f72db41-4fb4-404c-b6f3-e63727c1d952,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1767,Hourly
07af298f-b4a1-4d4a-a3df-6d24fb93be44,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1613,Hourly
2417ac98-48f0-4d49-8d0f-7614ad50db7a,t2.xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1013,Hourly
353cdfc4-0de0-4196-bec9-9d5e82a0af72,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1689,Hourly
ee005f12-9c30-4d90-a33f-ba31f21cac7e,t2.xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1343,Hourly
fb51f109-d375-4161-8b27-af646cfaa00f,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6013,Hourly
c2fcc8cf-0aa3-48e4-96ad-c195528b1a7f,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1233.0,0.0,USD,0.1069,Hourly
cde3c192-d09c-4b1c-a7f8-f8819707f4df,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1233.0,0.0,USD,0.0469,Hourly
c37e10d9-5b43-4840-85f1-12f4bf7294b1,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1420.0,0.0,USD,0.054,Hourly
f649e7aa-7979-4a87-a2cc-f5d780e25bdf,t2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1420.0,0.0,USD,0.114,Hourly
9425bb34-d371-47df-aed5-930bf36c9aad,t2.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1585.0,0.0,USD,0.0599,Hourly
48b7726e-4ff4-486d-a5a1-fa95cd2f870c,t2.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1772.0,0.0,USD,0.067,Hourly
a52cbc3c-92c5-4b02-9141-05779dc9a729,t2.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2121.0,0.0,USD,0.0807,Hourly
b933d086-263d-43eb-81d4-4a21c9859943,t2.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2308.0,0.0,USD,0.0878,Hourly
ae9d07d2-77c5-49ca-86bb-1b5d8717c949,t2.xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2318.0,0.0,USD,0.0,Hourly
945ef3bf-40eb-456e-aa83-8deb01486a73,t2.xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,2783.0,0.0,USD,0.0,Hourly
70b9bc14-650d-43d0-9ba7-14a57b679534,t2.xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3012.0,0.0,USD,0.0,Hourly
24de1108-0f2f-4430-ab6f-9ce6faa0d0e5,t2.xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,3477.0,0.0,USD,0.0,Hourly
e238f7dc-50d4-47da-a7dd-a25a0d2f4189,t2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3894.0,0.0,USD,0.0,Hourly
2d3d4425-38a7-4e5c-968b-d7cef46a5af5,t2.xlarge,Linux with SQL Server Web,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,4094.0,0.0,USD,0.0,Hourly
94810984-64ef-41b9-800d-cd96951ff2e4,t2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,4360.0,0.0,USD,0.0,Hourly
d6e4439a-f788-4356-a260-575bc476478a,t2.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,4560.0,0.0,USD,0.0,Hourly
d5a763bc-5f20-4302-9d20-9cc2230ebe5f,t2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,20943.0,0.0,USD,0.7969,Hourly
81269ec1-b972-498d-8d9d-bfcd267a7856,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,21130.0,0.0,USD,0.804,Hourly
bc948110-79b8-4ae3-b9fc-2234a883f688,t2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,41738.0,0.0,USD,0.0,Hourly
0251679f-cc6a-4563-abff-3d551a65b8bc,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,42203.0,0.0,USD,0.0,Hourly
37d10eef-e68c-4fa7-ba41-bbd826bcddf3,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.6631,Hourly
7973c35c-d88d-4405-9c67-582180cd5a36,t2.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1961,Hourly
c476ea72-ecfb-483d-8cb3-3e2e396f73eb,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1631,Hourly
d6663ea6-c6dc-4b4c-a686-bd8afc2d78b0,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2231,Hourly
f0c383db-0563-43bb-8850-e0fcc2114564,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2307,Hourly
0a50da1e-1f14-4c45-bbd5-6276761ec272,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2094,Hourly
4bf9c1fc-a052-4818-9acc-047028dad752,t2.xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1418,Hourly
54be8108-3772-49c2-a761-db7b0215c2f5,t2.xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.1748,Hourly
96fe4e9a-41ca-4ccd-bb32-5baaa9a3939c,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2018,Hourly
e66dc1ba-c9f3-4520-82fd-fd18dfc83a61,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,1.6418,Hourly
08b8eb31-ec99-48fa-b664-5c73fd3672b6,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,592.0,0.0,USD,0.0675,Hourly
391e1870-902b-458a-980a-af49801dccc6,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,592.0,0.0,USD,0.1275,Hourly
1bbda545-8991-4f60-bfbe-192f6566e689,t2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,680.0,0.0,USD,0.1377,Hourly
cc4d97f0-e8ae-499e-b28a-9857dd452371,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,680.0,0.0,USD,0.0777,Hourly
93b03e75-f8db-4979-ba0e-7b929736a383,t2.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,768.0,0.0,USD,0.0805,Hourly
c256d8d8-59d0-4a54-9619-36847f71ebe9,t2.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,856.0,0.0,USD,0.0907,Hourly
82d2457f-7420-4773-bf89-4a02c8c33623,t2.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,888.0,0.0,USD,0.1013,Hourly
80b016d9-971f-476b-b557-9e6ae2e19306,t2.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-1a,31536000,Availability Zone,0,977.0,0.0,USD,0.1115,Hourly
d80db6f1-1ec2-4c06-991a-67679431b571,t2.xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1160.0,0.0,USD,0.0,Hourly
f84a9f0b-bad9-473d-8487-b1cb550e0e8f,t2.xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,31536000,Availability Zone,0,1334.0,0.0,USD,0.0,Hourly
1e929374-c9a3-4b02-9a12-6f35f8b3808c,t2.xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1450.0,0.0,USD,0.0,Hourly
af7c3f8a-ae11-45df-ac39-07efdc308463,t2.xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,31536000,Availability Zone,0,1624.0,0.0,USD,0.0,Hourly
d5845e55-aa05-4aee-98a8-b0ef9b72147b,t2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1685.0,0.0,USD,0.0,Hourly
7cd30313-c679-4f40-99bb-c2314bea0ed5,t2.xlarge,Linux with SQL Server Web,default,standard,All Upfront,eu-west-1a,31536000,Availability Zone,0,1752.0,0.0,USD,0.0,Hourly
85a40210-655c-4ea9-8184-d89b45c85a65,t2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-1a,31536000,Availability Zone,0,1859.0,0.0,USD,0.0,Hourly
95aabb48-7150-4741-b329-a0483bc25e92,t2.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,eu-west-1a,31536000,Availability Zone,0,1926.0,0.0,USD,0.0,Hourly
