ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1ca16f72-0f5e-4872-8b42-112020ccb51e,z1d.3xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.12,Hourly
43699264-3cdc-4f7c-b6dd-52460dd47127,z1d.3xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.883,Hourly
54b64ed1-2b95-4ebf-ab35-d4f2c09ba044,z1d.3xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.68,Hourly
563511b7-41a5-495a-bfa9-035c428dce12,z1d.3xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.734,Hourly
70586044-fa6d-4cb5-9a83-ba67b0346153,z1d.3xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.18,Hourly
8da38757-d786-4599-98b6-a1f36b3a5749,z1d.3xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.604,Hourly
9ea1453a-2e4f-454c-ab58-14de2634c79c,z1d.3xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.807,Hourly
b73e2f85-f219-4fff-a40a-9d2748d63166,z1d.3xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.044,Hourly
c02c6769-1c95-4db5-8363-9d14bf52068e,z1d.3xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.658,Hourly
c5a0d1ae-c958-4db4-b8ae-de09e1d68d2c,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.81,Hourly
c65e8134-e3ef-46ee-8317-d980cf14e74c,z1d.3xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.734,Hourly
e3ed9965-1de4-47d8-81ae-ea034343ca06,z1d.3xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.104,Hourly
20c852d1-eaca-49ad-9ca8-5a80bec7f9da,z1d.3xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.731,Hourly
2fea1857-7f70-490c-863c-358d36576d77,z1d.3xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.024,Hourly
395ec16e-4f54-4185-bd8b-6d60056bd3da,z1d.3xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.578,Hourly
4bc80cde-343e-46d3-89d0-4f70dda66e24,z1d.3xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.803,Hourly
7a646dce-5678-4d29-9659-ae8498aa711b,z1d.3xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.654,Hourly
856d728d-0ae2-4778-bcf9-e00ce23ef715,z1d.3xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.524,Hourly
98f83798-3e84-4fe4-9e33-133b1f145290,z1d.3xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,2.041,Hourly
9e19f0d2-2989-4474-a9ea-f6fea852bd0f,z1d.3xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.601,Hourly
