ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
284ce73e-d625-489a-bc6e-b04efff771b8,z1d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.181,Hourly
33e03f7d-2a00-43d5-91c6-8ff3e1640b8f,z1d.large,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.101,Hourly
6a1b94cc-6c2c-48b1-b1a4-b964a673a0cc,z1d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.593,Hourly
6cba7807-d207-429d-a550-14d0f3e7dead,z1d.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.581,Hourly
959520cc-52f3-4214-8c05-12b101b3e2bf,z1d.large,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
a6758103-85ce-44f5-adc3-e94ca4891245,z1d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.173,Hourly
a8a8e18f-147f-4da6-90ea-bc416b8b19e7,z1d.large,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.135,Hourly
c5994430-b5fc-4ba4-9a4f-4c8403bd0538,z1d.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.168,Hourly
cd0ef826-9e41-4464-932a-a9c8129637ca,z1d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.161,Hourly
e9ff594e-94b3-4ec0-bb10-bb1eab363290,z1d.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.113,Hourly
1a684c4b-fd0a-40c7-9a2b-bdb57849b2a7,z1d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.168,Hourly
4bfdbee0-99c9-4dc3-9907-d954376a71c6,z1d.large,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
599600c3-da2e-44c5-a93d-e9b22cbb6ce9,z1d.large,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
59a0722d-46a6-43a6-9dc3-59fbae478e01,z1d.large,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
5eea6440-f851-43aa-a5e3-e8ea2501b455,z1d.large,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
7db75c10-9dfc-4776-bda3-3f53256da8e0,z1d.large,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.087,Hourly
