ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
329fde1d-7e80-4620-b33f-01cc4e811235,c4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.288,Hourly
3359c9e2-a126-4789-a30a-b9531e9163a1,c4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.447,Hourly
39d56c91-34c3-4d46-96a4-737484c20b98,c4.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.321,Hourly
55ba1e86-4594-4e54-9ce1-b17e32444aea,c4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.248,Hourly
5ae637ce-65c7-4d62-ad3a-a18e60f4b5ae,c4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.317,Hourly
65335a48-a660-48ea-afcb-727b7cade370,c4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.277,Hourly
6c40c73e-a24c-4aec-934c-8fb07892b41d,c4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.452,Hourly
b0efd1df-5829-4f6a-be67-ed97d022c9d4,c4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.418,Hourly
c3f6c1f4-ddee-4dbf-9fe3-daaaa14bd28a,c4.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.288,Hourly
e64d7e33-c11c-4b26-be18-4666191fb05b,c4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.35,Hourly
ee71e3ce-4e39-4fc7-bc58-24248eaf769e,c4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.317,Hourly
f48fc36f-874e-42c1-beba-f6be65e37c80,c4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.423,Hourly
1fe254cd-5c58-4f00-8bb0-4e4c3674d62f,c4.2xlarge,SUSE Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.284,Hourly
299a26a8-51b2-46aa-a41c-ac4885d5cc89,c4.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.276,Hourly
326fb63d-2b5a-4404-b252-1311dd7e0242,c4.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.207,Hourly
483ac489-11db-41b6-a086-d974e03de063,c4.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.232,Hourly
50fd7784-8587-4d5b-b280-127db557b8c9,c4.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.383,Hourly
5919395b-1e4a-4a0a-b404-b14defcb87b2,c4.2xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.309,Hourly
5f41191f-8199-4de8-8045-e9ec1f334c52,c4.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.381,Hourly
a2e9d3f4-11f3-4603-8e9b-0b432743b5b2,c4.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.407,Hourly
ade31946-d2bd-4f9e-a704-98dffbbc2ccf,c4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.272,Hourly
b7faebea-c10c-411c-ab43-dfb4af59fc3c,c4.2xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.251,Hourly
b91148d4-7dcc-47bf-ac77-817d5f692a70,c4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.406,Hourly
bf589708-c09e-41c6-b676-1fde81f14dd9,c4.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.247,Hourly
