ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
06bf578f-8043-4a03-b6be-3ea0add83ad2,d2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,16.619,Hourly
1c3b3db1-2e6e-44d4-bd1f-71d08bca5f56,d2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.508,Hourly
39439ae0-c822-46ee-be76-31499824dbf4,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.508,Hourly
75903c76-d7ae-4b74-bdcd-d4297c6a3bab,d2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,16.619,Hourly
c752e20a-569d-47c8-8581-f1bf85c69193,d2.8xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.378,Hourly
d403e526-37e7-4962-a382-acb14c2bb2bf,d2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.411,Hourly
dc6fccc8-7852-434f-9b09-fa2eac4fc441,d2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.378,Hourly
f215318e-a593-4927-a00c-fb03df19b09b,d2.8xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.411,Hourly
03a4050a-89fe-49ff-ad06-0fe6b7d1ba9b,d2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,29992.0,0.0,USD,1.141,Hourly
47d66c72-4831-4959-a8fa-879b7cf2bfbf,d2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,29992.0,0.0,USD,1.141,Hourly
a86b17da-ef25-413c-b706-f48771269b72,d2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,29992.0,0.0,USD,1.271,Hourly
b09e1d5e-9a00-434f-9184-70337c17d112,d2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,29992.0,0.0,USD,1.271,Hourly
706fd070-dc10-4361-ae6f-3f12f97c6f8a,d2.8xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,30344.0,0.0,USD,1.154,Hourly
ebcec1a4-cdbc-48be-9cc1-54fb0d8b3b5f,d2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,30344.0,0.0,USD,1.154,Hourly
007a5060-504b-43c8-affb-9fb6d22b716a,d2.8xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,37933.0,0.0,USD,1.573,Hourly
2d516224-9b4c-440d-a9e0-a6ac475f498d,d2.8xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,37933.0,0.0,USD,1.443,Hourly
7db1409e-e2cb-48ef-8cc2-0f1020e9c503,d2.8xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,37933.0,0.0,USD,1.443,Hourly
