ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
234c9824-ba53-4c04-92a6-1b85708cec21,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.18,Hourly
49fbf8a9-9105-427b-a613-2e7692893ad2,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
664126f8-be43-40e9-96c8-4605b16ced60,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
71b4dc06-cd3b-48a8-97a1-733a5f9660ee,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.592,Hourly
a5065c6d-5673-4d7f-80ea-a45122c88274,i3.large,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.102,Hourly
a582d02c-6769-465c-b29a-dc90542da03c,i3.large,SUSE Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.145,Hourly
d6536f0a-7731-45b6-a882-6ad18b3a9a29,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
dcd208ef-3120-4078-b8f2-8d85a7baecb6,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
f9bea42b-9dad-4aba-8fec-f11790c4ae74,i3.large,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.135,Hourly
ffa08b9f-ba96-4a1e-9cce-f4cc278fdc8b,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.582,Hourly
091441c8-680e-457d-ab1a-79e4e87487d7,i3.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.149,Hourly
1e4c26e9-e941-4d7a-9353-5a6faa3073e1,i3.large,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.089,Hourly
532f1bcb-eed1-4dd5-a42a-a5e38be10061,i3.large,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
5389e0e2-2445-43cb-ac63-449d4e1601f4,i3.large,Linux/UNIX,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
6dacd681-643e-4379-b809-e7e698c408e4,i3.large,SUSE Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
8b7afaec-7189-4d97-a948-92a9163df32c,i3.large,SUSE Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
9bfbbf15-bd68-45f3-9772-c5a5611f4f10,i3.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.157,Hourly
b18c765f-70e9-43d4-bdff-6f2722ab445f,i3.large,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.569,Hourly
bdae0159-21ed-46bf-8575-51a918fe23ba,i3.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.577,Hourly
c3ea1801-55c1-46a7-b4de-2c55df0f6bcc,i3.large,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.165,Hourly
5821fcd4-8abf-468a-97d7-88ef548a9c86,i3.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1070.0,0.0,USD,0.101,Hourly
5c549ad4-ef92-4dee-8d8f-e46088e3a7aa,i3.large,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1070.0,0.0,USD,0.041,Hourly
2936a7c4-1e0e-4d28-800f-fc4202db8274,i3.large,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1177.0,0.0,USD,0.045,Hourly
7675bd4a-3c1f-4f9b-901f-0c8babbf626d,i3.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1177.0,0.0,USD,0.105,Hourly
2655a748-5833-434b-8dc7-47dba6c62862,i3.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1239.0,0.0,USD,0.107,Hourly
db08aa20-a599-45cd-8a81-22ffa5bfeb71,i3.large,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1239.0,0.0,USD,0.047,Hourly
1110ab37-831c-4b49-8e0e-a160211a2da4,i3.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1363.0,0.0,USD,0.112,Hourly
6f845041-7bc3-4f8b-8bcd-9dfc577a6e0b,i3.large,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1363.0,0.0,USD,0.052,Hourly
f45769e6-8190-449e-b262-cdc5ee29fc65,i3.large,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1422.0,0.0,USD,0.054,Hourly
8eefed58-7382-44ef-8e80-f31c98361ef7,i3.large,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1529.0,0.0,USD,0.058,Hourly
35d3c73e-7325-4e94-8a00-aac28a5c51d5,i3.large,SUSE Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1591.0,0.0,USD,0.06,Hourly
163544bd-ce67-471b-b1b2-591c99ccabae,i3.large,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1715.0,0.0,USD,0.065,Hourly
d9b2aa11-c1a4-45bd-87b5-a452af80944e,i3.large,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1966.0,0.0,USD,0.075,Hourly
6127f250-fbf9-4404-998c-7de831ff996e,i3.large,Linux/UNIX,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,2012.0,0.0,USD,0.0,Hourly
ff5e8a1b-332d-4fcf-8e87-cf72f2693cfb,i3.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,2073.0,0.0,USD,0.079,Hourly
e4c78fc0-b54e-4a9a-a2e1-625872c85fdf,i3.large,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,2127.0,0.0,USD,0.081,Hourly
76c50aff-c58f-4b7b-875c-0bd98575a0ee,i3.large,Linux/UNIX,dedicated,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,2213.0,0.0,USD,0.0,Hourly
7ca69b9b-ab0f-4050-80c9-7dafae6fe172,i3.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,2251.0,0.0,USD,0.086,Hourly
9755d809-0acc-4656-9d55-9d01f6c1fde1,i3.large,Linux/UNIX,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,2429.0,0.0,USD,0.0,Hourly
be740ddf-83c2-4f58-8506-5741ee94bcaa,i3.large,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,2671.0,0.0,USD,0.0,Hourly
79bcad25-b2aa-496b-80ca-0d813bdf3a3c,i3.large,SUSE Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,2706.0,0.0,USD,0.0,Hourly
