ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
103f4689-8515-4c69-a11b-f71013f6aad9,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.257,Hourly
155b87ce-8883-40ce-b7cd-d0b50d3e518a,i3.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.237,Hourly
6ab1fb75-e6b0-438c-8980-d0f805c48f15,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.204,Hourly
8d0161cd-36dc-45e7-bf47-7f0312b7a4f9,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.284,Hourly
90e6a2ee-015b-41d9-9b49-3f4b91acb5b7,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.684,Hourly
9ffe47e7-adef-4bc3-8e85-807d311a9773,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.264,Hourly
c2caf45b-678f-483d-9d6f-b712cf338b61,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.704,Hourly
cfe2dfcd-94dd-4821-9175-e36f98e7b328,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.292,Hourly
db43c899-fd7e-4a9c-8ecc-331ffa80832e,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.271,Hourly
e534feba-ab60-494b-9642-b6d9a3288c78,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.704,Hourly
eadeaea4-88ad-40b2-9d3b-da512bb79825,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.724,Hourly
f22f5464-3d45-44ca-b259-5cd0510d2263,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.224,Hourly
