ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
42198468-090f-4601-82da-3899bf4d6c52,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.834,Hourly
fcdc03bb-b65f-4674-ac85-b0db3e276940,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.834,Hourly
7741ef7b-6d0d-4aca-aaa2-628f91db66fc,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,34479.0,0.0,USD,1.312,Hourly
c104fde0-8125-4ebc-a9a2-dc2f2bf4a07f,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,34479.0,0.0,USD,1.312,Hourly
3cc3be2a-adb3-4979-bcc2-efac3ea24fd1,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,64821.0,0.0,USD,0.0,Hourly
b4b8eaca-dd8a-487e-963c-24e6eab1172e,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,64821.0,0.0,USD,0.0,Hourly
2816accc-9524-4c7b-b9ea-8d9971338ecb,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,3.965,Hourly
b5692c21-8080-415c-a16c-7ec4864139ad,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,3.965,Hourly
b18230dd-0ce4-4fb8-af1b-6c320399630c,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,16539.0,0.0,USD,1.888,Hourly
c0813e73-5d0c-4e57-8d5d-92fd8dd65d21,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,16539.0,0.0,USD,1.888,Hourly
