ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0dd697e3-ff1d-4235-93ff-ffaaa411e572,m4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.2496,Hourly
3d343ae2-8f53-4618-93cc-e936f5c7bf24,m4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2896,Hourly
5e353a91-7f7d-4692-850f-8cdda47b0bb5,m4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2633,Hourly
68eabce1-b4c3-42fa-994d-9bbb74a41a7b,m4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3933,Hourly
73a096d3-bd7e-4fd3-8073-ede7b8f8f3ec,m4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2896,Hourly
a1d2106c-f90d-4d0f-9ea1-8eabc296b078,m4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.4196,Hourly
c5576003-8d06-4adb-84ec-d6a8528a5751,m4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3985,Hourly
d981bad8-35b2-4475-9831-47d8d111b593,m4.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2963,Hourly
ec6501b8-fb1a-48a0-a004-bdd5fb6e8b7e,m4.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2633,Hourly
f583fc08-fdbe-4ba5-941b-6a33805f5c11,m4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.4248,Hourly
f86ce146-e09e-4d11-8059-5aac362d69df,m4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3226,Hourly
fda82a0b-d837-46f4-a2b2-a68f3abd604e,m4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.2233,Hourly
0e00dca1-ca9e-4617-97a1-7691df423b3c,m4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2519,Hourly
2c097c16-00f4-4639-a547-434d1d080512,m4.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3642,Hourly
316601ae-4f08-4040-b684-f5759604bda2,m4.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.359,Hourly
3631e760-4d63-4e59-ad89-2091295b1092,m4.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.229,Hourly
76d8d638-b67b-4692-9a0e-cc7fd5f9f401,m4.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2519,Hourly
7abad16b-fa6e-40e9-ba7a-4eba4ab25242,m4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3819,Hourly
81fb52d3-5f7a-4050-b7af-000cc8545722,m4.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,1.2119,Hourly
8b947c71-a397-4717-bf2c-ed62906346e2,m4.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3871,Hourly
