ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
399eafe7-7a1a-4f83-9d2b-5b3d5b98c3bf,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0847,Hourly
43ab8420-630c-48c4-b13c-52ed492a6db9,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.5647,Hourly
49084813-1f7f-48ad-86e2-a0181aa5443d,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1523,Hourly
4a761eeb-df65-41df-8737-d5f9e0124ac6,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.557,Hourly
4d7f4b03-770e-4345-b767-2b86467d0c44,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
7cb3075a-f6bc-4fb2-96e6-bf1a4e1edb5b,r4.large,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
8a3dd8c9-471d-445c-9637-44985055ef3a,r4.large,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.077,Hourly
8b5a4a7d-b074-4d37-8b21-731cecc1ca81,r4.large,SUSE Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1177,Hourly
9201a986-b114-4ec2-8d12-978c698abd22,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1446,Hourly
c655d47c-fe9d-4771-a9e6-3f26a2c6bf22,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1447,Hourly
16433c3e-64ad-4c40-b639-1f63df5c0ce5,r4.large,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1346,Hourly
1ba5a34e-82ee-48c9-bdf6-8f09b383067f,r4.large,SUSE Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
3aae121e-97cd-4da8-804b-613a5b4eebc3,r4.large,Linux/UNIX,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0737,Hourly
4bb2adb4-cb8e-4f1f-8e24-c02d430d6083,r4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.5537,Hourly
87de390e-335f-4d00-82cb-e483d953d85d,r4.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
a53eb351-f6bc-43aa-8279-1170762f79e1,r4.large,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.067,Hourly
aff4e70e-1f7a-495d-9a2b-c021620f294c,r4.large,SUSE Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1067,Hourly
d3d0be63-e65f-425b-a8ef-983e745f4aab,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1413,Hourly
dc6af267-e0b4-48b3-bb12-b8f2d836ee8c,r4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.1337,Hourly
e88a50af-2d5f-4a90-8681-32e6b2a78561,r4.large,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.547,Hourly
44ac4c6c-2ec7-4078-9fa8-f7b59b8bc833,r4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,820.0,0.0,USD,0.091,Hourly
cbffcfe7-5cfd-4081-8844-4145214de589,r4.large,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,820.0,0.0,USD,0.031,Hourly
4ccd450f-eba7-4225-bbaf-ee8fa04afca7,r4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,902.0,0.0,USD,0.094,Hourly
bc77ec1b-2747-40fe-b7a7-1dc70d285b84,r4.large,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,902.0,0.0,USD,0.034,Hourly
7357cf37-a5f5-43f8-9d2c-66e5bd3d78d0,r4.large,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,937.0,0.0,USD,0.0356,Hourly
9adda277-1611-4357-8b79-152edcdc1125,r4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,937.0,0.0,USD,0.0956,Hourly
28473c9e-0d39-4d9f-bde6-28eb219f6a08,r4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1031.0,0.0,USD,0.0992,Hourly
866b38b7-a9a3-4271-b2b8-454fb2713333,r4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1031.0,0.0,USD,0.0392,Hourly
bba4c0f2-bc02-42f5-9411-88cbc85c184f,r4.large,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1172.0,0.0,USD,0.044,Hourly
2231c6a8-14cc-4238-832b-f446af5eedc4,r4.large,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1254.0,0.0,USD,0.047,Hourly
562cd235-4d69-4d58-98fe-b8e853b5a931,r4.large,SUSE Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1289.0,0.0,USD,0.0486,Hourly
ad2ee8d8-a415-4f84-bae6-cf4c78aa26e1,r4.large,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1383.0,0.0,USD,0.0522,Hourly
b7dbc918-1a94-48cf-b144-cf27226738dd,r4.large,Linux/UNIX,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,1541.0,0.0,USD,0.0,Hourly
b39a8db3-b41c-430d-8553-d6ea4a87479e,r4.large,Linux/UNIX,dedicated,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,1696.0,0.0,USD,0.0,Hourly
441b7fca-ba67-40e8-b886-6f3d59a3b97d,r4.large,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1703.0,0.0,USD,0.0648,Hourly
f52de463-ba93-475c-98da-62fe2361b37d,r4.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1784.0,0.0,USD,0.0679,Hourly
1abc0a27-0455-43c7-b1e6-b4618d8df52a,r4.large,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1825.0,0.0,USD,0.0694,Hourly
f4c38c89-645a-4410-a832-af7b1435a376,r4.large,Linux/UNIX,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,1836.0,0.0,USD,0.0,Hourly
0bf1fbc8-d0c8-4002-b415-11926c2fb756,r4.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1919.0,0.0,USD,0.073,Hourly
7e6e80a7-e891-4afc-87d4-8f6b0ce2d7ea,r4.large,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,2020.0,0.0,USD,0.0,Hourly
b39886ad-d64e-4f24-b6c7-8b0c7339315d,r4.large,SUSE Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,2235.0,0.0,USD,0.0,Hourly
5c687352-b9a7-4e24-80c7-5806391b6dd8,r4.large,SUSE Linux,dedicated,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,2390.0,0.0,USD,0.0,Hourly
6e32439e-ef77-4935-8f4d-a023f358c3d6,r4.large,SUSE Linux,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,2530.0,0.0,USD,0.0,Hourly
8766fc83-6d4e-4d00-9006-3fba33fc827f,r4.large,SUSE Linux,dedicated,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,2714.0,0.0,USD,0.0,Hourly
d226005f-290d-4a0d-aa17-fe3cb8189967,r4.large,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,3118.0,0.0,USD,0.0,Hourly
49bab006-387a-4ad4-9b50-c031ff78966a,r4.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,3272.0,0.0,USD,0.0,Hourly
4412f917-ba0f-4554-8d9d-66b2b81fbaad,r4.large,Linux with SQL Server Web,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,3308.0,0.0,USD,0.0,Hourly
45cf7bde-f318-4667-b03c-7b7d0a7ef063,r4.large,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,3413.0,0.0,USD,0.0,Hourly
dc55eb16-5409-4c64-b569-1c0198e7161e,r4.large,Linux with SQL Server Web,dedicated,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,3461.0,0.0,USD,0.0,Hourly
737e0454-76b9-4900-95f4-0300901223ad,r4.large,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,3597.0,0.0,USD,0.0,Hourly
60cd9926-0a5d-4879-a2a8-3fb109d7d2a5,r4.large,Linux with SQL Server Web,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,3613.0,0.0,USD,0.0,Hourly
19d9e9b6-520e-4b38-acb3-0573b060b219,r4.large,Linux with SQL Server Web,dedicated,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,3796.0,0.0,USD,0.0,Hourly
