ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
14c8ec3e-5f1c-441e-a695-7c6e31148189,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2468,Hourly
1ec13f27-cb12-4113-8d63-a9301b3b795b,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2798,Hourly
42cd3e08-60b8-4af5-96b6-f1112874b395,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.382,Hourly
73ccd262-147a-4b1d-8058-ddfa59205df2,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3768,Hourly
c3da25b2-c8f6-41fd-88e8-65e965a64a95,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2468,Hourly
1d944d39-2607-4a68-926f-aaca0ae755e7,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3444,Hourly
47cc1dd6-81d2-4236-8488-8b5ad1f2609c,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.2144,Hourly
8a2c8e5a-627a-46ee-900a-94fe28edf491,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2144,Hourly
c53cc08d-21d6-40cb-8a51-3d18b530d2eb,t2.2xlarge,SUSE Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.2474,Hourly
de21b860-5d2f-4c95-a5e5-63821c3a4c8a,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.3496,Hourly
7b259d14-29c7-4dec-8469-93334b980244,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,2609.0,0.0,USD,0.2293,Hourly
c15b2217-160e-419a-a861-713e77d4abd3,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,2609.0,0.0,USD,0.0993,Hourly
c50adce8-ece9-4628-ada3-05dde7edc54a,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,2961.0,0.0,USD,0.1123,Hourly
4a555f91-b758-4ee0-85dc-03ac1c0de266,t2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,3002.0,0.0,USD,0.1142,Hourly
fdee8a57-7312-4e19-9201-221ab895ec41,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,3002.0,0.0,USD,0.2442,Hourly
7721def5-bd2f-4599-a134-cccadb565e45,t2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,3354.0,0.0,USD,0.1272,Hourly
04a04e2a-6a10-4400-8294-24cc3d0289de,t2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,4385.0,0.0,USD,0.1669,Hourly
5ab8de63-9f5b-4cef-9bc7-59a3a330dd54,t2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,4779.0,0.0,USD,0.1818,Hourly
82b37d1f-8a0f-466c-b990-667566324c41,t2.2xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,4904.0,0.0,USD,0.0,Hourly
8495b887-a3ef-410c-a0fe-23e4532b6797,t2.2xlarge,SUSE Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,5598.0,0.0,USD,0.0,Hourly
a1f608c3-e15d-4275-a55a-04bcedce7198,t2.2xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,5885.0,0.0,USD,0.0,Hourly
