ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
464a4a37-4774-4ea5-bebc-cdbd8e80d680,t2.medium,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0308,Hourly
78263cbe-9111-4c88-8826-b0b6038daf91,t2.medium,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0638,Hourly
ae4c95a1-b313-47d3-99d8-964822f0f956,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0908,Hourly
c5890650-1d73-4562-9a77-e83d58eb0c70,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0984,Hourly
0cd8b5aa-3cab-4d9c-9aed-fdb9b860dd1c,t2.medium,SUSE Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0598,Hourly
d77d249d-68c2-4292-a32b-c42a0db87f50,t2.medium,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0268,Hourly
e0962035-67ac-4a84-8226-7c9278d81307,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0944,Hourly
f003245c-a6f6-4847-bd1d-e7dceb2ebd6d,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0868,Hourly
23eb5a82-6bfd-4238-af37-7f0d23a21eee,t2.medium,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,327.0,0.0,USD,0.012,Hourly
34dd4ba0-3276-404a-af86-e2150bf247cc,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,327.0,0.0,USD,0.072,Hourly
3a807e37-2d4f-4a10-8143-9289fd57a283,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,375.0,0.0,USD,0.0143,Hourly
61b5ad60-f145-487c-94da-872975cdf2e8,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,375.0,0.0,USD,0.0743,Hourly
f4f97ee7-1a9f-4afa-a26e-27b4c4f7d863,t2.medium,Linux/UNIX,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,613.0,0.0,USD,0.0,Hourly
7df779de-a6a3-4a20-bf34-1432c7912840,t2.medium,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,679.0,0.0,USD,0.025,Hourly
a63baefe-459c-4cee-817a-78fa1938a1f8,t2.medium,SUSE Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,727.0,0.0,USD,0.0273,Hourly
64f45303-bd56-47dd-b065-926c3d217a29,t2.medium,Linux/UNIX,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,736.0,0.0,USD,0.0,Hourly
72e47918-b8aa-43ef-a110-37e970234ef8,t2.medium,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1214.0,0.0,USD,0.0462,Hourly
85428e1a-ceeb-4948-b383-1c25e9a64390,t2.medium,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1264.0,0.0,USD,0.0481,Hourly
cdd6e967-897b-4961-9c11-5830459b2027,t2.medium,SUSE Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,1307.0,0.0,USD,0.0,Hourly
f0593d8b-bf5f-4ac0-af45-5e9336735379,t2.medium,SUSE Linux,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,1430.0,0.0,USD,0.0,Hourly
9679eb87-24d1-445e-9283-14cd4972db16,t2.medium,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,2190.0,0.0,USD,0.0,Hourly
a449b32f-ada4-4cc9-9673-82b8588da371,t2.medium,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,2312.0,0.0,USD,0.0,Hourly
c1ecccad-c8ca-4dbe-a2e1-96d178fe5577,t2.medium,Linux with SQL Server Web,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,2390.0,0.0,USD,0.0,Hourly
d6acf246-6853-44f6-af9e-84ee1f42012d,t2.medium,Linux with SQL Server Web,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,2512.0,0.0,USD,0.0,Hourly
1231ecf7-3779-4bfb-9935-5f870f7a85e5,t2.medium,SUSE Linux,default,convertible,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0754,Hourly
149fcf2f-a5cc-4e77-8ac9-69f2c3d939f2,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
664e3e1d-82cf-4c9a-863f-98351aa54921,t2.medium,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0424,Hourly
b8022efc-82fa-4d77-bdb3-a9423bf94e55,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.1024,Hourly
b7de03dd-adfc-4e47-bab8-4e714e3405a1,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.1045,Hourly
b7f6f283-de41-41d6-9eb4-14d61736aca1,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0963,Hourly
c8425fd0-74f1-4da6-a8a5-100437380e1b,t2.medium,SUSE Linux,default,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0693,Hourly
cee59041-d716-40e4-a13e-9255cc9bf0e2,t2.medium,Linux/UNIX,default,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0363,Hourly
73cb2845-775a-4e1a-a0ec-fe2cbc91d327,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,154.0,0.0,USD,0.0776,Hourly
95a2e388-11ab-4eeb-8320-8a131bfb7e78,t2.medium,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,154.0,0.0,USD,0.0176,Hourly
5ee75d02-e715-4dee-8ef8-22d2674d97c9,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,177.0,0.0,USD,0.0202,Hourly
634cbbbd-df1e-49b1-a515-2090488e19fc,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,177.0,0.0,USD,0.0802,Hourly
