ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
359af21f-eaa2-4456-bee3-8183ff237e80,t2.nano,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0129,Hourly
4908e803-1ca3-465d-a3d6-de5d77cbe642,t2.nano,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0039,Hourly
4064b5bf-6cfa-4143-adc8-69718ad77824,t2.nano,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0034,Hourly
93309a1e-5c4f-483b-88d3-cc577cc75f00,t2.nano,SUSE Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0124,Hourly
d46ac544-76fa-444e-b69a-d7f9e330980c,t2.nano,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,41.0,0.0,USD,0.0016,Hourly
3d9838db-c074-43a3-975f-f12b4caf2d80,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,47.0,0.0,USD,0.0018,Hourly
21a4077f-84ce-44f8-a247-5b5d7ad205bf,t2.nano,Linux/UNIX,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,77.0,0.0,USD,0.0,Hourly
24fd164b-f9cc-42c0-88be-a1cbcb108640,t2.nano,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,85.0,0.0,USD,0.0076,Hourly
6b4b0dab-ec62-47ce-a2f7-c7c12e03df1f,t2.nano,SUSE Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,91.0,0.0,USD,0.0078,Hourly
f8198b20-3444-4b35-adef-338068d27455,t2.nano,Linux/UNIX,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,92.0,0.0,USD,0.0,Hourly
704ab695-1968-4be1-9997-d4f46f09591a,t2.nano,SUSE Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,279.0,0.0,USD,0.0,Hourly
b8b5573c-e773-44b1-8ab4-55a2ff733fa4,t2.nano,SUSE Linux,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,294.0,0.0,USD,0.0,Hourly
9d173524-beac-491f-b9fa-1dcdd9d3bebe,t2.nano,SUSE Linux,default,convertible,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0143,Hourly
d45334ed-021b-407b-b25b-8210c2b24c30,t2.nano,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0053,Hourly
2def1d6f-4f1f-4d21-b403-bd28d915d3c1,t2.nano,Linux/UNIX,default,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0045,Hourly
ab407b27-a9e9-4215-bd3e-2f07d0842cc2,t2.nano,SUSE Linux,default,standard,No Upfront,eu-west-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.0135,Hourly
53a2688e-4bce-4d67-9a15-30dbabcd24a9,t2.nano,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,20.0,0.0,USD,0.002,Hourly
f669d9e6-0f2a-4dd2-a62f-14f534b6d0fc,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,22.0,0.0,USD,0.0025,Hourly
d2e62ed7-8792-4934-8f47-a08292e4b6b0,t2.nano,Linux/UNIX,default,standard,All Upfront,eu-west-2a,31536000,Availability Zone,0,38.0,0.0,USD,0.0,Hourly
473222cb-3ed5-47a8-98a8-18c082b25cc3,t2.nano,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,42.0,0.0,USD,0.008,Hourly
cd0c13b5-744e-4e8f-b301-e13d269d919c,t2.nano,Linux/UNIX,default,convertible,All Upfront,eu-west-2a,31536000,Availability Zone,0,43.0,0.0,USD,0.0,Hourly
e11e38b1-1ed8-40c1-a1fa-714269efccee,t2.nano,SUSE Linux,default,convertible,Partial Upfront,eu-west-2a,31536000,Availability Zone,0,44.0,0.0,USD,0.0085,Hourly
a55f3637-f14f-4014-9e04-f1221ed911d8,t2.nano,SUSE Linux,default,standard,All Upfront,eu-west-2a,31536000,Availability Zone,0,113.0,0.0,USD,0.0,Hourly
9c982a10-8082-47b4-aa68-ddca8ecdef7e,t2.nano,SUSE Linux,default,convertible,All Upfront,eu-west-2a,31536000,Availability Zone,0,118.0,0.0,USD,0.0,Hourly
98a3e689-ec7b-4a7a-9fb3-91f8a55a3a79,t2.nano,Windows,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0062,Hourly
2a4d0ac6-dae4-4aed-9544-08fe327a286c,t2.nano,Windows BYOL,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0034,Hourly
