ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
39e2cb3a-8d8a-4672-9b8c-6381a8cdb233,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0754,Hourly
3dd737bf-2cef-4f92-ae92-e128e05ac590,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.083,Hourly
7a76ae26-324c-413f-8b16-67e697dd1c8a,t2.small,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0384,Hourly
df9f41b6-34e0-4716-9c93-99af09c7dce5,t2.small,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0154,Hourly
5eb6574f-9d2e-49df-a152-58a1341f46c9,t2.small,Linux/UNIX,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0134,Hourly
8e788f9f-1eaf-4c2a-bb15-e99422f6ee42,t2.small,SUSE Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0364,Hourly
a1005b79-82d8-46c8-85be-1b8def11f41f,t2.small,Linux with SQL Server Web,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.081,Hourly
a98d2da4-9c15-4433-8268-9d920d80d821,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,0.0734,Hourly
6d3a5bc9-8dcb-481b-a1a9-fb242d4afe3c,t2.small,Linux/UNIX,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,168.0,0.0,USD,0.006,Hourly
b68e80ff-20fd-46c8-a34c-67443e4b9585,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,168.0,0.0,USD,0.066,Hourly
0984ec2f-5888-490d-9b55-71b43ee88d7d,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,188.0,0.0,USD,0.0671,Hourly
3cdc7437-a737-4842-9d8d-05da62d52412,t2.small,Linux/UNIX,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,188.0,0.0,USD,0.0071,Hourly
1914a4d8-9b62-4e6a-a94d-6e8759efe0aa,t2.small,SUSE Linux,default,convertible,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,287.0,0.0,USD,0.0206,Hourly
c3c99423-ca11-42ee-bc81-d75feb43e0c7,t2.small,Linux/UNIX,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,307.0,0.0,USD,0.0,Hourly
01660c5c-1739-4642-b562-f584863e3ac1,t2.small,SUSE Linux,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,344.0,0.0,USD,0.019,Hourly
12807302-04a2-4bd1-ab29-fd25839fb670,t2.small,Linux/UNIX,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,368.0,0.0,USD,0.0,Hourly
c21ab19f-3f58-4da2-bac9-f81f47191d9e,t2.small,SUSE Linux,default,standard,All Upfront,eu-west-2a,94608000,Availability Zone,0,825.0,0.0,USD,0.0,Hourly
75bf7f11-d21d-4f13-97ff-933a7bb11ee7,t2.small,SUSE Linux,default,convertible,All Upfront,eu-west-2a,94608000,Availability Zone,0,886.0,0.0,USD,0.0,Hourly
b55dbf4d-38c1-420c-806a-e26bc11588f3,t2.small,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-2a,94608000,Availability Zone,0,1051.0,0.0,USD,0.04,Hourly
