ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
30b4b018-8161-49c3-8d62-756f83c043be,x1.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.417,Hourly
6d071a1b-f9b7-4e55-9b4a-ae49dc99b8f9,x1.16xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.106,Hourly
af0f7e27-bac8-492e-8c6a-709951f15c41,x1.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,11.097,Hourly
ba0ad8c6-47ec-4ebd-bf58-0036dede1d28,x1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.547,Hourly
bfc69d5c-e6be-46a8-a4a4-ab7eb5f2eb57,x1.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.45,Hourly
c4bf3ee4-c4c1-4f40-8b29-c3f224383627,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,27.417,Hourly
d60592bf-7da4-4a3e-a65d-93939d8f56c9,x1.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,4.188,Hourly
dc4a7952-e6c4-4ba0-b362-47c1686cafa7,x1.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,27.106,Hourly
dde5d00a-7ce4-4fc1-a398-946d816c65aa,x1.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,4.499,Hourly
e1b3b0c4-936d-44f1-9dc2-50166f6eeed6,x1.16xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.139,Hourly
e559c295-1ec5-4950-92f7-31a80480654a,x1.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.236,Hourly
f74ea213-b9e4-4a0c-9877-6935545a0fe3,x1.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.786,Hourly
14408d27-f01b-49c0-8402-1bcc4e4b761c,x1.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,4.053,Hourly
2a707509-4224-4e3a-9505-9b94989a6ca3,x1.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,10.651,Hourly
2b2bf669-f64a-496d-ab89-d02af7480e00,x1.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,2.831,Hourly
60614fdc-aca1-4f37-8839-e621efb7e399,x1.16xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.004,Hourly
6d0deac5-423f-4fb9-8bd1-3a82554b1d2c,x1.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,26.701,Hourly
9320e11a-72de-4409-861b-3765a3a1dc39,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-2a,94608000,Availability Zone,0,0.0,0.0,USD,3.101,Hourly
