ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
322bc615-7664-4cd9-aed9-7d5b13793813,m4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.1249,Hourly
67766df3-fc66-4233-9a83-189c18e5b931,m4.large,SUSE Linux,dedicated,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.1044,Hourly
884c7b03-3989-459b-9873-898d0785acca,m4.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0714,Hourly
af6c8365-4037-4a1b-8c4b-10e5a6877bf1,m4.large,SUSE Linux,default,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0979,Hourly
c17d4c3e-e59b-4402-bb9e-5963762c9c6e,m4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.1314,Hourly
ef08911c-046d-4ef8-aa3f-4655015359ee,m4.large,Linux/UNIX,default,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0649,Hourly
07d165b5-6625-4a0e-b9a1-75d7f87c6901,m4.large,Linux/UNIX,dedicated,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0621,Hourly
0fdc9cd1-498e-4898-ab66-a6565dfbfd5d,m4.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.1164,Hourly
1ed0a87e-5acf-4a1f-8482-148e75e12af4,m4.large,Linux/UNIX,default,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0564,Hourly
4d555fe8-185f-4aeb-8ab2-b2d7a49ad14d,m4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.1221,Hourly
7a8199aa-d975-406f-bd64-f741a7ebb2a6,m4.large,SUSE Linux,dedicated,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0951,Hourly
f32f3fbe-bcbf-4d52-8e9b-8354f2327d13,m4.large,SUSE Linux,default,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0894,Hourly
17656a14-46ae-4842-8b92-8bb24ef924b3,m4.large,Linux/UNIX,default,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,687.0,0.0,USD,0.0261,Hourly
9b961e51-3f62-4684-a7c9-53fdc3d166a0,m4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,687.0,0.0,USD,0.0861,Hourly
6281b72e-38cb-4fb1-9138-c9042b618ffb,m4.large,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,755.0,0.0,USD,0.0287,Hourly
a597a66f-6083-4199-8691-62d4e43008e8,m4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,755.0,0.0,USD,0.0887,Hourly
31b6cf52-5104-46ab-a19c-470cb3031f0c,m4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,790.0,0.0,USD,0.09,Hourly
98a59d5b-9957-4fdc-8b91-a448702ddaa6,m4.large,Linux/UNIX,default,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,790.0,0.0,USD,0.03,Hourly
31e43a37-94c4-4eca-bf7c-7f86839ee68d,m4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,869.0,0.0,USD,0.033,Hourly
9c6ec782-db19-4553-b2e6-62cb0ac1b86d,m4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,869.0,0.0,USD,0.093,Hourly
f43a8ac9-dee3-45e1-bc2d-ad88f22acbb5,m4.large,SUSE Linux,default,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,1039.0,0.0,USD,0.0391,Hourly
f9d0bbb2-6cbc-41bb-a9d0-6e5f1f33d2da,m4.large,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,1107.0,0.0,USD,0.0417,Hourly
