ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
67ffb05b-003d-4da7-a0b7-850d0148c122,t2.micro,Linux/UNIX,default,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0077,Hourly
ce662893-6fa4-4572-8674-80b7c083614a,t2.micro,SUSE Linux,default,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0407,Hourly
f4b8b340-63ae-4b5c-a3ab-955499d244f0,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0677,Hourly
f7c7c203-7676-4f6e-a96d-d44bb6ae870a,t2.micro,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0753,Hourly
0fb057be-825e-4b50-a5df-ecd748e490ab,t2.micro,Linux/UNIX,default,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0067,Hourly
4afbe751-9d54-48b4-966c-95bca58ee92d,t2.micro,SUSE Linux,default,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0397,Hourly
8e5dbb23-cd67-4026-8f50-7f0be8604478,t2.micro,Linux with SQL Server Web,default,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0743,Hourly
decc327b-55c1-492e-9a53-2fee14097e9b,t2.micro,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-3c,94608000,Availability Zone,0,0.0,0.0,USD,0.0667,Hourly
446e250c-b526-49ae-b99f-b3b7389a8591,t2.micro,Linux/UNIX,default,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,82.0,0.0,USD,0.0031,Hourly
acaaf7da-9e44-4332-ad3c-76b42b028853,t2.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,82.0,0.0,USD,0.0631,Hourly
83f1fd38-9f13-4f03-a7e7-cbb483328a8d,t2.micro,Linux/UNIX,default,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,94.0,0.0,USD,0.0036,Hourly
b847ec49-4bf0-438f-9f3e-d705a0a4df22,t2.micro,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,94.0,0.0,USD,0.0636,Hourly
cfc7b873-5133-47d8-84c1-4699b1be5ac9,t2.micro,Linux/UNIX,default,standard,All Upfront,eu-west-3c,94608000,Availability Zone,0,153.0,0.0,USD,0.0,Hourly
6694efa5-0f51-4d0b-ae11-387744fba43a,t2.micro,Linux/UNIX,default,convertible,All Upfront,eu-west-3c,94608000,Availability Zone,0,184.0,0.0,USD,0.0,Hourly
19a5d249-c9ee-41c8-8a5e-396312c5aa62,t2.micro,SUSE Linux,default,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,434.0,0.0,USD,0.0161,Hourly
45cd27a1-195c-4d9d-a504-1425f1e334a7,t2.micro,SUSE Linux,default,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,446.0,0.0,USD,0.0166,Hourly
fba2d352-30c8-4256-ba6d-fd5f671a5665,t2.micro,SUSE Linux,default,standard,All Upfront,eu-west-3c,94608000,Availability Zone,0,847.0,0.0,USD,0.0,Hourly
4396fc33-b61b-4ecc-b821-36ff2f0425f7,t2.micro,SUSE Linux,default,convertible,All Upfront,eu-west-3c,94608000,Availability Zone,0,878.0,0.0,USD,0.0,Hourly
83db6d26-600b-4f12-bcf9-9c4c4f322782,t2.micro,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,970.0,0.0,USD,0.0369,Hourly
6b82194b-774e-4831-ab3d-62eb8df842a9,t2.micro,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-3c,94608000,Availability Zone,0,982.0,0.0,USD,0.0374,Hourly
3c87ee0e-fa8d-4f25-85bf-9b68324e0d1d,t2.micro,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-3c,94608000,Availability Zone,0,1730.0,0.0,USD,0.0,Hourly
ce702c3c-f39c-449b-a45d-3a1af5c0d570,t2.micro,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-west-3c,94608000,Availability Zone,0,1761.0,0.0,USD,0.0,Hourly
6c9c1f46-a746-4fd9-8a13-03dc39a1c89d,t2.micro,Linux with SQL Server Web,default,standard,All Upfront,eu-west-3c,94608000,Availability Zone,0,1930.0,0.0,USD,0.0,Hourly
6bf19ba6-da4b-435a-bd85-c005218d8eda,t2.micro,Linux with SQL Server Web,default,convertible,All Upfront,eu-west-3c,94608000,Availability Zone,0,1960.0,0.0,USD,0.0,Hourly
01c575e7-068a-4181-ab24-f8b1c81d913d,t2.micro,Linux/UNIX,default,convertible,No Upfront,eu-west-3c,31536000,Availability Zone,0,0.0,0.0,USD,0.0106,Hourly
1ed3d2a1-7dfc-440a-afc1-61311c3545d8,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-3c,31536000,Availability Zone,0,0.0,0.0,USD,0.0706,Hourly
