ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
32537344-fc49-4d53-97c4-9ff754d5a6e5,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,977.0,0.0,USD,0.104,Hourly
3dae9a7f-3dca-4b0d-b719-3c81097ad1ef,c1.medium,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,977.0,0.0,USD,0.044,Hourly
adc0db42-aa65-4852-b5f7-ed62bfb43d01,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1075.0,0.0,USD,0.048,Hourly
c821cb19-e40e-4240-b830-8fb33812443f,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1075.0,0.0,USD,0.114,Hourly
2f1fc773-6ceb-4f37-8be6-bbee936b2ee7,c1.medium,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1329.0,0.0,USD,0.055,Hourly
7cc39bb7-dafb-4456-8697-29a7b837f423,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1462.0,0.0,USD,0.061,Hourly
67c68ab0-f71e-44b3-bb01-e60ad9b930d9,c1.medium,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2005.0,0.0,USD,0.0,Hourly
96110e32-5551-4e95-9a99-20557e30fd6f,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2205.0,0.0,USD,0.0,Hourly
38f9d7da-f669-46a3-9058-40df426a82a4,c1.medium,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2607.0,0.0,USD,0.0,Hourly
78b8b3a7-f137-4c25-b70d-926f1d6e292e,c1.medium,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2867.0,0.0,USD,0.0,Hourly
5d2cc77c-7d8d-4c5f-94fe-0448e505a433,c1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3487.0,0.0,USD,0.0,Hourly
75b0ef99-61cf-4905-976a-77561e30fb83,c1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3835.0,0.0,USD,0.0,Hourly
