ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
29e1a4c1-b475-445c-a47c-17777d17442c,c4.xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.179,Hourly
2f8ac832-8515-42f1-a3da-0911510cfdcb,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.677,Hourly
66794349-7494-4180-8c5d-fc9d5f74a4a4,c4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.23,Hourly
770b8fe9-6515-4375-b153-b8ab2026cdd8,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.697,Hourly
8aff9f18-68b7-4b11-9fda-e7a39c36c0a4,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.257,Hourly
980875d0-f9cc-431a-85cb-0d909f57afdd,c4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.659,Hourly
9c0f52af-11c9-4aab-b1b5-5324fdcc0313,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.679,Hourly
a2347e6f-003c-45cb-b555-1ca87dfac960,c4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.246,Hourly
c7434da3-2f37-47b4-adcd-43b542de720f,c4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.239,Hourly
ca53563a-f5d1-4cca-9049-f55aec7e38c2,c4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.197,Hourly
f09c1eb0-c098-4811-b5e1-c06ce1f8a91c,c4.xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.212,Hourly
f3991889-31e5-4191-8d0e-81c27afe3c53,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.264,Hourly
133b7a09-7be3-47cc-8fd6-920082ccef45,c4.xlarge,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.204,Hourly
33169209-8afc-45f8-94b5-b996d6bf3107,c4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.223,Hourly
34c02526-68a9-46d6-ad09-b3ed8834c3be,c4.xlarge,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
37f92b0c-171f-48e7-99af-e684173e0207,c4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.216,Hourly
4280dce3-8388-4b6b-8416-fcdbc68b9925,c4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.636,Hourly
53a78f8f-094c-4797-804c-fcd077e9eb62,c4.xlarge,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
63a1763f-a3fc-436f-96c3-1d148a02bf9a,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.671,Hourly
7f5bed68-3791-4f2d-8763-c3f37ce8a650,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.231,Hourly
8bd97b41-ca46-472f-bea4-a12512b7d8b4,c4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.171,Hourly
a9fabcc0-4c7e-4ccc-b4a7-1552fedb148a,c4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.656,Hourly
