ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0493db99-9030-4bf5-a035-0aa2feb98448,c5.9xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,14.766,Hourly
0985208b-365a-4342-a6b0-81ceff5357dd,c5.9xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.426,Hourly
1ad97f95-c7a5-434f-9e5d-50911ee0f241,c5.9xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,14.926,Hourly
6890f3c0-379b-4961-888a-3be1d224afcb,c5.9xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.556,Hourly
78011ede-d26d-44b2-8fcd-50d615d1a4fe,c5.9xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.266,Hourly
97afd2e8-d58b-4c85-b6ae-13cfc3f20691,c5.9xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.875,Hourly
b143dc35-1f7b-4efe-93b8-3d0b2c7ecb06,c5.9xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.586,Hourly
bc8d5f79-d843-4db6-aade-0da6b0115774,c5.9xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.396,Hourly
d792236f-995b-4060-a9f0-35be55198df1,c5.9xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.746,Hourly
e73400aa-46e8-4d3e-b463-298ea50b2036,c5.9xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.459,Hourly
