ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0722c555-7fa4-4b1f-b361-5cb4364339bf,c5.large,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.07,Hourly
242187f0-7693-460a-9101-393d8b44a840,c5.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.139,Hourly
3cbaa753-fcd2-4047-b5eb-899338794e99,c5.large,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.138,Hourly
793c454c-db72-486c-a533-9526f0dce0c9,c5.large,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
9c5bf97a-2a67-4905-bf61-a882b985e9a8,c5.large,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.55,Hourly
9ef109a2-a7ed-464f-8636-45a70ed6f4a3,c5.large,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.079,Hourly
be23099f-ea29-4c39-b25e-a47cb1b7f042,c5.large,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
be960e95-0c45-4908-bde0-776eec7bda5c,c5.large,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.103,Hourly
cec43892-ed23-47a9-877a-fcdc5c875ee5,c5.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.147,Hourly
d19afdc3-374c-4e94-9b50-052f1d52161c,c5.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.559,Hourly
2513ac9c-2dd0-4098-aa9e-60b2dbd1f764,c5.large,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.094,Hourly
287e191d-7bb6-4162-847b-c6de1f13db79,c5.large,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.061,Hourly
3199c226-104a-4f80-910b-dff521040481,c5.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
323a1b0a-cb02-4622-abdb-1979784ebdbd,c5.large,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.121,Hourly
554623a8-b469-4034-95ed-7af653be60c6,c5.large,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.103,Hourly
a027810a-b590-4bb5-b49d-fe84d6261ffa,c5.large,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.07,Hourly
a38a225a-4b7d-494a-8672-bbc1cf005f72,c5.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.55,Hourly
d943a43a-0ec9-4169-a9f0-424a914f3b84,c5.large,Linux with SQL Server Standard,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.541,Hourly
dd267a1c-6b68-43d0-9c4d-efdd889c7b4b,c5.large,Linux with SQL Server Web,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.138,Hourly
f019e941-c7e0-413d-a735-6c153432907e,c5.large,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.129,Hourly
a00a3c54-d267-4825-91ea-c1225f899769,c5.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,744.0,0.0,USD,0.088,Hourly
e0108b2c-6ec7-410b-b0c0-24a4a12d7fb7,c5.large,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,744.0,0.0,USD,0.028,Hourly
bab54bda-d46f-4764-b3a3-9109fc0ccfaf,c5.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,856.0,0.0,USD,0.093,Hourly
fac49772-d0c1-47b7-ae2c-1e1f7bbe6131,c5.large,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,856.0,0.0,USD,0.033,Hourly
43999d0d-740c-4a5b-bb21-7090268abe15,c5.large,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,861.0,0.0,USD,0.033,Hourly
9be6d01c-bc2f-42dc-9714-9cef483caf6e,c5.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,861.0,0.0,USD,0.093,Hourly
b155eff5-2d4d-4380-b07a-f379084ca8f1,c5.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,973.0,0.0,USD,0.097,Hourly
c7f34d55-7183-44e1-b176-0bb3a3b07d6a,c5.large,Linux/UNIX,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,973.0,0.0,USD,0.037,Hourly
e6fb93ca-32bd-42d9-a927-7ad95687f2db,c5.large,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1096.0,0.0,USD,0.041,Hourly
10c5694e-dd51-4826-a986-83dae632b354,c5.large,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1208.0,0.0,USD,0.046,Hourly
6463a00c-14c4-4560-ad55-8ac910b8c2e4,c5.large,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1213.0,0.0,USD,0.046,Hourly
abe6c38f-2a55-48fd-93d3-e3cdffe3a0c7,c5.large,SUSE Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1325.0,0.0,USD,0.05,Hourly
5acce6c8-1177-4477-a3c4-2fe2de6ce4ca,c5.large,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1399.0,0.0,USD,0.0,Hourly
2f28c5cf-f56c-4395-bea5-ef613766cafc,c5.large,Linux with SQL Server Web,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1633.0,0.0,USD,0.062,Hourly
c48312b0-61cb-4a89-805e-c6c371dbef2a,c5.large,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1633.0,0.0,USD,0.0,Hourly
a460eb7b-6e53-441f-a91b-1598fa87ef10,c5.large,Linux/UNIX,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,1678.0,0.0,USD,0.0,Hourly
97d1bd7b-2f62-470d-9dae-359a693d9a93,c5.large,Linux with SQL Server Web,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1744.0,0.0,USD,0.066,Hourly
423b2fe4-5efd-42a3-9db3-2026170b3dec,c5.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1749.0,0.0,USD,0.067,Hourly
522d9c4d-45a3-486d-9526-0bdca5ce588f,c5.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1861.0,0.0,USD,0.071,Hourly
2765dd2b-2dfe-415f-8160-d47cfdbaf95c,c5.large,Linux/UNIX,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,1911.0,0.0,USD,0.0,Hourly
e12d2a1d-2d91-4c1d-8de6-19c9fdbe00dd,c5.large,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2093.0,0.0,USD,0.0,Hourly
83602256-6c69-4733-aa08-9c0ba52bbb29,c5.large,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2327.0,0.0,USD,0.0,Hourly
b534f09f-d4cc-4c1f-880a-99caac2b2236,c5.large,SUSE Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,2372.0,0.0,USD,0.0,Hourly
6119440c-53dd-44d5-aee5-d431aa323478,c5.large,SUSE Linux,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,2605.0,0.0,USD,0.0,Hourly
7df353e6-c16e-4eb4-a4f5-0d0f4fc8f7fc,c5.large,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2976.0,0.0,USD,0.0,Hourly
d93f3985-ac24-4382-9b69-14047d607d18,c5.large,Linux with SQL Server Web,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3176.0,0.0,USD,0.0,Hourly
738b5698-32ec-47d1-b8be-96dfdf188443,c5.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3210.0,0.0,USD,0.0,Hourly
46687054-f12a-4de2-8a45-896c65afcb8d,c5.large,Red Hat Enterprise Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,3254.0,0.0,USD,0.0,Hourly
e03148f5-e151-409f-8c03-9c52e0858fce,c5.large,Linux with SQL Server Web,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3410.0,0.0,USD,0.0,Hourly
9a60107b-8cc0-49b7-8484-b03254a4a62f,c5.large,Linux with SQL Server Web,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,3454.0,0.0,USD,0.0,Hourly
1f11fd4c-648a-4eab-bac4-f8f1c902f10f,c5.large,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,3488.0,0.0,USD,0.0,Hourly
6141a695-0e19-4a80-a0d0-7b91b711ae6d,c5.large,Linux with SQL Server Web,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,3688.0,0.0,USD,0.0,Hourly
eca9afae-01cf-42b1-a1b3-051fd7615806,c5.large,Linux with SQL Server Standard,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7051.0,0.0,USD,0.268,Hourly
5d463fef-598d-4222-a18a-02ced413db72,c5.large,Linux with SQL Server Standard,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7163.0,0.0,USD,0.273,Hourly
6678ffe3-0ee8-4b4b-b96f-b9a8a7081627,c5.large,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7168.0,0.0,USD,0.273,Hourly
d049c5bd-7935-4e40-b224-656633c1bd28,c5.large,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7280.0,0.0,USD,0.277,Hourly
3fcaf540-88d4-4b75-989a-3fd9c2b75616,c5.large,Linux with SQL Server Standard,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,14014.0,0.0,USD,0.0,Hourly
9c7c3dee-b9aa-434a-a0a4-204eb0213b1b,c5.large,Linux with SQL Server Standard,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,14247.0,0.0,USD,0.0,Hourly
6e06d5a0-7772-4eeb-b2cc-c0cbeaaedca5,c5.large,Linux with SQL Server Standard,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,14292.0,0.0,USD,0.0,Hourly
b971ce99-b578-469b-b1a5-71304339d91f,c5.large,Linux with SQL Server Standard,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,14526.0,0.0,USD,0.0,Hourly
05c3fd5d-e915-4c0c-b41f-b74ab82ea060,c5.large,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.116,Hourly
357b27c4-caa4-487c-ad88-f3678152c416,c5.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.184,Hourly
35b65d7d-bcae-4926-9260-5318c7d75f5e,c5.large,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.107,Hourly
3c9eb354-9432-412a-9456-4bcfb20c3024,c5.large,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.149,Hourly
854b60ed-130a-4148-ad05-a84fb6d323d2,c5.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.596,Hourly
bc5702c8-0087-43c8-bc74-011e40b0c310,c5.large,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.175,Hourly
c1d83d8f-67a7-44e5-9e22-5b15cd5cfe13,c5.large,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.167,Hourly
c9595f92-2e2f-4a46-b4a4-fa614fb11edd,c5.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.176,Hourly
d2f4293c-badd-4353-b34a-808346a3ea90,c5.large,SUSE Linux,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.14,Hourly
e8ac94ca-c9bc-44f2-a249-d4c82cf5ba9e,c5.large,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.587,Hourly
