ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1891d3cc-4639-4e4a-ae5e-87624affb2be,i3.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,12.767,Hourly
394b7ee3-6313-4e6a-9a5c-60252d6d6224,i3.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,12.767,Hourly
4649f30d-e375-4859-a93d-bc0542ac0b9b,i3.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.12,Hourly
4d0afeb4-297a-4012-9e6a-2c69c29f3af7,i3.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.217,Hourly
679e4d66-53d2-42f3-bfba-eadf86a49998,i3.16xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.087,Hourly
6ec6b9c4-cf65-470b-90da-2dde022663e3,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,29.087,Hourly
94ddf69a-d1da-480d-ace4-f7e43ee78d35,i3.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.169,Hourly
a0fa68c6-76f9-4bf4-b034-090c44e31620,i3.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.217,Hourly
b439aa02-2b10-438f-88b9-8c3eb4e62938,i3.16xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.12,Hourly
d121b967-2859-411b-bd29-30d5b9f90a5d,i3.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,29.087,Hourly
e5a83754-e425-4c3e-a37e-d90dbb60a584,i3.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.087,Hourly
eaaf71d4-4003-4ac8-9d27-a546a096c3ee,i3.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,6.169,Hourly
03e2cd3d-10f6-436b-8a9f-19cb896e7dc4,i3.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,12.104,Hourly
1041fca1-5ec5-4914-9710-8fb3c9195a78,i3.16xlarge,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.457,Hourly
3095939c-13b5-4efc-8b8e-2113931cda1e,i3.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.505,Hourly
511e2685-4462-47b9-9a23-089cdafc8353,i3.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.424,Hourly
71686a59-390d-4948-9e96-e3ce6fff7c7a,i3.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.554,Hourly
849ff067-999d-45b7-8867-2ed92ceecb31,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,28.424,Hourly
9d905aa9-ef75-486d-9015-1cd105b8e637,i3.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,28.424,Hourly
a5d7e441-9dde-419c-9b04-3a4893f1fc0f,i3.16xlarge,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.505,Hourly
dfca5f12-1500-4a4a-b552-73b8b05164f6,i3.16xlarge,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.424,Hourly
e4306d10-d46d-4256-939b-d4bf5d43f4ca,i3.16xlarge,Linux with SQL Server Standard,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,12.104,Hourly
ed585499-8920-40a6-a78e-8e3cdb786560,i3.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.554,Hourly
f3320355-8359-45f5-9c46-f32a22b7355b,i3.16xlarge,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,4.457,Hourly
18617145-45ae-4d2e-a705-26ed47664656,i3.16xlarge,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,54116.0,0.0,USD,2.059,Hourly
4b8aa108-ff04-4fab-b455-9fcf4fbafe1d,i3.16xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,54116.0,0.0,USD,2.189,Hourly
b437f9a7-fe83-4abc-aa18-1b80de2b6f0c,i3.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,54116.0,0.0,USD,2.059,Hourly
f31247a1-4c09-4406-8e06-719320cf2370,i3.16xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,54116.0,0.0,USD,2.189,Hourly
5e7d6181-faa8-4dd7-be0c-56a64fec6530,i3.16xlarge,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,54468.0,0.0,USD,2.072,Hourly
989fea20-a3cd-43c9-a95d-60f957e84067,i3.16xlarge,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,54468.0,0.0,USD,2.072,Hourly
266bb412-28b4-4449-a4b4-048a5b2358d1,i3.16xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,61895.0,0.0,USD,2.485,Hourly
62b01068-8099-4c41-a63b-5fc6ad0c2908,i3.16xlarge,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,61895.0,0.0,USD,2.355,Hourly
721d1fe0-99a2-4e66-b3bd-565645f7e211,i3.16xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,61895.0,0.0,USD,2.355,Hourly
fe668426-ff2f-470c-9d3d-c55b42955462,i3.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,61895.0,0.0,USD,2.485,Hourly
63a994c6-9efb-401b-8930-19cf9ad9f889,i3.16xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,62247.0,0.0,USD,2.368,Hourly
