ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
318c2639-a15d-4ae5-8c4d-ce57d2c53385,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.235,Hourly
36bd7a88-582b-4cc7-904e-3cbd516df787,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
41405847-df4f-4af0-ae7b-b556f98476d9,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.655,Hourly
5a91e990-1532-43ad-a0c7-97a9cac13fc0,i3.large,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.208,Hourly
718210da-b804-4ef8-862a-e03794fad6d9,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.639,Hourly
7184bfeb-b09a-4c50-89da-4016b9c93a5b,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.242,Hourly
832cb2b2-3c38-415a-9589-13292bdf4c11,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.227,Hourly
867c3b62-38ae-4ed1-bafe-f9493dda4045,i3.large,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
babc6af2-25b7-4053-92fa-6a7364eadcf3,i3.large,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
c13a072a-e31b-4120-a559-7b17af001649,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.175,Hourly
124dced0-b59e-41b1-9a27-c7fb1352cc10,i3.large,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.206,Hourly
