ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0b890c5b-38f3-43fc-b630-cf7d3e2357a4,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.378,Hourly
3903b743-f9fd-42b3-8c99-820648cdcb31,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.386,Hourly
46704113-50bb-43fa-901f-b5b9daedc4c4,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.818,Hourly
a3895b0a-a586-43c1-be45-8b71504092dc,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.383,Hourly
a82f51f7-822c-47ab-b13b-fc6ff7119c7d,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.83,Hourly
ad09d7f5-808c-4045-b433-8f2fe8e8e29d,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.85,Hourly
b8cfa5bc-fda4-49da-b579-a8e3b130622c,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.417,Hourly
d38d08a5-d699-4462-a2d4-278e750f0217,i3.xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.351,Hourly
d5f113d1-de89-4b9f-8d52-932557355333,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.798,Hourly
d789272d-7699-42d3-8d81-458d924cc01d,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.41,Hourly
e17df59a-f9ad-4958-9c8c-dc9a2ca64923,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.318,Hourly
