ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
61122f73-218d-44d7-8de8-96c1fe71a93c,m1.large,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1015.0,0.0,USD,0.047,Hourly
c8bd4d36-f4f7-4132-988a-69c1fdc07777,m1.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1015.0,0.0,USD,0.107,Hourly
32285dc9-384e-416d-a2e1-e5c0b89df4dd,m1.large,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1117.0,0.0,USD,0.052,Hourly
71183eb0-df82-48e0-94c2-044d26d1353f,m1.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1117.0,0.0,USD,0.118,Hourly
fc0e3c25-8987-40e5-8ac9-ec216e8ca06b,m1.large,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1367.0,0.0,USD,0.058,Hourly
163116f6-469e-4942-b253-738ae6eeb909,m1.large,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1504.0,0.0,USD,0.064,Hourly
5ef733f5-d3bd-4f06-933e-27133047bd60,m1.large,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2115.0,0.0,USD,0.0,Hourly
b5c322a4-68fb-4c6b-a59e-8dc933b95f7b,m1.large,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2326.0,0.0,USD,0.0,Hourly
3d4ee576-7447-4b85-b7e3-44b22581ed9b,m1.large,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2717.0,0.0,USD,0.0,Hourly
a1c7a7ba-c081-4491-9659-033df89cf1a9,m1.large,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2988.0,0.0,USD,0.0,Hourly
2f9de59f-982d-4d1d-aa34-8222c5f55986,m1.large,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3597.0,0.0,USD,0.0,Hourly
2294d5ad-4238-464c-bd9a-70d84a92f39a,m1.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3956.0,0.0,USD,0.0,Hourly
6029006b-b66a-4ccd-ba17-b7a30fbd51dd,m1.large,SUSE Linux,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
6c07df1a-f801-46a9-8d8c-9c4679b4d81a,m1.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.215,Hourly
813b5464-ae9a-4e3e-8e42-67660b193028,m1.large,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
81ee14a8-1ab0-45ec-a8a5-28beaa808626,m1.large,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.149,Hourly
8e6461af-3bbc-49dc-a324-dcaebcf80790,m1.large,Linux/UNIX,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.136,Hourly
d76822d6-6a3f-4c63-85f3-11c78335d41f,m1.large,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.196,Hourly
8b82474f-1783-4c85-b665-640bf582ff90,m1.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,609.0,0.0,USD,0.106,Hourly
94b9663c-8097-4858-975a-487b25de3c78,m1.large,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,609.0,0.0,USD,0.046,Hourly
70c077c7-a1ee-4c24-a9e8-f6bba07d390a,m1.large,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,670.0,0.0,USD,0.051,Hourly
afb79fd6-f285-477f-855c-f08f6cb42d49,m1.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,670.0,0.0,USD,0.117,Hourly
be169259-49fa-44a3-a762-5b37fbc84f91,m1.large,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,785.0,0.0,USD,0.057,Hourly
c59a32fd-7dfd-4a45-8fcd-6cc0b489d74d,m1.large,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,864.0,0.0,USD,0.063,Hourly
73cf677c-2b7f-4145-962a-2bc3f1778c3e,m1.large,Linux/UNIX,default,standard,All Upfront,sa-east-1a,31536000,Availability Zone,0,991.0,0.0,USD,0.0,Hourly
b771c225-701a-420b-ae95-cc9ff326346e,m1.large,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,31536000,Availability Zone,0,1090.0,0.0,USD,0.0,Hourly
dc97eafb-2afd-4b92-833e-31ca782327b7,m1.large,SUSE Linux,default,standard,All Upfront,sa-east-1a,31536000,Availability Zone,0,1258.0,0.0,USD,0.0,Hourly
c333349d-db74-4ad0-a944-7a9a40fd2607,m1.large,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,31536000,Availability Zone,0,1383.0,0.0,USD,0.0,Hourly
18bebcd7-ebca-4fa6-9c6f-dd82f6553d56,m1.large,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,31536000,Availability Zone,0,1506.0,0.0,USD,0.0,Hourly
b408e60a-4f4c-475a-9d38-1d50df629712,m1.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,sa-east-1a,31536000,Availability Zone,0,1656.0,0.0,USD,0.0,Hourly
