ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
193aaf6a-c7de-43db-b43f-854831789ec6,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,507.0,0.0,USD,0.083,Hourly
e9c00582-2ccf-4797-8277-f189fdd0c037,m1.medium,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,507.0,0.0,USD,0.023,Hourly
26648c5b-c661-4c9b-a6d6-e6c9e2cabd43,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,558.0,0.0,USD,0.091,Hourly
82542bd1-1f47-4b79-a4ad-d5b4c59a05ab,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,558.0,0.0,USD,0.025,Hourly
4d742da4-12cb-40c2-8e6e-08997042362c,m1.medium,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,859.0,0.0,USD,0.034,Hourly
45e50a04-e789-4942-a2b5-681f8b08a094,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,945.0,0.0,USD,0.037,Hourly
2c6c449e-9248-4b29-9f15-63839ab41cd3,m1.medium,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1044.0,0.0,USD,0.0,Hourly
1d071152-e004-41c7-b3b5-dc7cfcc12cb5,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1148.0,0.0,USD,0.0,Hourly
b7598d1d-2677-40c5-821d-0ef34c543e0b,m1.medium,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1647.0,0.0,USD,0.0,Hourly
5fb53a65-c7d2-4ca6-bac6-d7cc613f93d9,m1.medium,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1811.0,0.0,USD,0.0,Hourly
