ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1dfdc39a-47cd-42c8-9e7b-379c34a37027,m5.24xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.815,Hourly
219a7662-6c58-4c62-bb08-016b59e954ce,m5.24xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.848,Hourly
30e70a35-981a-4644-b2b7-4c066ee466bf,m5.24xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.945,Hourly
360a64ca-b4b8-4955-9b8e-c7b1e5591a1c,m5.24xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,39.815,Hourly
4ba2fb3e-4505-4965-b680-abe10c335db9,m5.24xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,15.335,Hourly
60fdebea-079c-4e49-ba63-9f38191adeaf,m5.24xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,5.438,Hourly
6c559a7d-f11c-4403-a24c-52afb5285c8f,m5.24xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,39.815,Hourly
82823c99-3038-4864-beea-8b95bfe9673b,m5.24xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.945,Hourly
bdf0196a-4004-4822-99db-78298698e729,m5.24xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,15.335,Hourly
c9ee58d8-f71c-4a1f-8146-4eab6e319627,m5.24xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.815,Hourly
