ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
088d0010-e582-4559-9ee3-e4022c400633,m5.xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
24eb9118-1c95-4d07-9219-3555ef0b13f5,m5.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.676,Hourly
31f0034e-6919-4430-888d-45dd0dded85a,m5.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.227,Hourly
354a0e08-98fb-48fe-83e8-99fc16dbf78e,m5.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.639,Hourly
5c52660f-30f6-4bc0-8342-219f87845dcb,m5.xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
63d28734-42c1-4f27-92db-a0a734f45be1,m5.xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.209,Hourly
64d94590-8b50-4826-937f-1cbd2e39ecea,m5.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.244,Hourly
8f55b904-f3e0-45b4-aa84-a1c192d0de2a,m5.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
9fabdcfa-b17a-4534-8219-d65e593bf0cd,m5.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.659,Hourly
a5c2e16b-8191-4671-a1ac-2f109d80e8ce,m5.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.656,Hourly
c1f08d28-d8f6-4a12-943e-07b2a1261550,m5.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.236,Hourly
f0110b4b-d06a-44e8-a82e-1a8eaae2bcd5,m5.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.176,Hourly
