ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0cf74e50-f212-4fee-b58c-c91f81b21b2b,r4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6451,Hourly
1af0458f-d1bd-4878-950d-b1b55fb321b0,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.6121,Hourly
2bd16a13-2fa8-4c4b-bd7a-25857bbd7fc6,r4.2xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5564,Hourly
6fe055d0-9f34-4f16-9a82-04640dd875be,r4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.5164,Hourly
73404e0b-dbe7-4423-9e3b-c82919fa9c60,r4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.5564,Hourly
7efae944-62a8-42eb-88fa-f82bec0a362b,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.7421,Hourly
a0e02219-ccff-42eb-9ea8-4b208adc66a6,r4.2xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5894,Hourly
ab6ba310-fe52-4f99-b9ed-3e3f179acc57,r4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6121,Hourly
c6525035-e306-4d27-ada6-34406040d4cc,r4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.5721,Hourly
f1cc85a4-84ef-409f-867f-ddd9f7f8567c,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.7473,Hourly
f9c16a2e-80bf-48e3-91b7-b3f77ff559a8,r4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6864,Hourly
ff1b1fa4-5d6b-4803-8f79-d603084fe2f8,r4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6916,Hourly
206e23ce-9c75-4c09-b55d-f6533f43b551,r4.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5322,Hourly
20893902-adb2-4baa-b687-ad6c6561da56,r4.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6138,Hourly
21d89a39-c5ff-4abe-a3bd-53561c16e6f9,r4.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.4438,Hourly
3129a845-fb0b-4a80-ade0-f0cf237c44cd,r4.2xlarge,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5652,Hourly
35cf0177-973e-48c6-8d91-857ebda421c9,r4.2xlarge,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.4838,Hourly
4e481bb5-8e20-4518-a066-d5e8398d037a,r4.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.4922,Hourly
50f92c0d-66f4-45e6-b825-49c9d3764045,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.5322,Hourly
85557f6d-98e0-421c-ac3b-d8e07ab350c9,r4.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.619,Hourly
9b1641f1-ebe3-45b4-b9f1-b81e8aca5729,r4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6622,Hourly
9b3904fe-3b78-4e46-8b2b-3c2e43cdcf8b,r4.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6674,Hourly
b2a3bca0-a57d-476f-92df-78c5dc81d860,r4.2xlarge,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.5168,Hourly
fe6c6dc1-9c24-49ea-8a1b-95bac3e899ab,r4.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.4838,Hourly
4ab469bb-d368-48f1-8cf7-bb972e620ed8,r4.2xlarge,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,5887.0,0.0,USD,0.224,Hourly
867e815c-d7c1-46df-b78b-f59bd446ed41,r4.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,5887.0,0.0,USD,0.354,Hourly
12bf22b4-5c65-4c81-84ec-c4b2494bd123,r4.2xlarge,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,6239.0,0.0,USD,0.237,Hourly
530465ca-d396-40ab-9d70-32cb6fc507a5,r4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,6475.0,0.0,USD,0.376,Hourly
d3257538-4533-4770-814b-c761a5942cfa,r4.2xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,6475.0,0.0,USD,0.246,Hourly
898a480a-7df7-44c6-91a3-13e512374779,r4.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,6770.0,0.0,USD,0.3876,Hourly
df83c0ea-4e68-4375-91c9-89a2b94106b3,r4.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,6770.0,0.0,USD,0.2576,Hourly
4e4dd20d-dd8f-4208-b1f8-b5a7aaf94d5f,r4.2xlarge,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,6827.0,0.0,USD,0.259,Hourly
4240057c-a47b-40c4-bba3-b9fbd16e8998,r4.2xlarge,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7122.0,0.0,USD,0.2706,Hourly
8cf560a5-fa96-4bfd-ba73-868b98ea3e94,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7447.0,0.0,USD,0.4134,Hourly
9550f85a-600e-436c-bc3a-8e946e7a5abe,r4.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7447.0,0.0,USD,0.2834,Hourly
a201549a-d98b-4727-b6c8-747602910621,r4.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7663.0,0.0,USD,0.2916,Hourly
1e72a489-b4d8-442a-9150-4c778730c8d2,r4.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7799.0,0.0,USD,0.2964,Hourly
4014be65-6396-4e13-b5ef-7a182603b4b0,r4.2xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,8252.0,0.0,USD,0.314,Hourly
85993c00-56de-47e4-9902-1894ba5bd702,r4.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,8546.0,0.0,USD,0.3252,Hourly
2b713ab9-2ba1-400a-9e8a-0d0dc2b854af,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,9223.0,0.0,USD,0.351,Hourly
4dde683d-fdcd-441b-a527-dc35775457be,r4.2xlarge,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,11067.0,0.0,USD,0.0,Hourly
eaf55d87-5ee7-484e-829d-65c2d5dbb8cc,r4.2xlarge,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,11761.0,0.0,USD,0.0,Hourly
9b385dc0-0a96-44ef-9508-9d608a78c9b2,r4.2xlarge,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,12174.0,0.0,USD,0.0,Hourly
f0d684f4-3149-4214-8885-131e55793d10,r4.2xlarge,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,12868.0,0.0,USD,0.0,Hourly
147050d3-f5c9-4e5a-97ab-96e614e5197f,r4.2xlarge,Linux/UNIX,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,13269.0,0.0,USD,0.0,Hourly
ebe2fe73-3382-42b8-af45-a5b054697414,r4.2xlarge,SUSE Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,13963.0,0.0,USD,0.0,Hourly
0d18d360-f3ba-45c9-80c1-21890920fa19,r4.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,14483.0,0.0,USD,0.0,Hourly
aae2501b-de48-4d8e-a256-904fa35a86b5,r4.2xlarge,Linux/UNIX,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,14596.0,0.0,USD,0.0,Hourly
574096c7-e1a7-4855-a025-149f88fa3bd7,r4.2xlarge,Linux with SQL Server Web,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,14620.0,0.0,USD,0.0,Hourly
e396e38b-27c8-4614-9950-5eb1b2650b5b,r4.2xlarge,SUSE Linux,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,15290.0,0.0,USD,0.0,Hourly
