ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1bd9f8cf-d358-4c7b-a434-cfa3d17d814a,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.213,Hourly
244fc66e-36be-4744-a8b2-e48ad0a445f7,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2206,Hourly
4930631a-2efe-4949-a880-0a972c90b2cf,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6191,Hourly
4c010161-090b-416a-8965-917f29ad6197,r4.large,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1721,Hourly
506d921d-04b5-46b5-a02e-73939b859e14,r4.large,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.186,Hourly
5540534c-798a-4eb8-ab0f-3f89b3b71a89,r4.large,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1391,Hourly
9448070e-cb42-428c-a188-ebbe2be5989d,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1991,Hourly
b8b9a92b-68a0-472b-ae93-5319fba8e956,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2067,Hourly
e44bf293-92b9-4c42-a9e7-0b7cf208a9c7,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.153,Hourly
ee292068-ac20-4781-ada5-1f802fa552d6,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.633,Hourly
194e8218-f7a9-4e73-932c-aa4f96b3b674,r4.large,Linux with SQL Server Standard,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.601,Hourly
1a6e343e-c04c-4e2c-8aa7-3e0870d49ac5,r4.large,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1886,Hourly
45725d1d-5b28-4dff-8ace-51cb85bad316,r4.large,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.181,Hourly
54dc2aa3-733a-46d2-93d5-b934d3231e9c,r4.large,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1661,Hourly
7c89831a-f0bc-41f0-841e-11b37c091584,r4.large,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.121,Hourly
87b85d07-d5c3-46fd-80ad-158de0614308,r4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.6131,Hourly
917eeae6-12c6-4f61-9320-1453cb11349a,r4.large,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1331,Hourly
98b88a00-ff36-4794-b010-c9fc4a1e9586,r4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1931,Hourly
bedd6bcd-bacc-43e2-b506-5a4e993bf4ea,r4.large,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.154,Hourly
caebb08c-26b8-4ca8-a60c-45cc0759f6cf,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2007,Hourly
6de50ce2-833c-43f3-b802-03cd707b50d2,r4.large,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1472.0,0.0,USD,0.056,Hourly
c3f43a79-6a8f-4b6a-8f13-dbeee082c26e,r4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1472.0,0.0,USD,0.116,Hourly
8ad09a7a-d8d6-4a73-9f6c-7e1a2cad89ee,r4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1619.0,0.0,USD,0.122,Hourly
a2a9a5ec-1555-4626-9617-3bb309ce12d8,r4.large,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1619.0,0.0,USD,0.062,Hourly
06d477c8-b9ee-4b67-a638-5c9d3b96127a,r4.large,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1692.0,0.0,USD,0.0644,Hourly
245db3ef-8142-4d05-9eab-ddfe2366d6ff,r4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1692.0,0.0,USD,0.1244,Hourly
20251b63-f04c-47ae-bc8e-973a41381567,r4.large,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1824.0,0.0,USD,0.069,Hourly
59049083-a3e0-4feb-89a4-635a5ee0d491,r4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1862.0,0.0,USD,0.1308,Hourly
65075981-ac46-4dac-ba58-2618913b4d15,r4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1862.0,0.0,USD,0.0708,Hourly
c716db0f-c26a-41d9-b3cc-3e9c93ae65c9,r4.large,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1971.0,0.0,USD,0.075,Hourly
baeacf8d-e818-45b7-90c8-2b7492cc1439,r4.large,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2044.0,0.0,USD,0.0774,Hourly
321530b3-b170-4dc5-9ba4-f1789638991d,r4.large,SUSE Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2214.0,0.0,USD,0.0838,Hourly
ec0b954f-73ef-4ae5-9874-ed56c433ee54,r4.large,Linux with SQL Server Web,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2360.0,0.0,USD,0.0898,Hourly
3bb670a9-2664-4269-b9f9-33ab41d0d9fa,r4.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2507.0,0.0,USD,0.0954,Hourly
4e2fc5da-ff92-4c00-baa2-d852914bc9ea,r4.large,Linux with SQL Server Web,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2581.0,0.0,USD,0.0982,Hourly
bbb2e7ab-ba94-423c-a4c4-9207d70f5f40,r4.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2750.0,0.0,USD,0.1046,Hourly
ed80592e-3760-402d-b792-8391ae7a6ef3,r4.large,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,2767.0,0.0,USD,0.0,Hourly
8084e1c4-d735-4090-b4d4-1c7641a6f1f9,r4.large,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3043.0,0.0,USD,0.0,Hourly
75c3e7d8-5c2e-4ebd-bf6b-6cce4d25b59c,r4.large,Linux/UNIX,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,3317.0,0.0,USD,0.0,Hourly
57737b71-7e0e-4175-9cc5-81419841e4be,r4.large,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3461.0,0.0,USD,0.0,Hourly
201adaae-ecb7-4d50-af58-ec0f2bdb4648,r4.large,Linux/UNIX,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,3649.0,0.0,USD,0.0,Hourly
f335e055-996d-4836-8bf5-42b0b776edc6,r4.large,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,3737.0,0.0,USD,0.0,Hourly
5ca99e49-c28c-42bf-838c-1c3d2127959a,r4.large,SUSE Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,4011.0,0.0,USD,0.0,Hourly
5af9a9c9-bb05-4682-855b-106f3dad4520,r4.large,SUSE Linux,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,4343.0,0.0,USD,0.0,Hourly
d8b84b7b-00d7-4678-bef3-66cbebc559e8,r4.large,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,4344.0,0.0,USD,0.0,Hourly
3b57cd30-bb06-41f9-971f-17786879ea16,r4.large,Linux with SQL Server Web,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,4543.0,0.0,USD,0.0,Hourly
c5303de8-67b4-4020-bdf3-4396454a3621,r4.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,4620.0,0.0,USD,0.0,Hourly
38e5e276-82c8-49bb-9620-5b8b31f4e6aa,r4.large,Linux with SQL Server Web,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,4820.0,0.0,USD,0.0,Hourly
97704bef-ef1f-47f3-8147-991812c43436,r4.large,Red Hat Enterprise Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,4894.0,0.0,USD,0.0,Hourly
011a7e60-dc76-4930-aaba-b5a49c5cb5c9,r4.large,Linux with SQL Server Web,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,5094.0,0.0,USD,0.0,Hourly
66e96969-4bb7-4672-83a7-0a0298d99679,r4.large,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,5226.0,0.0,USD,0.0,Hourly
c33faa1a-2185-415b-a7c1-e5dad0e72303,r4.large,Linux with SQL Server Web,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,5425.0,0.0,USD,0.0,Hourly
34e2c89d-4f93-4250-9c53-b8e38c898529,r4.large,Linux with SQL Server Standard,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7779.0,0.0,USD,0.296,Hourly
a98d4606-66c4-4b3d-b699-4f7edf8eb04a,r4.large,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,7926.0,0.0,USD,0.3016,Hourly
659ab60f-0017-4ec6-8f53-0757825b2d93,r4.large,Linux with SQL Server Standard,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,8000.0,0.0,USD,0.3044,Hourly
31b0908b-5052-4d10-8570-3abf3660eb01,r4.large,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,8169.0,0.0,USD,0.3108,Hourly
892bd103-1839-4d07-ab80-eb765563fbc1,r4.large,Linux with SQL Server Standard,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,15381.0,0.0,USD,0.0,Hourly
14d4e163-e076-47e3-9a45-789f1fe0f487,r4.large,Linux with SQL Server Standard,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,15658.0,0.0,USD,0.0,Hourly
3a9389cf-793c-4e42-acba-e40a40ccbd20,r4.large,Linux with SQL Server Standard,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,15932.0,0.0,USD,0.0,Hourly
f2fe52e2-7870-4ed8-afc7-d78c860fc2c5,r4.large,Linux with SQL Server Standard,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,16263.0,0.0,USD,0.0,Hourly
2de209f9-7005-467f-bafe-e055c56c3264,r4.large,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2561,Hourly
2ee56d18-8a27-4e3b-aad4-b26aea22ea14,r4.large,SUSE Linux,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2359,Hourly
43088032-ab57-4a2b-bc9f-5093f1719b17,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2629,Hourly
6c84f56a-1b98-4038-8d30-aaffe0734186,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2907,Hourly
89b6597f-2ba3-4e38-afe9-9560aab6a17b,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2831,Hourly
8f2872d5-b697-494d-952d-2d2d8ea40ac5,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2705,Hourly
8fbdfbf6-296f-48fe-8c51-8f99e7899ebd,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.7031,Hourly
af3179e5-7fe5-4013-aebf-aa18caade4d0,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.6829,Hourly
c600ab10-981c-48b6-84e4-a8b3ae520e4e,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2231,Hourly
d8a0629e-82a7-4305-a56f-4c8b7c58afc8,r4.large,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.2029,Hourly
1462632c-85eb-4597-8343-1a3f445dcaa9,r4.large,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.227,Hourly
274ee97d-4cdd-4c08-a459-f7435b6ac8c1,r4.large,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.244,Hourly
