ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1d9f3019-15ca-4e6e-95ea-f42e51c34c2c,r4.xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3112,Hourly
2f19bd3c-9fe7-49aa-8a5a-0219d98a433f,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.7582,Hourly
34f02379-e562-4f48-b4d6-439442a3e083,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.786,Hourly
362c9d9c-5291-4ac7-8ea3-37822a015b84,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3382,Hourly
37ba25ee-ddde-454a-a1fd-f13dea237395,r4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.806,Hourly
395f50bc-856d-4ac2-b30a-755c64d6ee3d,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.366,Hourly
3ba06105-f977-4a0e-bd8f-5092427e1324,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.306,Hourly
3c29132a-85a1-474b-8903-0dd2124490bc,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.7782,Hourly
4f81174e-987e-40bc-83c3-09aaba81ae27,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3736,Hourly
56c76573-619d-4a5f-a40b-74bfbddf02d3,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3458,Hourly
777442a5-76b5-4e52-968c-50fd4dcc44c7,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2782,Hourly
c89fa959-df33-48c2-bfea-a4c1ed3093f3,r4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.339,Hourly
02a383f7-8d46-40ec-bdfc-bc3a24d5cd84,r4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.7419,Hourly
0a1f4de9-02f6-4087-a09a-1a70dea2b2c2,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3261,Hourly
1289e24d-f30a-47bd-85a3-185e6f7d074f,r4.xlarge,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2991,Hourly
3e5181c4-ee02-4ef4-90ef-9a3c9892fcff,r4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3019,Hourly
4b9f36f6-f020-4ade-b842-59c10e499b11,r4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.7461,Hourly
62167d58-0394-4b23-960b-388c375424bc,r4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3337,Hourly
8359f282-e152-4ed3-bb69-e63e249a4e4d,r4.xlarge,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2749,Hourly
9f55faa5-092a-40f2-924e-b4855cff4f21,r4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2661,Hourly
a088e057-d653-4c3b-8611-af4858117425,r4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.7661,Hourly
b1eb1852-4cba-47ce-88b6-ae7ca54bfd65,r4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3095,Hourly
ca10336a-41ae-4a77-8c9d-3fad75346166,r4.xlarge,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2419,Hourly
dc4087c2-9d09-4664-a50c-77159aa286d6,r4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.7219,Hourly
1f41e383-661a-4d65-a29b-192044b4c8cd,r4.xlarge,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2943.0,0.0,USD,0.112,Hourly
93b32d03-5bfe-429d-a813-1381230e59b6,r4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,2943.0,0.0,USD,0.172,Hourly
7dd0fe2e-09dd-4ba5-9202-f49911a49aa7,r4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3238.0,0.0,USD,0.123,Hourly
f2f53fca-965f-4dfb-9e7c-d111fbf8d85f,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3238.0,0.0,USD,0.183,Hourly
73a03078-7869-42c9-8bd3-d6ec4d96a072,r4.xlarge,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3295.0,0.0,USD,0.125,Hourly
73a632d1-5231-42f0-93de-7f1d01346780,r4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3385.0,0.0,USD,0.1288,Hourly
b2f316f0-9432-45e5-b7fd-4dbe2e9f6627,r4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3385.0,0.0,USD,0.1888,Hourly
75ed053e-f373-4371-ac6c-f21246ed98cd,r4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3590.0,0.0,USD,0.136,Hourly
27b90bd9-af90-44ab-b467-9f7364a261f8,r4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3723.0,0.0,USD,0.1417,Hourly
829a9c01-a30d-4bcb-be9c-89752bd1ddb4,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3723.0,0.0,USD,0.2017,Hourly
ed9fce52-be2c-45cb-9574-9a1cbe999c8d,r4.xlarge,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3737.0,0.0,USD,0.1418,Hourly
855477f3-52a7-4079-a619-b96b73486a50,r4.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3832.0,0.0,USD,0.1458,Hourly
