ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0c7fdf08-2733-4832-901e-4153951b81f2,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.4276,Hourly
57216d65-5713-43e0-8d71-10307842dea5,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3306,Hourly
58c2b670-63bf-4963-bd7f-bf74a3c6fb8b,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.2976,Hourly
d5635469-4a90-4138-8064-bf2cc38b7bcd,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2976,Hourly
e53166a5-92a7-48e1-b0ee-0d4f0496cea9,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.4328,Hourly
0687adee-9af1-4da1-9cc6-467135811351,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3939,Hourly
140d2f20-7ef8-4622-8944-9f18f25c02be,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.2587,Hourly
8936df94-e5b6-4bd4-b244-f4003e43a26c,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2587,Hourly
9da54dcb-51e9-4e45-a9ab-680be09224a3,t2.2xlarge,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2917,Hourly
c45cae56-252e-4748-82d0-5c653393c91d,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.3887,Hourly
70fedfc1-da6d-4a7f-859b-942d2ed99246,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3148.0,0.0,USD,0.1198,Hourly
e8c0cc4c-b588-4373-9057-bdfad6da7af5,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3148.0,0.0,USD,0.2498,Hourly
00763348-dd43-45d1-9be1-8a5a0dd45a12,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3500.0,0.0,USD,0.1328,Hourly
041c65fb-6bb0-4bd1-8df7-3a5d7ac9b414,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3620.0,0.0,USD,0.2678,Hourly
76b72a34-106b-43c9-b50a-926d7c1a7521,t2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3620.0,0.0,USD,0.1378,Hourly
87e1218b-fae1-415f-9c09-39bf359163f9,t2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,3972.0,0.0,USD,0.1508,Hourly
df9cbfb3-862d-4c33-8b04-fb661b9e414d,t2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,4925.0,0.0,USD,0.1874,Hourly
e484d520-9451-4e54-8fd4-86f9f212f969,t2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,5397.0,0.0,USD,0.2054,Hourly
