ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
227c56e9-5ea2-462e-ad70-a27c8013dd84,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1048,Hourly
29e7da72-2016-43dc-a3c4-4c2c1c4c576b,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0972,Hourly
69045cf3-cdfb-4465-8f7d-7943b8d9e23b,t2.medium,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0372,Hourly
95b489b7-b66b-4f58-8a77-aa6129663d55,t2.medium,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0702,Hourly
4af891ee-5016-4660-8607-5e679adda891,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0999,Hourly
6b6064b5-f7a4-4143-b237-9f98f55cef3b,t2.medium,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0653,Hourly
9a6edace-fe1b-45c0-8c33-f4986c65ff2d,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0923,Hourly
f8293891-c31c-4139-9638-e36ee2ff1bfc,t2.medium,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0323,Hourly
14496610-f940-4b2b-b9fe-afe2b9888d04,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,394.0,0.0,USD,0.075,Hourly
8745fa8d-d277-420d-a7ce-d8a37b9fe1f7,t2.medium,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,394.0,0.0,USD,0.015,Hourly
df0a4a3b-ff09-4f65-915d-d5a593a363aa,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,453.0,0.0,USD,0.0172,Hourly
e4a21e76-2f93-4804-9f54-8684ec530195,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,453.0,0.0,USD,0.0772,Hourly
