ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0d181351-73cd-40ef-8c47-54375a42fed8,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0693,Hourly
9017af8f-16b5-4945-aa6d-214b302fd169,t2.micro,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0093,Hourly
d0e5c3fe-4ed5-4a82-bb5f-21637b373791,t2.micro,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0183,Hourly
fb2ee0c8-14f3-4730-bf2e-41162be542dd,t2.micro,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0769,Hourly
3a7f4d4c-4f15-454c-9a1b-def2c856ac76,t2.micro,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0171,Hourly
a109fa79-0137-47b8-a80e-623f0bfe7542,t2.micro,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0081,Hourly
c486b6bb-7a9f-4363-8bb0-64d6297da480,t2.micro,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0681,Hourly
d8e347a1-d03c-4bb3-90a6-a1b135345c46,t2.micro,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0757,Hourly
9b53d630-bf4f-471b-8690-7e4e0a083d29,t2.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,98.0,0.0,USD,0.0637,Hourly
edb21778-6d1c-4daa-9870-e1918715dfd5,t2.micro,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,98.0,0.0,USD,0.0037,Hourly
3b67579e-f50d-4275-8069-e73e369b4a4c,t2.micro,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,113.0,0.0,USD,0.0643,Hourly
b7bfefdc-3e8a-40e4-952f-b73811114a27,t2.micro,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,113.0,0.0,USD,0.0043,Hourly
4403e978-49a1-429c-8a9e-132da62373e0,t2.micro,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,142.0,0.0,USD,0.0097,Hourly
0f989bac-a020-4aa9-820c-1fbb6960a8f3,t2.micro,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,157.0,0.0,USD,0.0103,Hourly
043c212a-25b4-458e-934b-54ee735fdda6,t2.micro,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,185.0,0.0,USD,0.0,Hourly
eb2b757e-ae3f-43f7-97ca-685adac0ca78,t2.micro,Linux/UNIX,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,222.0,0.0,USD,0.0,Hourly
55256052-db86-4aff-87eb-0b76aaaa1d15,t2.micro,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,387.0,0.0,USD,0.0,Hourly
b2b01f08-68d6-46a0-805e-de80bedd8634,t2.micro,SUSE Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,424.0,0.0,USD,0.0,Hourly
517baa68-15f5-41f5-a4ae-b876794c408d,t2.micro,Linux with SQL Server Web,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,987.0,0.0,USD,0.0375,Hourly
ecaac99e-d595-4e75-8685-f91236d3c505,t2.micro,Linux with SQL Server Web,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,1001.0,0.0,USD,0.0381,Hourly
543db3d0-4e2a-4c19-a958-63d412562dbf,t2.micro,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1762.0,0.0,USD,0.0,Hourly
f69e0bdd-c224-47c2-8790-049777f5e876,t2.micro,Red Hat Enterprise Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,1799.0,0.0,USD,0.0,Hourly
e50774c1-379b-4d07-a911-10266892c0a4,t2.micro,Linux with SQL Server Web,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,1961.0,0.0,USD,0.0,Hourly
9b77d3a7-f5bd-4ebc-b54e-876aa5ae89ba,t2.micro,Linux with SQL Server Web,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,1998.0,0.0,USD,0.0,Hourly
0b3c4502-4db2-418a-bdb9-b306bbefd274,t2.micro,SUSE Linux,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0211,Hourly
106bbab5-e275-4dff-8338-2c9ba22654b3,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0721,Hourly
3160f976-b9ec-4bf3-8ba7-23b89527d0ba,t2.micro,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0797,Hourly
5c6680a6-1e33-4743-a0d8-2bb348e73c02,t2.micro,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0121,Hourly
30962842-ecbf-45ac-ac4e-2135a74cd111,t2.micro,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0782,Hourly
4c4fbbad-8493-4c0c-8e78-1fbfe6467daa,t2.micro,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0706,Hourly
917988fa-aa39-438a-811b-9e4242485c36,t2.micro,Linux/UNIX,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0106,Hourly
ea939814-4986-4861-b19d-764ac5c86cbc,t2.micro,SUSE Linux,default,standard,No Upfront,sa-east-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.0196,Hourly
74d7ae81-5ca0-420d-8106-4b9d11644b30,t2.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,44.0,0.0,USD,0.065,Hourly
81245ffb-7ed2-464b-a7f5-df8259401297,t2.micro,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,44.0,0.0,USD,0.005,Hourly
a6a5fa18-9c0a-401f-a547-1ee715cc06d0,t2.micro,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,51.0,0.0,USD,0.0058,Hourly
b3c3b962-be87-4176-a53a-e5e005fea1e0,t2.micro,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,51.0,0.0,USD,0.0658,Hourly
3d706747-2696-40be-9c29-c7b8eef1f80f,t2.micro,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,66.0,0.0,USD,0.011,Hourly
55b6fe15-60ce-497e-a9f9-039553aadec0,t2.micro,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,31536000,Availability Zone,0,73.0,0.0,USD,0.0118,Hourly
a39ad9a9-fc2c-42bc-8cf7-a7a02bf79488,t2.micro,Linux/UNIX,default,standard,All Upfront,sa-east-1a,31536000,Availability Zone,0,86.0,0.0,USD,0.0,Hourly
