ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
926e66bd-64eb-47d0-b342-885458911469,t2.nano,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0046,Hourly
e32ffd41-f8cd-455b-8cf3-360c3bc44d07,t2.nano,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0136,Hourly
2303ea4e-974f-41ec-9591-11f3fb263117,t2.nano,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.013,Hourly
7cd6fd99-4413-44a7-ad0e-5a4fbd36b8af,t2.nano,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.004,Hourly
95d7377c-37bc-4c2b-9fdc-89867bd819b0,t2.nano,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,49.0,0.0,USD,0.0019,Hourly
253eaed0-7336-4354-9dee-60c9e0af28b2,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,57.0,0.0,USD,0.0022,Hourly
4c4c58a4-7bfa-4783-95b1-0b1b559e4780,t2.nano,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,92.0,0.0,USD,0.0,Hourly
0e92b824-3bdd-47d2-88b1-fccbaa283bb5,t2.nano,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,93.0,0.0,USD,0.0079,Hourly
8be2edd4-b472-4e0f-b5d8-fdf54adfc92b,t2.nano,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,101.0,0.0,USD,0.0082,Hourly
98ae0a3c-d2ac-4d30-948a-e8d62e63b1c9,t2.nano,Linux/UNIX,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,111.0,0.0,USD,0.0,Hourly
7aa9f633-b2bd-4222-b552-65f51795ff70,t2.nano,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,294.0,0.0,USD,0.0,Hourly
