ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
043a5aa9-f7b6-4fc1-9924-31b21241eb08,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0862,Hourly
23841f53-5eb7-4d74-9887-e461ffb28d61,t2.small,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.034,Hourly
4c671e02-9222-4ec9-b7a4-ce3722dabec8,t2.small,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0186,Hourly
6fd5ba3e-b238-414f-8481-6066469674f1,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0786,Hourly
1c135265-6352-469d-8998-55db5dfd71ee,t2.small,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0838,Hourly
99eb7232-9f78-4bd4-b4c4-e38b18059931,t2.small,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0392,Hourly
a635d369-1cef-4cdc-a9fa-ea6bc0a5c668,t2.small,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0162,Hourly
ac69914c-5994-4026-9620-f786a8d8a07a,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.0762,Hourly
72349cb7-807a-4b60-b44a-39c223e2067c,t2.small,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,197.0,0.0,USD,0.0075,Hourly
d93a264e-4ca4-445c-925b-78e5ac669157,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,197.0,0.0,USD,0.0675,Hourly
7e8a7872-464c-481f-af10-7b012c107c55,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,226.0,0.0,USD,0.0686,Hourly
e9ff5a93-105c-4dba-92bd-07728951404d,t2.small,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,226.0,0.0,USD,0.0086,Hourly
cced6e9e-49e2-42d1-bb10-44e56dd2f230,t2.small,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,370.0,0.0,USD,0.0,Hourly
