ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
7d8e1544-208e-4e2d-9938-be213d467fef,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6488,Hourly
cc5b4778-fc5b-466d-a994-1e9b1db78ba1,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2088,Hourly
d60dca59-905f-4a84-b85f-ca375351207a,t2.xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1818,Hourly
e7c7cc09-7c5d-4b30-87cd-b4c534a59cc6,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.2164,Hourly
fa5e015d-ebd3-4bbc-b89f-74e2c7b734f1,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1488,Hourly
31cbcc86-8e81-4676-bd76-5dc00733b02b,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1894,Hourly
367864ac-a19e-49fb-a005-0a8dcaa3b6ad,t2.xlarge,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1294,Hourly
9d9e55bf-5fba-4518-8f61-4c1e08232ef1,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.6294,Hourly
bb355248-1644-49d3-a339-6ef3420bbbd0,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.197,Hourly
d300b62f-ba4d-46a7-a562-293738f13a64,t2.xlarge,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.1624,Hourly
