ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
01e4ac9e-6d38-4f68-80ca-4857f0fc4c64,x1.32xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,24.975,Hourly
05156e77-7b93-4416-bb98-cc645319a703,x1.32xlarge,SUSE Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.648,Hourly
0b5e3c73-1481-493b-b26e-e288efa118c0,x1.32xlarge,Linux/UNIX,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.615,Hourly
19c697d6-e4d4-49e8-9448-77a3805321de,x1.32xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,11.779,Hourly
213a4f9d-d4f4-4be1-b5b2-2a4bd4ce9960,x1.32xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,57.615,Hourly
38bdf46b-d10e-4ca8-8dd0-374208af34c3,x1.32xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.745,Hourly
69243982-486d-443d-b13f-e5439c279d00,x1.32xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.745,Hourly
7412901e-e5b1-4f86-aea6-d95179da4f71,x1.32xlarge,SUSE Linux,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.648,Hourly
ae73f83b-297a-47f7-be10-5c3227c509a1,x1.32xlarge,Linux/UNIX,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,9.615,Hourly
d3ff2700-649d-4a5b-9366-c675c172db06,x1.32xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,57.615,Hourly
e41e62d9-6a77-4b64-8093-3d6fa325596b,x1.32xlarge,Linux with SQL Server Web,default,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,11.779,Hourly
f6b18699-acdc-45ea-b93d-710f50047bb4,x1.32xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,24.975,Hourly
04b5883b-e186-4796-ac95-13b949b24102,x1.32xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,56.363,Hourly
1ca60b56-7b80-4f2e-afb5-9ccc3158c1d5,x1.32xlarge,Linux with SQL Server Standard,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,23.723,Hourly
2d86e32a-a754-4b66-97e7-6a0f943015f7,x1.32xlarge,Linux/UNIX,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.363,Hourly
2f274fae-563f-4864-aca5-7fe78f15bb0b,x1.32xlarge,SUSE Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.396,Hourly
31492045-90c8-48f5-8dd2-29b14de1bc86,x1.32xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,23.723,Hourly
761a7cc1-063b-4cc9-876e-8002aebf838f,x1.32xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.493,Hourly
775bdb96-e8c4-40d5-beea-b07a734a3f00,x1.32xlarge,Linux/UNIX,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.363,Hourly
95366a3e-f17e-4681-bef2-1fbfdb3f2b3b,x1.32xlarge,SUSE Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.396,Hourly
a3a78d0a-f462-4903-9f81-35366c3434ff,x1.32xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,8.493,Hourly
bd9786ff-fc76-4a92-b8d3-715ddd7047ac,x1.32xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.526,Hourly
d7372bb2-6dee-4a11-9a6a-47807514339e,x1.32xlarge,Linux with SQL Server Web,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,10.526,Hourly
df1c08f2-02a9-4008-83f6-4ae2fe3d0344,x1.32xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,sa-east-1a,94608000,Availability Zone,0,0.0,0.0,USD,56.363,Hourly
10abdfd1-83b7-4c9f-ad1f-3f82857cd6ef,x1.32xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,101745.0,0.0,USD,4.002,Hourly
1af2c076-a65c-4607-b2c0-36190d2f7ea2,x1.32xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,101745.0,0.0,USD,3.872,Hourly
62ad3240-168a-4ef7-842f-3fa6652acbc0,x1.32xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,101745.0,0.0,USD,4.002,Hourly
941d6cf8-7eb6-4946-99fc-e2ad6d28af0f,x1.32xlarge,Linux/UNIX,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,101745.0,0.0,USD,3.872,Hourly
1af37e7a-f4bf-4c22-9b59-258311057a74,x1.32xlarge,SUSE Linux,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,102097.0,0.0,USD,3.885,Hourly
d6d9081d-eb17-499a-b537-e417e655fb16,x1.32xlarge,SUSE Linux,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,102097.0,0.0,USD,3.885,Hourly
3e9d3d9d-fa7a-48d1-a73b-3cc5dd8fa5b0,x1.32xlarge,Linux/UNIX,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,116988.0,0.0,USD,4.452,Hourly
58151859-e370-4bec-907a-b13031567c03,x1.32xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,116988.0,0.0,USD,4.452,Hourly
581ac518-bb2b-473c-8038-97afc0d4e8ec,x1.32xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,116988.0,0.0,USD,4.582,Hourly
a277af79-d264-46db-8ffb-2a5947c245c1,x1.32xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,116988.0,0.0,USD,4.582,Hourly
9e5564a4-d838-44f2-824a-8fd0d2a53185,x1.32xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,117340.0,0.0,USD,4.465,Hourly
de7d721c-fd19-473a-bb80-fa11629c080b,x1.32xlarge,SUSE Linux,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,117340.0,0.0,USD,4.465,Hourly
62166274-f606-4569-8076-1a9eb7296f24,x1.32xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,130170.0,0.0,USD,4.953,Hourly
efe71625-c90d-4fc0-87d7-9e5c724a0090,x1.32xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,130170.0,0.0,USD,4.953,Hourly
34c99c75-befc-48e8-99f3-34b1d5904531,x1.32xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,145413.0,0.0,USD,5.533,Hourly
b0d982d1-fe9d-4a52-9118-ea97e6a163f9,x1.32xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,sa-east-1a,94608000,Availability Zone,0,145413.0,0.0,USD,5.533,Hourly
a63652ce-8f90-4fa3-b229-927cf2527ce0,x1.32xlarge,Linux/UNIX,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,191281.0,0.0,USD,0.0,Hourly
cafc9e48-8216-4b17-9e3c-2b70c9662abe,x1.32xlarge,Linux/UNIX,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,191281.0,0.0,USD,0.0,Hourly
e1912335-436b-444d-93e0-b07525919e85,x1.32xlarge,SUSE Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,191975.0,0.0,USD,0.0,Hourly
f05ecba7-46e3-4703-9c4b-2a010b854312,x1.32xlarge,SUSE Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,191975.0,0.0,USD,0.0,Hourly
850c66a8-1e3b-4286-9891-ac07bc425027,x1.32xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,194698.0,0.0,USD,0.0,Hourly
f3fdea9f-6993-4131-90e0-c0891a3031da,x1.32xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,sa-east-1a,94608000,Availability Zone,0,194698.0,0.0,USD,0.0,Hourly
b40a981b-f495-4aa6-93d6-3642f1516062,x1.32xlarge,Linux/UNIX,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,229297.0,0.0,USD,0.0,Hourly
c7040444-5307-49a2-a14b-ca0d3bc99f59,x1.32xlarge,Linux/UNIX,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,229297.0,0.0,USD,0.0,Hourly
22faefe1-b527-4bb9-86d0-4dba535066e9,x1.32xlarge,SUSE Linux,default,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,229991.0,0.0,USD,0.0,Hourly
51dd2790-fbeb-492f-94ad-eaf257eaf119,x1.32xlarge,SUSE Linux,dedicated,convertible,All Upfront,sa-east-1a,94608000,Availability Zone,0,229991.0,0.0,USD,0.0,Hourly
