ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
4f5c1b20-e2b7-46e2-93d7-649d7823c4d0,c1.medium,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,631.0,0.0,USD,0.028,Hourly
fb108afc-f09e-4278-873e-b4a95e63bb96,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,631.0,0.0,USD,0.088,Hourly
9e35ddbb-d20b-4430-ba8d-4ac1082b442e,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,694.0,0.0,USD,0.097,Hourly
c749948d-e197-4758-aa44-def0084097fe,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,694.0,0.0,USD,0.031,Hourly
91c56615-29fb-4f62-bc57-4d3127d015d6,c1.medium,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,983.0,0.0,USD,0.039,Hourly
20f74cec-9784-4940-96fe-e8ef95dbb510,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1081.0,0.0,USD,0.043,Hourly
dbab1589-8d5f-4c23-bfbe-d349981ed3a1,c1.medium,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1284.0,0.0,USD,0.0,Hourly
0208ee4e-c160-402f-aa2a-75857b70b995,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1412.0,0.0,USD,0.0,Hourly
4235275f-c13d-49d9-a69e-3c91036acd6a,c1.medium,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1887.0,0.0,USD,0.0,Hourly
bb32e968-cda3-43cf-99cd-178a7c9d2408,c1.medium,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2075.0,0.0,USD,0.0,Hourly
86869f2d-33df-4c62-930c-d52515e77550,c1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2767.0,0.0,USD,0.0,Hourly
fc37651c-70bc-45d6-8416-eb0024c2b4d0,c1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3043.0,0.0,USD,0.0,Hourly
208fc99d-77d5-4416-b19f-1df8ce71a31a,c1.medium,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
691b8c94-41fc-43db-beb8-732b205fac55,c1.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
8030bf30-d70c-4ee9-a0a0-486076a36ef3,c1.medium,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.091,Hourly
8b22c8d0-f920-45af-a097-9a0b081d1e6f,c1.medium,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
f254e90f-836b-4011-b419-2974cecd5ce7,c1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
f33f0656-b894-4d02-a046-ff0f20933f3e,c1.medium,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.139,Hourly
6c81322e-af98-4373-91ca-9c3d683ff6c2,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,405.0,0.0,USD,0.092,Hourly
f7a656a4-f0e2-47a0-bbd4-d05ac3b5c5e1,c1.medium,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,405.0,0.0,USD,0.032,Hourly
2e462c74-fb59-44ec-9caf-9e8038e5697d,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,446.0,0.0,USD,0.035,Hourly
aa664771-0937-4737-be28-8934355482db,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,446.0,0.0,USD,0.101,Hourly
2059f791-cbff-41da-8c1c-13239428ea15,c1.medium,SUSE Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,581.0,0.0,USD,0.043,Hourly
a084e98d-0f02-488e-848c-217313a493e9,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,639.0,0.0,USD,0.047,Hourly
90ff4d3e-1b0d-44c3-b55e-4cfa29cfed12,c1.medium,Linux/UNIX,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,671.0,0.0,USD,0.0,Hourly
af105862-e68e-49b9-81d4-db2954aadd24,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,738.0,0.0,USD,0.0,Hourly
54576c2c-eb63-467e-8e97-ebcc105431fd,c1.medium,SUSE Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,938.0,0.0,USD,0.0,Hourly
ed41f3a7-917c-4429-a6be-828cab076152,c1.medium,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1031.0,0.0,USD,0.0,Hourly
c2252b04-bf48-4aee-9065-370a5e409bf3,c1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1186.0,0.0,USD,0.0,Hourly
0b4e4670-76e0-4b71-a3dc-27d490d5bb26,c1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1304.0,0.0,USD,0.0,Hourly
14ad5b78-4e73-4bb2-ade2-ce9c62055ced,c1.medium,Windows,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,739.0,0.0,USD,0.095,Hourly
f40e27c7-053b-4fd4-b325-378c1657c72b,c1.medium,Windows,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,813.0,0.0,USD,0.105,Hourly
254f58bd-dcdc-4272-888c-4aba64b27486,c1.medium,Windows with SQL Server Web,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1590.0,0.0,USD,0.091,Hourly
f5c62d9c-0cf6-4f68-a652-e94e57dca6dd,c1.medium,Windows with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1749.0,0.0,USD,0.1,Hourly
7613cd12-342e-485a-b2d6-f877faa89df0,c1.medium,Windows,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3041.0,0.0,USD,0.0,Hourly
1e2e709f-cdb7-485e-b3f5-3c3c95c77a31,c1.medium,Windows,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3345.0,0.0,USD,0.0,Hourly
f76e360a-6f25-49fc-979e-592685bda70c,c1.medium,Windows with SQL Server Web,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3743.0,0.0,USD,0.0,Hourly
062bd369-1a5d-47f7-9c54-cd488a0340aa,c1.medium,Windows with SQL Server Web,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,4117.0,0.0,USD,0.0,Hourly
59eebfb2-78e3-4f94-8866-2ca1ab695dd2,c1.medium,Windows,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.196,Hourly
7884350c-5a3e-43b8-b955-7ba7fa6e9972,c1.medium,Windows with SQL Server Web,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.215,Hourly
7f56a382-64ca-4257-82ef-69a38136906f,c1.medium,Windows with SQL Server Web,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.236,Hourly
ecde8c77-b4cd-4a9b-a1b4-573f3f587e37,c1.medium,Windows,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.179,Hourly
ac6f73bb-9046-4bba-a4af-fe29288e5501,c1.medium,Windows,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,472.0,0.0,USD,0.099,Hourly
456fe291-4686-47d6-acbd-fcf41a2083de,c1.medium,Windows,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,519.0,0.0,USD,0.109,Hourly
1294a81f-3758-41cf-b57d-412e72b13135,c1.medium,Windows with SQL Server Web,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,640.0,0.0,USD,0.111,Hourly
744c0510-fcf4-4dd3-bb2b-b6b4520af1d6,c1.medium,Windows with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,704.0,0.0,USD,0.122,Hourly
2d12149c-5979-4bc0-b14a-8705b455c83a,c1.medium,Windows,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1312.0,0.0,USD,0.0,Hourly
aedf2d96-8cdd-4e43-ad2e-f17b36aa2cfa,c1.medium,Windows,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1443.0,0.0,USD,0.0,Hourly
566031d8-a900-4505-b821-374463e4bda7,c1.medium,Windows with SQL Server Web,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1580.0,0.0,USD,0.0,Hourly
4d44110e-b498-4395-bed7-043a792ce8e4,c1.medium,Windows with SQL Server Web,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1738.0,0.0,USD,0.0,Hourly
00b45a83-0309-40ef-854b-6100d63f06d2,c1.medium,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,631.0,0.0,USD,0.028,Hourly
df60f535-54cc-41af-a4a9-4211a1973bc5,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,631.0,0.0,USD,0.088,Hourly
0942ad5c-e86d-4308-b97a-e9afca6ce27b,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,694.0,0.0,USD,0.031,Hourly
da788e8e-3569-467d-a696-275bf213db39,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,694.0,0.0,USD,0.097,Hourly
b513e136-dc10-430b-be06-230ba2f37678,c1.medium,SUSE Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,983.0,0.0,USD,0.039,Hourly
d14775d8-0824-470f-8a0e-786c42e8261b,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,1081.0,0.0,USD,0.043,Hourly
d1174a19-481c-4370-ba74-94e9218a1916,c1.medium,Linux/UNIX,default,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,1284.0,0.0,USD,0.0,Hourly
68253813-53d1-4102-bef4-aefb37f92dbb,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,1412.0,0.0,USD,0.0,Hourly
