ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
20d46fd4-2db0-4f58-bb32-54b7fecb0a4a,c5.9xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.83,Hourly
21df54f8-a959-4d34-be01-915f3c44357d,c5.9xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.772,Hourly
2bf92998-a5b2-4587-a37b-b1e53b8f00f7,c5.9xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,5.15,Hourly
2eb21b4c-d2d6-4291-8ee2-e02109bfd608,c5.9xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.439,Hourly
327d7901-4d1d-4a7c-8fa8-3647d6e02a36,c5.9xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.869,Hourly
412bbcfd-1f3b-433a-acce-ac2b79066a81,c5.9xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.863,Hourly
5308333c-8ace-4f8e-b74d-6b7517db5ddb,c5.9xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.96,Hourly
63a9fbef-6684-404d-8662-b88b0026d633,c5.9xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,5.059,Hourly
69eb2737-82be-4138-b819-bc4c25dfa60c,c5.9xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.347,Hourly
a2e975d4-8ee5-49c2-92aa-437afa856e99,c5.9xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,14.33,Hourly
df6da718-f4d6-47c7-a932-630eaba2fd40,c5.9xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,14.239,Hourly
e6e72b25-3956-471a-8fe0-563c07000be8,c5.9xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.739,Hourly
074e9931-db56-4cb8-a7fa-9715bc2acf29,c5.9xlarge,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.674,Hourly
17ddd43d-7b46-41c7-a92d-3a7da8cd7b85,c5.9xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,14.141,Hourly
327ef4f8-f9ec-464b-854e-b79091ba1e24,c5.9xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.25,Hourly
427d8f68-7206-4a53-b535-3042e0f7f8fa,c5.9xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.341,Hourly
5398d938-add9-4db0-a16c-ffaeb060dae5,c5.9xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.733,Hourly
5c657e88-9d70-41b8-8bde-63c2942831b4,c5.9xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.641,Hourly
81ea7792-c473-48ac-8990-b728eda74344,c5.9xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.766,Hourly
83b83b02-884e-4337-b2f2-74fcbe3e49cc,c5.9xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,14.233,Hourly
a2e10f10-7df2-4bc2-8a60-1cf45608bab3,c5.9xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,4.961,Hourly
d5d746a6-b335-4bc4-a434-14dc179446b9,c5.9xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,5.053,Hourly
de40d28a-4fbe-4b5b-b1f1-ea21cf099a8c,c5.9xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.863,Hourly
fb1ac781-5e02-4aa1-89c7-2879b3eccca4,c5.9xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.771,Hourly
