ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0a70c5db-1c1a-4a43-8b83-8b7cd2cbf26a,c5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
13db468d-1075-45cb-ab74-92c4669c7876,c5d.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
168f9f53-f3b4-43e5-89a6-099edace9382,c5d.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.153,Hourly
1f949e4a-b66d-4d23-be19-28596395f55d,c5d.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
71e9fc87-525d-4deb-989c-9973d75d8b37,c5d.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.573,Hourly
abfe71d3-7ae0-4bbc-a6c7-3b8271ed7f56,c5d.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.593,Hourly
cc0a708a-e205-4199-a307-ea1ca0c50711,c5d.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
cf05d9f3-76a3-472c-a580-c01f7e35c3af,c5d.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.604,Hourly
d17e1d37-1dec-4e35-9501-aac0730a590a,c5d.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
d594d232-f898-4333-a277-3a43663ae0d2,c5d.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.104,Hourly
e0dab05e-4b6e-4f78-adbc-1365cc543ff9,c5d.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.093,Hourly
fd6bc78f-e285-48ce-8b9a-2222991bf331,c5d.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.584,Hourly
02947a58-d49d-4ee0-b9c2-8d40d91f3594,c5d.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
209172eb-86d6-4bec-a458-8c6ca65bb43b,c5d.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.592,Hourly
23823821-62d1-4444-abf8-b4b6d3f8281a,c5d.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.152,Hourly
3474ad47-b062-46e6-b088-d022e1b28e35,c5d.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
57f1c075-115e-41eb-9236-6a1a665af82d,c5d.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,1.581,Hourly
6484646b-4ecf-49fb-9d5a-8fe506bd096a,c5d.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.572,Hourly
76a9aa65-9526-446a-b119-27d9d40a405a,c5d.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
87a3a202-f9e8-4b91-ad84-c61936b365f1,c5d.xlarge,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
