ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1da9da39-960d-4248-a762-a249f0139b95,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7670.0,0.0,USD,0.491,Hourly
46b8f1b4-a549-49fa-9680-36f07929e89e,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7670.0,0.0,USD,0.361,Hourly
59c66430-4407-4df9-bfa7-147695867d9a,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7670.0,0.0,USD,0.491,Hourly
e01ac1a6-0bdc-4683-88b3-c7011e18f1a7,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7670.0,0.0,USD,0.361,Hourly
7bc3f8d4-228a-4cc8-b328-49b3f5334fdb,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,8022.0,0.0,USD,0.373,Hourly
97276ac5-9839-49e0-9285-bc7432498a25,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,8022.0,0.0,USD,0.373,Hourly
cf49219d-5d15-423e-ac85-5289b0e4fa1d,cc2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,16127.0,0.0,USD,0.0,Hourly
d82e04d4-12f8-4cfb-b1e0-d8f5b66fa442,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,16127.0,0.0,USD,0.0,Hourly
32d55ba8-b76c-46de-8365-4551cd7c57af,cc2.8xlarge,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,16754.0,0.0,USD,0.0,Hourly
453b621f-3f48-432c-901b-fcda4b8f1397,cc2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,16754.0,0.0,USD,0.0,Hourly
a15188e9-e88f-4bf4-bee0-2d4c5f55e991,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,19339.0,0.0,USD,0.0,Hourly
e9b84d6b-930a-494c-a83a-1bb83956b200,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,19339.0,0.0,USD,0.0,Hourly
1d37912c-3895-4bc2-a186-b5f8bb6a6aaa,cc2.8xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,1.09,Hourly
3ee52db4-fb84-4e7f-9aeb-670427a23aa3,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,1.22,Hourly
7bfde260-3078-480a-9a34-b77656042a4b,cc2.8xlarge,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,1.126,Hourly
c4d26618-1be8-4a29-bbc5-b54bf073e2d2,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,1.22,Hourly
e7d31fac-2861-411a-8d2e-8a97b97ce336,cc2.8xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,1.09,Hourly
f128cfe0-5c1a-4008-9424-fe6448a2754e,cc2.8xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,1.126,Hourly
468fdd9f-2a2f-4b29-82a4-5334d557e26d,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,5000.0,0.0,USD,0.491,Hourly
aa949176-1311-4739-b15f-6a084a1d4b83,cc2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,5000.0,0.0,USD,0.361,Hourly
bb135bc7-a87a-4949-9ed3-47cdeca2f931,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,5000.0,0.0,USD,0.491,Hourly
d1740ff8-2952-4049-aedb-de0dc850e2b1,cc2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,5000.0,0.0,USD,0.361,Hourly
1bc6f1c5-3101-43c2-a1f0-b3333ee0eb56,cc2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,5176.0,0.0,USD,0.373,Hourly
3574e41f-e472-4c33-aa16-7d3d85e1e127,cc2.8xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,5176.0,0.0,USD,0.373,Hourly
3643abfb-7999-4031-b262-5c9edae9827f,cc2.8xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,7999.0,0.0,USD,0.0,Hourly
a8091bbe-2b94-4031-88a7-faa317545c7c,cc2.8xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,7999.0,0.0,USD,0.0,Hourly
a9eec992-549a-4b4e-a26a-15d6c041aad4,cc2.8xlarge,SUSE Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,8274.0,0.0,USD,0.0,Hourly
d780a045-3763-462c-b9b8-5ecbf570330c,cc2.8xlarge,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,8274.0,0.0,USD,0.0,Hourly
67eb13ca-4bbd-4574-9f1f-977877abbf76,cc2.8xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,9115.0,0.0,USD,0.0,Hourly
84ca0f89-91c0-407f-97e6-7cd6d6a2023e,cc2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,9115.0,0.0,USD,0.0,Hourly
145bf44d-f75b-4866-8c95-ec10a92db719,cc2.8xlarge,Windows,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7670.0,0.0,USD,0.571,Hourly
c9899884-770d-45f4-8fdb-3410adbfdafc,cc2.8xlarge,Windows,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,7670.0,0.0,USD,0.571,Hourly
e798faaf-cf5a-45c3-a603-946184d2f471,cc2.8xlarge,Windows with SQL Server Web,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,12470.0,0.0,USD,0.475,Hourly
66a3242c-7c2b-469b-9325-e65c63540c7f,cc2.8xlarge,Windows,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,21315.0,0.0,USD,0.0,Hourly
863be326-ec1f-4b69-bcaa-e97b5d7f47a2,cc2.8xlarge,Windows,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,21315.0,0.0,USD,0.0,Hourly
c60a71ff-fe81-4acc-81db-b5ce90fdd1a7,cc2.8xlarge,Windows with SQL Server Web,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,23456.0,0.0,USD,0.0,Hourly
7770c928-347f-428f-ae14-31adaf590afb,cc2.8xlarge,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,29530.0,0.0,USD,1.123,Hourly
8f64827e-edb0-4aae-a6d2-7cb39a0c9153,cc2.8xlarge,Windows with SQL Server Standard,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,29530.0,0.0,USD,1.123,Hourly
