ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2a79712f-6c00-4e83-b655-a835b5e450db,d2.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.399,Hourly
2fb91f5b-43f0-4cc3-826a-01bccd82c09e,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.422,Hourly
760c091a-d873-4713-a638-23ab94c4ff04,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.398,Hourly
beb9f01a-7142-4ade-9282-54192a558c1e,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.362,Hourly
c8c7b2f9-a6df-4a75-b842-d0f87abfacff,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.834,Hourly
cd39b4bf-6cd1-4d78-b8b6-041c8119a2e7,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.464,Hourly
ec6b3e39-a054-4d74-a7ad-f591682395ae,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.868,Hourly
fd0f9ed8-111c-4849-af22-e8e258405ce6,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.439,Hourly
8ea32440-0675-47b2-bd38-3f01b9acc022,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2767.0,0.0,USD,0.165,Hourly
c5cfa4e3-08e0-45d2-ad1b-06e090c0defa,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2767.0,0.0,USD,0.105,Hourly
6a6e911a-37e0-4752-89df-0c159454cf43,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3044.0,0.0,USD,0.182,Hourly
7f026183-a20b-4628-935d-59e990280706,d2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3044.0,0.0,USD,0.116,Hourly
7139eae2-d61a-42cc-9077-33899a197b6c,d2.xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3119.0,0.0,USD,0.118,Hourly
8f01d4bf-1952-4933-9974-8a5a5c2215f8,d2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,3431.0,0.0,USD,0.13,Hourly
28a08978-844d-406e-ae0b-085ed6acaaaa,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4066.0,0.0,USD,0.155,Hourly
c116f26a-5a9a-4729-bf58-8c0b5563a67b,d2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4066.0,0.0,USD,0.215,Hourly
828f2f2b-5337-4709-b943-4e05a54f6fb1,d2.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4418.0,0.0,USD,0.168,Hourly
132c16cc-8471-488d-bb1a-536a00db129c,d2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4474.0,0.0,USD,0.17,Hourly
77859d90-fde1-4d0a-9e36-1d4376136bad,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4474.0,0.0,USD,0.236,Hourly
d45bc2b3-fbde-4d60-af92-f7f1d5715db9,d2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,4861.0,0.0,USD,0.184,Hourly
