ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1af07be3-03f6-4f32-a319-4bcbd258516c,f1.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.6091,Hourly
92f57675-9920-4293-a6f4-30cc1ae4ef72,f1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.7061,Hourly
a8c31725-d999-4aa8-9778-7fcda112203b,f1.16xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.6091,Hourly
cdabb4f6-5600-4914-813e-347112480879,f1.16xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.5761,Hourly
d8c2d95e-b691-4d5e-b4aa-969c98479d4a,f1.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.5761,Hourly
e1288cd1-393a-48f8-b3fe-3e3c57346fe8,f1.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,7.7061,Hourly
03ffd2dd-771b-4991-a292-b5df9b587351,f1.16xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,6.588,Hourly
33ea82f1-58d8-4118-bab1-105d6e5b7f9f,f1.16xlarge,SUSE Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,6.621,Hourly
58369542-80bc-4c35-97a9-b9fd4d65e5b5,f1.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,6.718,Hourly
73681708-ac94-4179-9dc5-42462ad7bcef,f1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,6.718,Hourly
c9e2f22e-312e-4207-a8fb-262821788d3b,f1.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,6.588,Hourly
e8c5d02b-dbc5-4419-a346-a6f69d83964a,f1.16xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,6.621,Hourly
