ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
13f594d0-8c64-422e-adf1-3487d5396a97,i3.metal,Linux/UNIX,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.782,Hourly
151078c1-6788-43e6-9c80-60a421d7576d,i3.metal,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.912,Hourly
28fd2950-bea9-4799-a6f5-a574fe5bf16e,i3.metal,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.912,Hourly
2d2bb6f6-0310-4dd3-9982-25a445e2c94a,i3.metal,SUSE Linux,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.815,Hourly
4ac66ad0-b5a3-484d-b66b-c5907b872b17,i3.metal,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,3.864,Hourly
4c1b37a9-6769-44c3-ab19-f9e736c467ee,i3.metal,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,10.462,Hourly
4efdcd5f-0915-41e9-94df-282496bb6cf1,i3.metal,SUSE Linux,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.815,Hourly
59d91013-0194-420a-b924-237f81e8b3e5,i3.metal,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,26.782,Hourly
5c7fffbe-44ef-4df4-b132-f30d5b8e4d27,i3.metal,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,26.782,Hourly
77614d68-a631-4704-86ec-48e117b4a619,i3.metal,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,3.864,Hourly
7d5a0dfb-cdbf-4a69-be2b-8a52c7949811,i3.metal,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.782,Hourly
8c623521-10cb-4a6d-bc0d-47e298d32e20,i3.metal,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,10.462,Hourly
04f7f0fa-3288-4272-876e-58bcbd02a6a5,i3.metal,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
092abd0f-1066-482f-bf47-2892baab87bb,i3.metal,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,3.501,Hourly
0b0daf94-0a98-46e3-ae92-a59d7cc0d02f,i3.metal,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.549,Hourly
3be899dd-e5ae-459c-b6d8-50944d119f21,i3.metal,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,10.099,Hourly
3ca94064-129c-488d-8248-ac831fd9294c,i3.metal,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.549,Hourly
5cfd97b6-a6ab-4f21-8ca2-11ee3dafa803,i3.metal,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,10.099,Hourly
69874b39-7dbc-46c5-80bf-5a5f9038394a,i3.metal,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,26.419,Hourly
8559717d-c9b5-44d1-a8fb-25b6a6964489,i3.metal,SUSE Linux,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.452,Hourly
b28c067f-c0b2-4533-b4f5-93c90c66a64d,i3.metal,Linux/UNIX,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
c7b38389-88f4-4a89-a2ea-0552d82785c5,i3.metal,Linux with SQL Server Web,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,3.501,Hourly
e6b791c4-e906-4671-abe5-19a7afe4ce9b,i3.metal,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,26.419,Hourly
ea86a58c-e6b5-4115-b72f-b5141d084c10,i3.metal,SUSE Linux,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.452,Hourly
3ee97521-26da-4ac9-85a5-91deb715f66b,i3.metal,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29434.0,0.0,USD,1.25,Hourly
6b137d3e-6a11-4e42-bd59-3684e56f3c4f,i3.metal,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29434.0,0.0,USD,1.25,Hourly
7e8b2a87-c80d-4307-98a8-6ec5764f020f,i3.metal,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
9ac4ac28-2208-47f2-acba-b084b2f5bb69,i3.metal,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
e103121a-7837-4c39-b847-f472309d8045,i3.metal,SUSE Linux,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29786.0,0.0,USD,1.133,Hourly
