ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
23632ec5-0415-499e-9efe-232b05601740,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.259,Hourly
5e44b543-5c05-40db-8ab9-a4479105f55f,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.674,Hourly
6ca32144-bbd3-4709-92b2-2e19a573e27f,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.224,Hourly
75b0a709-d24f-401c-82cc-cb163f4db217,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.234,Hourly
90e76fcf-5771-4861-97ae-ad9500a7b1f7,i3.xlarge,SUSE Linux,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.207,Hourly
b612327f-10fb-4476-b326-fa41e799541f,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.251,Hourly
c3692003-404a-431d-b432-b9bf337a3892,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.671,Hourly
c4e7c6ba-62ca-46cb-b7e7-aeeea67b439e,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.241,Hourly
d39f6975-bf65-47e8-8dc3-d9779fe88417,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.691,Hourly
d514b946-d214-46ad-89fa-82efb6140ee9,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.654,Hourly
df0fbd93-0d64-47ae-ab53-e66fbb6daeb4,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
e9e641d0-f358-428f-93cd-1f70726aee66,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.191,Hourly
0024f837-5d02-481c-8f34-207efc14ffe2,i3.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.651,Hourly
2ba829b3-072e-439c-9f54-87a2589551fc,i3.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.631,Hourly
42d9c14a-b6b7-4023-8f62-2d44347370f7,i3.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,1.666,Hourly
4426f5da-4a44-47d7-a73d-06627212ef4e,i3.xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
545f43a4-9411-4d52-9a83-55c3522c7338,i3.xlarge,SUSE Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.184,Hourly
ad60f85c-07f1-4d3e-a496-a7bc39aa2d7b,i3.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.646,Hourly
ae73bcc2-820b-4207-8389-d5369371e737,i3.xlarge,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.199,Hourly
c72c62bd-0ef5-47d5-95ca-8b0aea7cae1a,i3.xlarge,Linux with SQL Server Web,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
cad8cdae-89b7-4ec3-882c-72e899f94016,i3.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.211,Hourly
cc42692a-b7b5-4b7f-a5a6-52a154a91e73,i3.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.234,Hourly
d0395925-27be-444d-b046-4fc11030f182,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.226,Hourly
f529ddb6-8301-4508-bf49-6c93389701ba,i3.xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
178e382e-2d58-47e6-b916-a9f7b0c85ade,i3.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1845.0,0.0,USD,0.13,Hourly
9dd31ec0-cd7f-48e6-8cb6-a5863c3d33b6,i3.xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1845.0,0.0,USD,0.07,Hourly
32871e46-d8fe-4286-8095-4b650c7a970e,i3.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2029.0,0.0,USD,0.077,Hourly
73ead18e-a879-4374-8e59-46efbd2e049a,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2029.0,0.0,USD,0.137,Hourly
6bb40bf7-01c8-46be-af1f-d7df34989bd2,i3.xlarge,Linux/UNIX,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2116.0,0.0,USD,0.081,Hourly
c27ccff7-01f0-4fec-87bc-e75ea8c4437c,i3.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2116.0,0.0,USD,0.141,Hourly
197b3276-f396-47f2-b032-50d85769e46b,i3.xlarge,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2197.0,0.0,USD,0.083,Hourly
089b545a-b48f-4726-9cbd-013dc813f76c,i3.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2327.0,0.0,USD,0.089,Hourly
d9dd7403-9918-4250-9e77-e0f0cee447a2,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2327.0,0.0,USD,0.149,Hourly
88a90079-cb81-49a6-ba9d-754b8a94b1d2,i3.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2381.0,0.0,USD,0.09,Hourly
e508b9f0-c0ba-4f3d-92be-315c9444656a,i3.xlarge,SUSE Linux,default,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2468.0,0.0,USD,0.094,Hourly
9ca4af1f-ca15-4c27-8d39-bf1eb017827f,i3.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2679.0,0.0,USD,0.102,Hourly
d8f50dfa-fd9e-4f92-9888-ccc3080ece09,i3.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2728.0,0.0,USD,0.104,Hourly
03d83adc-fc10-4067-831f-7ddf18e852e6,i3.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2912.0,0.0,USD,0.111,Hourly
