ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
8f4f5493-65e2-45fb-ab55-2bdca4f6552c,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
afbfab1d-64f0-4d6a-98ea-d3c3f0405a7f,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
2950d80c-2dfb-408d-99d9-4258512b6f5a,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
fe2d0d68-f415-478e-aec8-5e121d9db064,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
605c885b-8fea-4841-85a2-2a291a28238e,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,55335.0,0.0,USD,0.0,Hourly
e981a1db-43c4-4b0d-af31-52dd5cf6ba66,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,55335.0,0.0,USD,0.0,Hourly
1976f6c4-7b11-48b1-8e06-992b6f47171b,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,3.427,Hourly
4d85d841-d7f2-48f7-b06a-8202351f2705,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,3.427,Hourly
532f148d-d71c-499a-800d-974cb3b70b2b,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,14296.0,0.0,USD,1.632,Hourly
c6a483ab-e841-4574-9de6-d790bd6e5808,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,14296.0,0.0,USD,1.632,Hourly
548a0b18-9e13-4fc5-92c5-2715576e6dd8,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,28021.0,0.0,USD,0.0,Hourly
89d45115-c1fd-40aa-93eb-0db6bc4a1545,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,28021.0,0.0,USD,0.0,Hourly
1c584051-0c72-4117-8dba-839df47e43bc,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
41ea892b-31d4-498c-8c19-9adf0ca9e6ff,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1d,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
080ea4af-47db-46d7-babc-f93ea496634a,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
cde0cb93-9f30-4a44-a183-313c5848399d,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
07989ad8-57a5-48f5-a7a7-91441883145b,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,55335.0,0.0,USD,0.0,Hourly
62d5c64e-ad4d-4cce-acf7-558d33f2b377,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1d,94608000,Availability Zone,0,55335.0,0.0,USD,0.0,Hourly
838937b8-2d03-4167-9f92-e28e138da7a9,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1d,31536000,Availability Zone,0,0.0,0.0,USD,3.427,Hourly
8c15f8ca-f171-4592-9cbf-d7945cbabc22,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1d,31536000,Availability Zone,0,0.0,0.0,USD,3.427,Hourly
4178c690-4c72-47e5-ad7d-ea526abfc3fb,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1d,31536000,Availability Zone,0,14296.0,0.0,USD,1.632,Hourly
71c450aa-d27d-41fc-b230-5a9edd75256f,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1d,31536000,Availability Zone,0,14296.0,0.0,USD,1.632,Hourly
2e6ca291-9a33-44a3-b2a6-2da349b2c284,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,us-east-1d,31536000,Availability Zone,0,28021.0,0.0,USD,0.0,Hourly
982f55b1-bed9-4c32-a2de-460cf87d29c4,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,us-east-1d,31536000,Availability Zone,0,28021.0,0.0,USD,0.0,Hourly
10f3547e-ebe9-404b-894f-ba8ea030f547,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,us-east-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
51052287-c94c-4d01-9ec5-8f160c7249e2,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,us-east-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.419,Hourly
2db1bfb8-a8ad-49e7-a77c-a5720c4844d2,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,us-east-1b,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
8b38066c-262b-4b9e-9683-453372c1ce50,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1b,94608000,Availability Zone,0,29434.0,0.0,USD,1.12,Hourly
