ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
4530c198-c50a-4fae-9066-b049cef127e8,m1.large,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,750.0,0.0,USD,0.034,Hourly
7496989c-3d4b-4d35-8542-cb80504a10fb,m1.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,750.0,0.0,USD,0.094,Hourly
10ecaca6-d45d-412c-9519-b630cbff9b08,m1.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,825.0,0.0,USD,0.103,Hourly
fb003307-4e9c-4638-bb59-516aa99cc2f9,m1.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,825.0,0.0,USD,0.037,Hourly
8e108040-4415-4ba8-8b56-f2ddc6ee152d,m1.large,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1102.0,0.0,USD,0.045,Hourly
b9a2ee5a-f6ee-4e1e-b314-39247ed183f8,m1.large,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1212.0,0.0,USD,0.05,Hourly
f0cef914-19ef-4ee2-b567-e498b88ae4a4,m1.large,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1544.0,0.0,USD,0.0,Hourly
607c4951-7c51-444f-9658-75c281555a62,m1.large,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1698.0,0.0,USD,0.0,Hourly
db89d3fe-a578-42d9-b3da-74d274850cf8,m1.large,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2147.0,0.0,USD,0.0,Hourly
4ae7c81d-1df4-4a8c-ae42-749d5c99ecdc,m1.large,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2361.0,0.0,USD,0.0,Hourly
2769302c-67bc-41f6-bbd9-e84c24b58ec8,m1.large,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3027.0,0.0,USD,0.0,Hourly
c3ed601e-1bf9-4029-aad0-6a742f5db3bf,m1.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3329.0,0.0,USD,0.0,Hourly
1621e0c2-0da7-4371-9f5a-cd4d7c613405,m1.large,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
3344fbae-7fd3-4474-a835-718589d6fb40,m1.large,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
3bf14bcb-5677-42cd-992c-92e3b9e7b905,m1.large,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
6a99c5a5-c8a5-4e81-ac03-dfc888dfb0e7,m1.large,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
7da96261-e562-4af9-aa99-463da7ff2119,m1.large,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
f69c0c83-86ff-43a2-acce-f5be2f22d772,m1.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.189,Hourly
1a521829-5ae3-433c-b3e6-a0f04782c92e,m1.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,493.0,0.0,USD,0.101,Hourly
8d820bec-7bc7-4fc6-ba5c-35705b409453,m1.large,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,493.0,0.0,USD,0.041,Hourly
57db3326-7b6a-44fe-b92d-45f1cb2198af,m1.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,542.0,0.0,USD,0.111,Hourly
ee645b96-f936-4fc6-88cc-78bf840af44e,m1.large,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,542.0,0.0,USD,0.045,Hourly
0dec4a3c-3eb3-47b3-83bc-f475227f53e7,m1.large,SUSE Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,669.0,0.0,USD,0.052,Hourly
5c3b1daa-9798-48f1-adb2-fa9596051827,m1.large,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,736.0,0.0,USD,0.057,Hourly
79cabfd6-2613-49ad-b712-398b96c4bc51,m1.large,Linux/UNIX,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,835.0,0.0,USD,0.0,Hourly
b45f3495-64c2-4bb8-9a35-62ae2a5c2dc4,m1.large,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,918.0,0.0,USD,0.0,Hourly
3b9c8f02-5f3f-44c3-9cfe-025ff6bc965a,m1.large,SUSE Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1102.0,0.0,USD,0.0,Hourly
9d392f79-984d-489b-8faa-9da523ee2c62,m1.large,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1212.0,0.0,USD,0.0,Hourly
7e21908b-2421-452f-8eb2-a523fe37399b,m1.large,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1350.0,0.0,USD,0.0,Hourly
94f9eb4b-2f75-44d4-9af4-5f09abf935f3,m1.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1485.0,0.0,USD,0.0,Hourly
368c08f5-896e-41fd-a2c5-46815398d567,m1.large,Windows,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1052.0,0.0,USD,0.116,Hourly
5dab9658-9b6a-4d1c-8ed6-21706f1e39bf,m1.large,Windows,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1157.0,0.0,USD,0.128,Hourly
9df5a5b7-13e4-4812-99b7-06879c1a8198,m1.large,Windows with SQL Server Web,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,1986.0,0.0,USD,0.114,Hourly
126ce50c-b87a-4a33-a116-f1fa1ce4f8cc,m1.large,Windows with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,2185.0,0.0,USD,0.125,Hourly
ab4dfd6b-e890-40ab-8198-9565bb85348d,m1.large,Windows,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,3854.0,0.0,USD,0.0,Hourly
b10b5c0d-a3e1-49a9-b074-b0f4e150b9de,m1.large,Windows,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,4239.0,0.0,USD,0.0,Hourly
bd3204ed-c283-4eac-b3de-4210d744c512,m1.large,Windows with SQL Server Web,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,4683.0,0.0,USD,0.0,Hourly
c5abf55c-3b8b-4fe5-a647-31c9003eb75a,m1.large,Windows with SQL Server Web,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,5151.0,0.0,USD,0.0,Hourly
5c22acd6-185d-419f-827b-b29de70befb1,m1.large,Windows with SQL Server Standard,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,5400.0,0.0,USD,0.308,Hourly
83bf52d9-9e32-42c7-83c3-9654063688ab,m1.large,Windows with SQL Server Standard,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,5940.0,0.0,USD,0.339,Hourly
38ae32a3-1870-407e-8d6f-50b09838fd50,m1.large,Windows with SQL Server Standard,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,12685.0,0.0,USD,0.0,Hourly
e3ea8fbd-6d47-4026-9d41-25934c5fe93c,m1.large,Windows with SQL Server Standard,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,13953.0,0.0,USD,0.0,Hourly
11ea5149-5c4e-481b-83c2-da4bf8012cae,m1.large,Windows,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.255,Hourly
31ae3399-c3f8-4d37-9fb7-685bb845c1fe,m1.large,Windows with SQL Server Web,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.284,Hourly
4ea2a71b-a014-4a11-8fcb-cfef9f9064ca,m1.large,Windows,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.232,Hourly
6cb8cced-7dd0-4109-b48e-8338f812a18e,m1.large,Windows with SQL Server Web,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.312,Hourly
b3fea1f0-a3de-4a31-b6b8-1192e9fb6992,m1.large,Windows with SQL Server Standard,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.731,Hourly
ea5349b2-a216-46af-9ee0-5463d96d3d10,m1.large,Windows with SQL Server Standard,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.665,Hourly
eaf939d7-a9b1-4fb5-9803-aa33e59d1de5,m1.large,Windows,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,660.0,0.0,USD,0.123,Hourly
e1f4e38c-0ef0-4947-8eb2-7c735b972a28,m1.large,Windows,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,726.0,0.0,USD,0.135,Hourly
514c5e28-d35c-4a30-b494-a4092d60d1d0,m1.large,Windows with SQL Server Web,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,855.0,0.0,USD,0.145,Hourly
dc646b1a-7a10-49b1-a941-f028a0bdc6f8,m1.large,Windows with SQL Server Web,dedicated,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,941.0,0.0,USD,0.16,Hourly
0fb6d777-5e42-4915-b56e-6f6960508bf5,m1.large,Windows,default,standard,All Upfront,us-east-1e,31536000,Availability Zone,0,1703.0,0.0,USD,0.0,Hourly
