ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
a33526c0-aa73-4abd-9301-1474e332e0bd,m1.medium,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,375.0,0.0,USD,0.017,Hourly
fd074753-4004-4d40-8c49-3cd1ed9e7bcb,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,375.0,0.0,USD,0.077,Hourly
a2fd95c9-2a92-463a-aa68-90748417e03b,m1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,413.0,0.0,USD,0.019,Hourly
a3f7fbbf-9563-4714-96d8-1cceecbd3dc1,m1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,413.0,0.0,USD,0.085,Hourly
5487362d-c354-4ef8-bdc5-0c6e2631c95a,m1.medium,SUSE Linux,default,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,727.0,0.0,USD,0.028,Hourly
cbcaeb12-0031-4a4b-9430-c132ca45a356,m1.medium,Linux/UNIX,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,772.0,0.0,USD,0.0,Hourly
611bd3fe-4392-4a03-b2e6-f1f092e56ed7,m1.medium,SUSE Linux,dedicated,standard,Partial Upfront,us-east-1e,94608000,Availability Zone,0,800.0,0.0,USD,0.031,Hourly
4168bc05-bae0-479b-b225-754aa1e67401,m1.medium,Linux/UNIX,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,849.0,0.0,USD,0.0,Hourly
d1272af9-0da9-40cc-9f17-167d52ce9a35,m1.medium,SUSE Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1375.0,0.0,USD,0.0,Hourly
f9aac6c0-8e22-446c-9af2-36db624aa06f,m1.medium,SUSE Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,1512.0,0.0,USD,0.0,Hourly
0ef41d84-9d71-426f-8ba1-5ed1b0196156,m1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2254.0,0.0,USD,0.0,Hourly
879c774e-3133-4e7b-922f-5b6a3b5368f8,m1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,us-east-1e,94608000,Availability Zone,0,2479.0,0.0,USD,0.0,Hourly
0c0f00d0-768a-4ae8-86e3-a5aeff18302f,m1.medium,SUSE Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.092,Hourly
2dc3e2c1-1d58-4d35-9d26-3711f204f243,m1.medium,Red Hat Enterprise Linux,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.116,Hourly
4a25af89-dfcf-4d3b-995a-1676b8a430ee,m1.medium,Linux/UNIX,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.061,Hourly
a7e4eeea-134f-4a94-9833-e60a4acc8d31,m1.medium,SUSE Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.101,Hourly
acd0eca6-fbc8-4fb1-bb9f-05f5612b6922,m1.medium,Linux/UNIX,default,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.056,Hourly
befb3ea9-6d65-4a5b-b255-5a155f9585d4,m1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,us-east-1e,31536000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
01e5a329-915d-406d-92ce-1a5c9311db3c,m1.medium,Linux/UNIX,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,247.0,0.0,USD,0.02,Hourly
8e0c2914-8ab0-4011-a679-8d6ca2c53223,m1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,us-east-1e,31536000,Availability Zone,0,247.0,0.0,USD,0.08,Hourly
